%Frequency  / Hz	S1,1 Zr: 50 Ω Mag	S1,1 Zr: 50 Ω Phase / °	S2,1 Zr: 50 Ω Mag	S2,1 Zr: 50 Ω Phase / °	S1,2 Zr: 50 Ω Mag	S1,2 Zr: 50 Ω Phase / °	S2,2 Zr: 50 Ω Mag	S2,2 Zr: 50 Ω Phase / °
800000000.000000000	0.003505394	-38.027340659	1.000212552	-29.786557929	1.000162294	-29.711208342	0.005111658	164.179995608
801700000.000000000	0.003634131	-28.659546753	1.000220868	-29.828503237	1.000395698	-29.777602533	0.005033428	159.030235413
803400000.000000000	0.003782111	-20.602029611	1.000225176	-29.879666398	1.000630210	-29.819802027	0.004953384	155.289053815
805100000.000000000	0.003931755	-15.337561663	1.000254463	-29.921469961	1.000852515	-29.875831686	0.004911196	152.516144552
806800000.000000000	0.004054976	-11.648995925	1.000276844	-29.960950070	1.001066160	-29.951671357	0.004913714	151.262254480
808500000.000000000	0.004164501	-9.890565330	1.000315529	-30.001046503	1.001268083	-30.018044011	0.004968244	150.328810649
810200000.000000000	0.004246950	-10.445699469	1.000389727	-30.050119744	1.001493869	-30.083921915	0.005066093	149.044309463
811900000.000000000	0.004319627	-12.838835358	1.000462650	-30.103576122	1.001683694	-30.151911453	0.005197880	147.999854819
813600000.000000000	0.004395466	-12.935904549	1.000567736	-30.156756156	1.001867127	-30.219967244	0.005353769	146.431678938
815300000.000000000	0.004421597	-13.781207223	1.000701964	-30.205031078	1.002018810	-30.287120965	0.005553614	145.517010921
817000000.000000000	0.004441668	-15.413297388	1.000769104	-30.261511464	1.002052746	-30.356789420	0.005753433	144.831779285
818700000.000000000	0.004446000	-18.014236770	1.000882599	-30.312072396	1.002032728	-30.434146191	0.006015779	144.433224140
820400000.000000000	0.004437632	-20.813387257	1.001037948	-30.366834700	1.001980613	-30.508145932	0.006285911	144.420507335
822100000.000000000	0.004371382	-24.093554737	1.001154003	-30.427831296	1.001959356	-30.585257618	0.006575627	144.558087192
823800000.000000000	0.004311065	-27.831326049	1.001243307	-30.484587973	1.001922284	-30.665032897	0.006879375	144.862737209
825500000.000000000	0.004245809	-31.320193997	1.001309456	-30.544367919	1.001917443	-30.736033111	0.007183723	145.129684807
827200000.000000000	0.004166878	-34.939898216	1.001348273	-30.602241104	1.001757617	-30.819396266	0.007487905	145.388421227
828900000.000000000	0.004134455	-38.132171509	1.002035189	-30.670552637	1.001611141	-30.901867024	0.007733378	145.279121602
830600000.000000000	0.004214737	-41.039670337	1.004647150	-30.752950053	1.001473454	-30.978407819	0.007765756	144.573443218
832300000.000000000	0.004398141	-43.267378461	1.008292742	-30.828591582	1.001248282	-31.051464969	0.007641356	143.173549861
834000000.000000000	0.004620147	-44.762601206	1.011811373	-30.877266650	1.001093644	-31.126459474	0.007334216	140.681731299
835700000.000000000	0.004875046	-45.607154279	1.014072049	-30.917963858	1.000809000	-31.197109139	0.006935461	138.178354467
837400000.000000000	0.005073025	-45.949980341	1.014218389	-30.985583710	1.000551696	-31.261167852	0.006425841	136.349909982
839100000.000000000	0.005133865	-40.094053053	1.013961817	-31.056946409	1.000306735	-31.308933174	0.005725236	139.875437071
840800000.000000000	0.005248004	-34.211108842	1.013695697	-31.134119940	1.000111152	-31.357102763	0.005005320	145.156159435
842500000.000000000	0.005393801	-28.727837372	1.013415090	-31.202530778	0.999941797	-31.401699360	0.004479931	151.904092163
844200000.000000000	0.005572128	-23.175930448	1.013061702	-31.272626130	0.999979583	-31.446597392	0.004075112	158.731873451
845900000.000000000	0.005772341	-18.013832493	1.012691834	-31.336826511	1.000026798	-31.490463428	0.003733255	166.236471975
847600000.000000000	0.006029442	-12.817246784	1.012288470	-31.393070029	1.000019510	-31.523962394	0.003459767	173.201784497
849300000.000000000	0.006310810	-7.737802694	1.011905602	-31.454443654	1.000068847	-31.559914707	0.003225952	-179.875220930
851000000.000000000	0.006594925	-3.034760565	1.011510746	-31.513323957	1.000141565	-31.593984467	0.003017168	-173.073512873
852700000.000000000	0.006896542	1.401889931	1.011137695	-31.577043045	1.000226895	-31.617089999	0.002844619	-166.813775841
854400000.000000000	0.007088749	5.007393256	1.010174735	-31.637758903	1.000221801	-31.642246544	0.002710312	-160.871773501
856100000.000000000	0.007069240	8.429081288	1.007429878	-31.679664678	1.000158600	-31.672774165	0.002624254	-154.809822295
857800000.000000000	0.006923317	11.345703126	1.003726533	-31.732739476	1.000108242	-31.702700924	0.002568756	-149.099027732
859500000.000000000	0.006738142	13.782522144	1.000210481	-31.812924538	0.999979198	-31.733716233	0.002536039	-142.805580901
861200000.000000000	0.006554272	15.901170594	0.997954964	-31.901058169	0.999868434	-31.773163576	0.002536169	-136.542497667
862900000.000000000	0.006462967	17.765573711	0.997905549	-31.963264192	0.999759895	-31.819317605	0.002575682	-131.482389794
864600000.000000000	0.006531015	13.745565557	0.998208050	-32.024251250	0.999588836	-31.879127990	0.002692881	-132.515378297
866300000.000000000	0.006537344	9.795632820	0.998544927	-32.085796080	0.999311764	-31.938566392	0.002841626	-136.546859176
868000000.000000000	0.006493135	6.223512370	0.998871826	-32.150583648	0.999052377	-32.000598084	0.002950539	-143.590594163
869700000.000000000	0.006399532	3.374565604	0.999204554	-32.216458241	0.998690646	-32.062249918	0.002984078	-151.682074058
871400000.000000000	0.006261698	0.820505593	0.999518672	-32.290783757	0.998261274	-32.130560656	0.003025286	-161.015161990
873100000.000000000	0.006054406	-1.085128557	0.999816230	-32.367511178	0.997881784	-32.203217347	0.003050693	-170.982778422
874800000.000000000	0.006047952	-2.149514574	1.000070873	-32.438873902	0.997445299	-32.278187398	0.003102936	178.099692772
876500000.000000000	0.006152127	-3.243543964	1.000253914	-32.508881784	0.997042086	-32.360478984	0.003210157	166.622823961
878200000.000000000	0.006293868	-4.008109317	1.000321096	-32.573390992	0.996674850	-32.444034888	0.003315487	155.517380879
879900000.000000000	0.006500576	-4.188042415	1.000432141	-32.632607615	0.996379797	-32.526392546	0.003438268	145.035462111
881600000.000000000	0.006758927	-4.228003999	1.000369012	-32.698024190	0.996126704	-32.602576361	0.003582254	135.223246954
883300000.000000000	0.007065920	-4.231318113	1.000353831	-32.759927798	0.995893055	-32.682939628	0.003744076	126.613781395
885000000.000000000	0.007447180	-4.075471013	1.000283899	-32.815675751	0.995742788	-32.761934928	0.003935483	118.334458505
886700000.000000000	0.007884796	-3.856328671	1.000082983	-32.869018288	0.995679359	-32.832699796	0.004114126	110.205868647
888400000.000000000	0.008390800	-3.671478797	0.999888465	-32.920032098	0.995594185	-32.903677153	0.004299585	102.689431657
890100000.000000000	0.008953050	-3.397998042	0.999707242	-32.964729599	0.995563639	-32.969569159	0.004521900	95.945302237
891800000.000000000	0.009582992	-3.245862800	0.999506465	-33.009019878	0.995519021	-33.037497018	0.004769356	90.270223687
893500000.000000000	0.010294053	-3.223674913	0.999395881	-33.051025457	0.995567455	-33.110130260	0.004992310	85.952959456
895200000.000000000	0.011077448	-3.810490364	0.999330570	-33.094603158	0.995584461	-33.174611418	0.005268398	82.825503469
896900000.000000000	0.011903504	-4.537514897	0.999242639	-33.134555985	0.995637901	-33.234641952	0.005478010	80.174634702
898600000.000000000	0.012807159	-5.839141277	0.999219302	-33.173412726	0.995734978	-33.297718543	0.005705627	78.768586536
900300000.000000000	0.013195459	-8.072101034	0.999244989	-33.219602396	0.995831059	-33.352406539	0.005826315	78.328611962
902000000.000000000	0.013116801	-10.345046460	0.999393027	-33.269871149	0.995900260	-33.409424182	0.005897352	78.668480456
903700000.000000000	0.012764419	-13.027107547	0.999554839	-33.330815552	0.996002736	-33.472065904	0.005998801	79.474015494
905400000.000000000	0.012154585	-16.333161956	0.999566407	-33.395777927	0.996159984	-33.543582164	0.006121728	80.744206962
907100000.000000000	0.011431632	-20.104947960	0.999629162	-33.467408411	0.996325330	-33.622508394	0.006289479	82.750076572
908800000.000000000	0.010592188	-24.202802908	0.999536901	-33.539950951	0.996543474	-33.709955242	0.006452418	85.273524132
910500000.000000000	0.009729491	-27.218684809	0.999484344	-33.612907483	0.996693241	-33.790389412	0.006575725	88.037693503
912200000.000000000	0.008922793	-29.690177545	0.999593985	-33.686589742	0.996886371	-33.873542231	0.006696447	90.875415405
913900000.000000000	0.008188572	-30.798469259	0.999506431	-33.765143274	0.997029423	-33.956770194	0.006771903	93.659479161
915600000.000000000	0.007575361	-31.159734011	0.999457665	-33.838897129	0.997198859	-34.042376844	0.006806966	96.435841376
917300000.000000000	0.007081632	-30.799727231	0.999323773	-33.909314714	0.997421069	-34.125662237	0.006842417	99.263461178
