Frequency,S11,S21,S12,S22
800000000.0,(-44.0919268803157+17.6178275247187j),(-0.0313486885354879-29.7709294335048j),(-0.0104018413931135-29.6976865707971j),(-50.5892181066622+78.7786590178363j)
801700000.0,(-44.0499601879442+6.41326084536368j),(-0.0219573609928669-29.8044702150185j),(-0.00870389138330071-29.8192065872725j),(-49.7319787337591+116.098189333297j)
803400000.0,(-43.9801598490974+10.2173449090416j),(-0.0322804512958569-29.8096772548362j),(-0.0143436381807264-29.8425004711122j),(-49.2160340983977+100.114359776363j)
805100000.0,(-44.5108871028258+11.4440763147461j),(-0.0249719511830163-29.8337856381449j),(-0.0177118022629597-29.9104101524344j),(-48.3216450068174+90.726262149878j)
806800000.0,(-44.2985337662787+8.2938488150031j),(-0.0226644169435843-29.9646628217739j),(0.00109506536916135-30.0358763461952j),(-49.1713176258249+110.461467514945j)
808500000.0,(-44.3000937445733-2.50165729050132j),(-0.0306684705623473-30.0346493804089j),(-0.0198012278889589-29.9979245558642j),(-50.0168247762363+89.8296251513582j)
810200000.0,(-45.3974174229746+13.1873427536005j),(-0.0171543319110547-30.120780254048j),(-0.0134778502315577-30.0633409273125j),(-50.0976933634132+117.861712408686j)
811900000.0,(-45.4195502145775+3.17539997005708j),(-0.0227071482102443-30.1371350271089j),(-0.012119653238087-30.1384961240187j),(-46.0483178904706+99.3178268496394j)
813600000.0,(-42.7941441331598+15.0968935402878j),(-0.0319072990856852-30.184957615673j),(-0.00218482039945974-30.2057459179874j),(-46.6894620425256+76.9870973203364j)
815300000.0,(-44.2208038819696+20.349709437013j),(-0.0206410433277447-30.3699251258835j),(-0.00912757356838808-30.2488665036478j),(-50.2553370307099+99.8880644992284j)
817000000.0,(-49.9154687669146+29.0929680823148j),(-0.0156468048497421-30.294849149392j),(-0.0151931894757461-30.3467410122521j),(-48.2953601438434+103.648458173875j)
818700000.0,(-44.6142991352745+26.8299797706866j),(-0.027496228944337-30.4918095175057j),(-0.0137469286743639-30.3756532444883j),(-46.6490669308755+88.1020888697733j)
820400000.0,(-43.1001417305186+13.824471932437j),(-0.0226964323423698-30.5599580973119j),(-0.0118078945089373-30.4187270911874j),(-47.0821206879904+89.2393463661297j)
822100000.0,(-44.1597015360556+11.4790559998352j),(-0.0213008858239398-30.5132647392667j),(-0.019163501498404-30.5846954344317j),(-48.4987392143773+99.0397997737314j)
823800000.0,(-44.6561076014101+6.70306634753508j),(-0.015772809257468-30.5397533130421j),(-0.0171068437067717-30.6935368624653j),(-47.695589917658+98.4763640887756j)
825500000.0,(-46.1841116573093+12.9643323612622j),(-0.00492213800570918-30.6919845941657j),(0.00205525635020237-30.7133188306553j),(-50.265109037939+108.955244278945j)
827200000.0,(-43.5978810925684+11.3559048057771j),(-0.00701753536023044-30.7000568589061j),(0.00495837863816656-30.7526196410045j),(-45.2756157643582+102.821059407758j)
828900000.0,(-43.7517873326179+8.57542451146217j),(-0.0261614053302363-30.7856538400061j),(-0.000294311306268923-30.7781866025916j),(-50.1490282787401+106.300335925455j)
830600000.0,(-43.2736472828095+9.0207031319589j),(-0.016793363844559-30.8709777829888j),(-0.0184653702250703-30.8179075315065j),(-46.5118362936154+101.405563511309j)
832300000.0,(-43.0781838835398+12.2428929031057j),(-0.00652461246687693-30.9603366345508j),(-0.0198165904710493-30.9086804553604j),(-48.0793507403087+85.2030183086708j)
834000000.0,(-44.5478222314997+6.50690223466751j),(-0.018357354746622-30.9922586677078j),(-0.00990202276965167-30.938958866134j),(-56.8149834118384+107.474526083567j)
835700000.0,(-42.1817068008879+7.06413011153949j),(-0.0210747100860023-30.9900407670877j),(-0.0215674364013318-31.0224452138276j),(-51.8176349047372+80.8153911486994j)
837400000.0,(-42.2381866833742+11.7062856652102j),(-0.0319531013679289-31.192347874039j),(-0.0196109155066145-31.0479324539278j),(-46.0051220387804+102.735509520119j)
839100000.0,(-42.561540546065+7.74775436538717j),(-0.0285641793562034-31.1204253232023j),(-0.0159902490241028-31.2178314801753j),(-48.569543007949+98.7180988110309j)
840800000.0,(-43.7274489587906+10.2285996109526j),(-0.0289776100044981-31.2622172456552j),(-0.0136167266038872-31.2263727851671j),(-54.1973954713065+102.248773255903j)
842500000.0,(-42.1692481667326+9.75504583761483j),(-0.0164016498620134-31.2505815880113j),(-0.0132998946469803-31.4055785836648j),(-45.5454797068989+94.4941215152502j)
844200000.0,(-44.7472019582761+20.7377665768569j),(-0.016625847792306-31.3715747281534j),(0.00750355819707313-31.2757410116293j),(-51.4250875326585+92.7425678155587j)
845900000.0,(-44.3351593735793+0.0155650694747739j),(-0.00632387967822827-31.3625960147737j),(-0.00196871790866353-31.4319690247133j),(-47.2668896936316+83.8593216742208j)
847600000.0,(-43.0158336003586+11.4270434597537j),(-0.00972738579551215-31.5633447340228j),(0.00142496985841282-31.4703336330851j),(-50.0702783797075+85.549880316413j)
849300000.0,(-41.5753279727453+14.8887272337063j),(-0.0331845897453312-31.490394090941j),(-0.00678949480413589-31.5832784575447j),(-47.6433762710153+102.011867160635j)
851000000.0,(-44.7275764245449+3.35288906132237j),(-0.0136355016425549-31.5568514189224j),(-0.0349707389606373-31.6463383364028j),(-48.0791822664915+94.842772817056j)
852700000.0,(-46.7807419095067+4.52895165312826j),(-0.0147912262120262-31.7162423933024j),(-0.0234497943135738-31.6851602946009j),(-47.3079068710979+86.2921870774894j)
854400000.0,(-42.6857384988069+10.1284087859746j),(-0.0160757160803909-31.6527183898454j),(-0.00823270104285097-31.7990352897517j),(-48.7622637005236+96.7189213119123j)
856100000.0,(-43.5715568558657+15.1850445558892j),(-0.0250731997709766-31.9337085623725j),(-0.0155105579307605-31.8267719911281j),(-47.1716879707698+131.774431148055j)
857800000.0,(-44.1986886107293-2.56262774097592j),(-0.0226477870663782-31.8437208245081j),(-0.0134469653125485-31.8188284350564j),(-51.2944457004741+72.7791272604142j)
859500000.0,(-41.8669256107724+6.41637641332248j),(-0.0213717196622493-31.8520510693205j),(-0.0160408846133021-31.9519798761734j),(-47.0065508099435+99.7674199144513j)
861200000.0,(-42.7088160370256+3.20616335728337j),(-0.0282194353977053-32.0271252797487j),(-0.0137933233224709-31.9691097770666j),(-49.4143692636081+109.677556945272j)
862900000.0,(-42.0895669945732+14.9232000857438j),(-0.0148416359020303-32.0987625012346j),(-0.0152892580300009-32.0065161434508j),(-48.5270552445974+90.2105735973075j)
864600000.0,(-42.7761278858474+10.8346418783745j),(-0.0377910764044948-32.2230551293454j),(-0.0247798292521971-32.1537982979573j),(-47.1204717432022+104.297891052903j)
866300000.0,(-42.7444657510266+14.2705370040059j),(-0.0111138236793538-32.1421777886177j),(-0.0010261193400535-32.1430247601702j),(-48.8691835376846+116.845061968349j)
868000000.0,(-44.464997331199+10.7074668481105j),(-0.0177491715546929-32.2626986856999j),(-0.0170040415594332-32.2954962412166j),(-48.8467737622921+105.728574398567j)
869700000.0,(-43.4854409472082+8.18648643049822j),(-0.0204528941185657-32.3561131611044j),(-0.0206852317661759-32.3601042546761j),(-49.8138440694056+92.956571990015j)
871400000.0,(-43.5962187693213+7.23601505248939j),(-0.0386074826812819-32.3419755237777j),(-0.0107529998622055-32.3525574889422j),(-48.851068889509+112.360108148647j)
873100000.0,(-44.579588506733+9.97648191666633j),(-0.0118958694733355-32.4507554074982j),(-0.00342169314789458-32.4626956399833j),(-51.5949261248564+127.035173412995j)
874800000.0,(-42.4283301051826+13.2011146718963j),(-0.0283099457032335-32.4820639949549j),(-0.01547788158264-32.479658902233j),(-48.6504137711178+109.720313980712j)
876500000.0,(-42.8271383378669+27.1011371085185j),(-0.0251951695505369-32.7154403681659j),(-0.0157374885701805-32.6402975915841j),(-45.9278779173052+103.240742785834j)
878200000.0,(-43.090251789545+21.8099650291455j),(-0.0307827882836303-32.7193550140917j),(0.00067147819182567-32.5329465119253j),(-52.9095163350972+116.9855581547j)
879900000.0,(-42.9245757041518+15.011194262141j),(0.00723880785549439-32.6662954675165j),(-0.00166323996039916-32.8006152629026j),(-47.2587696365759+100.059038132367j)
881600000.0,(-42.5391940592749+19.5650535880002j),(-0.0211414130037202-32.7986766421485j),(-0.0110383995650563-32.6289781635002j),(-53.4793863767723+105.092858534545j)
883300000.0,(-43.5748702949858+7.26638581429945j),(-0.00858866747009216-32.7568008241631j),(-0.00671317325732358-32.749316723179j),(-45.2995862971829+101.388001972103j)
885000000.0,(-43.219730726963+22.9590631767347j),(-0.0183538911013308-32.8968694942332j),(-0.00336786092622176-32.8725169965559j),(-53.0634787047574+97.8928239255716j)
886700000.0,(-41.8732620602872+14.8129101217733j),(-0.0236572441439384-33.0026601021977j),(-0.0074740695191651-32.902667176462j),(-48.1616045534077+142.592675006976j)
888400000.0,(-44.330692666322+6.09514892787299j),(-0.029119601981097-32.9106634546265j),(0.00564176716717335-32.9591802730877j),(-47.8586004640569+111.459888043211j)
890100000.0,(-44.4205287138447+16.9931828338849j),(-0.0205537292878748-33.0726353874097j),(-0.012223311597493-33.0611391732532j),(-49.0364235557958+109.610886943918j)
891800000.0,(-43.320053837259+12.9135379802997j),(-0.0212750663217225-33.1464926147511j),(-0.00789828931842309-33.1020645536817j),(-51.9370994720871+111.066473403338j)
893500000.0,(-43.1417702895947+12.2767564751562j),(-0.0175703025720009-33.1637445095417j),(0.000434388402914487-33.18678921039j),(-50.4979094796049+127.898284178986j)
895200000.0,(-43.2023804648531+15.5574823958321j),(-0.0112202798948978-33.2970938084445j),(-0.00515309490369884-33.2958250044988j),(-50.2644494145151+121.658821045732j)
896900000.0,(-42.4379829886656+9.77809653534992j),(-0.0218892783296086-33.2226752066814j),(-0.0208407674889581-33.2855034144987j),(-55.5493766671798+129.213448764487j)
898600000.0,(-42.2184816364288+15.5411675111358j),(-0.00924264728399812-33.4524996754259j),(-0.0101120603557137-33.3645720959009j),(-48.9814006081192+99.7436020536161j)
900300000.0,(-43.1599105213521+14.2853268489771j),(-0.0304784021938172-33.4689291558189j),(-0.0167177783314088-33.5091917438148j),(-47.8685431315335+93.137254387971j)
902000000.0,(-42.5747231069557+11.4569969467967j),(-0.0193826065340991-33.5523178391715j),(-0.00220401140250972-33.4575532957777j),(-51.5117497639235+125.148251986653j)
903700000.0,(-42.9656046795672+11.4730683452422j),(-0.0179758814577927-33.6715615957456j),(-0.00738712471546935-33.5869669693214j),(-48.561892140759+127.779794048628j)
905400000.0,(-43.7571510556487+25.2846133514361j),(-0.0340365834804499-33.7399547665327j),(-0.00488529564183259-33.6074193574477j),(-52.8426676983332+140.036091678716j)
907100000.0,(-43.0910364137964+9.64013181611426j),(-0.0155462098177072-33.6561197173027j),(-0.0102805279250794-33.6998261925218j),(-53.9155798408986+87.3019889436806j)
908800000.0,(-43.9006409426362+5.42359522867144j),(-0.0320051503339605-33.7710766816407j),(-0.000733509449628604-33.7535599815329j),(-51.1819903936624+127.170174463636j)
910500000.0,(-43.0601554858755+13.6812591685947j),(-0.0265716458042998-33.8606732361674j),(-0.00806101357056542-33.7032181778601j),(-52.5870444162268+67.1646752881835j)
912200000.0,(-42.7381520269434+16.6787265170201j),(-0.0289424759833266-33.8618876258857j),(-0.0123032383187078-33.9292831410369j),(-49.0702932015412+109.06309986485j)
913900000.0,(-43.4892362496845+20.9394312538311j),(-0.040108579580722-33.9477390334986j),(-0.00661886474296827-33.9025748254388j),(-52.3834416647825+138.898626342838j)
915600000.0,(-43.2992696467605+22.2826034917808j),(-0.0292154659410331-34.1176750146152j),(-0.0151198737284522-33.9576343984911j),(-49.9972583594124+124.128865867358j)
