Frequency,S11,S21,S12,S22
800000000.0,(-8.5737335129609-164.508177766239j),(-0.710416126320074-56.0864418837194j),(-0.702040854593296-56.0257491821312j),(-8.43569158492242-127.6049778195j)
801700000.0,(-8.54206158352678-164.522343247965j),(-0.71591558252836-56.0930523196616j),(-0.69543589655876-56.1585529553644j),(-8.43096007555792-127.779885216656j)
803400000.0,(-8.5575307380541-164.647060122537j),(-0.714931990976984-56.2227619157055j),(-0.705865389338261-56.169094148349j),(-8.43060502345866-127.717198178606j)
805100000.0,(-8.55121776480755-164.802298285607j),(-0.706717095301627-56.1833685481059j),(-0.707695126041523-56.3609907555523j),(-8.43590890203673-127.683591717663j)
806800000.0,(-8.54888307337884-165.020950151307j),(-0.720874521566762-56.4227637209708j),(-0.699025153786591-56.4300625144758j),(-8.43415186755367-127.912872596822j)
808500000.0,(-8.52632717168699-165.036560160472j),(-0.718744875156927-56.4792028988728j),(-0.715714482507846-56.5881168315744j),(-8.41794007942926-127.95294044445j)
810200000.0,(-8.52111656010463-165.436179897548j),(-0.710967231736159-56.6638457867322j),(-0.70904589370224-56.5614352231143j),(-8.4166673450459-128.045341552842j)
811900000.0,(-8.51364574289548-165.458142146309j),(-0.735684571698409-56.7727787866705j),(-0.698312080873995-56.7501173851172j),(-8.43552909692175-128.058949665443j)
813600000.0,(-8.56016316487848-165.513162229316j),(-0.716770538655711-56.8876325226824j),(-0.695215135727086-56.902514122078j),(-8.41085639524388-127.883633209232j)
815300000.0,(-8.52320523051962-165.786644224492j),(-0.708153998004056-57.0105249614774j),(-0.702589625109116-56.9620445058173j),(-8.37477882717156-128.163507547372j)
817000000.0,(-8.49587860160179-166.125167976674j),(-0.715760364234771-56.8942302785158j),(-0.711227356249856-57.142103908875j),(-8.3917120622949-128.316357819101j)
818700000.0,(-8.53966206008479-166.213820979855j),(-0.718319529885414-57.1946204873593j),(-0.714393925340614-57.2317532071549j),(-8.41184274416087-128.241997624404j)
820400000.0,(-8.52758458014439-166.018786989856j),(-0.722828555082916-57.329793467945j),(-0.705769743538443-57.3424257224997j),(-8.38984415344697-128.314076284774j)
822100000.0,(-8.51501216157533-166.296851021017j),(-0.718678945615952-57.4197049982502j),(-0.713134420500647-57.4391546078858j),(-8.36795815538101-128.488553259366j)
823800000.0,(-8.50337186305693-166.421051715327j),(-0.723237549012365-57.4614332659779j),(-0.726752675246714-57.5692105262648j),(-8.38729997601526-128.517339118296j)
825500000.0,(-8.48488649464523-166.681533280218j),(-0.713820089860046-57.5693436974145j),(-0.711792146211527-57.5723766174146j),(-8.34836211924483-128.549055593049j)
827200000.0,(-8.49939611870926-166.709651140802j),(-0.712375608774597-57.6643795769424j),(-0.711043717636381-57.7032542626233j),(-8.39055607500452-128.592234647909j)
828900000.0,(-8.49293038492896-166.926099788691j),(-0.736925944858808-57.8401066551418j),(-0.713837047890432-57.7860171745846j),(-8.34756353295298-128.633949948309j)
830600000.0,(-8.49405462178636-166.939816040632j),(-0.712039709259859-57.9305384118323j),(-0.713486549092342-58.0142292243496j),(-8.3503986365683-128.838422392069j)
832300000.0,(-8.50883430816844-167.146444609696j),(-0.723426230788649-58.0302496104018j),(-0.729544154080692-58.1513565543549j),(-8.33751573837582-128.717508521216j)
834000000.0,(-8.49072549813945-167.382999580706j),(-0.732258047369482-58.1219034238088j),(-0.719907676913847-58.0104436076983j),(-8.30933266280088-128.75751517171j)
835700000.0,(-8.47928234907883-167.370621393744j),(-0.72664658169567-58.22765342899j),(-0.736944614330745-58.3001027374355j),(-8.30203166573703-128.996118443794j)
837400000.0,(-8.48646919049243-167.635363970105j),(-0.738014009044391-58.5195896676688j),(-0.734108218913628-58.3572806641327j),(-8.35008498589477-129.111155264078j)
839100000.0,(-8.48964553428505-167.708071430472j),(-0.751173410552325-58.4630817637156j),(-0.733685449339819-58.4955584311769j),(-8.31093710693064-129.119479449731j)
840800000.0,(-8.45433342013068-167.964148266631j),(-0.731340576944545-58.5852007535289j),(-0.73282599828679-58.4869020521848j),(-8.27410459299447-129.144777374962j)
842500000.0,(-8.48651494218913-167.976957292181j),(-0.736593679769054-58.5622255469786j),(-0.724517456329945-58.7753081124246j),(-8.32622403047052-129.166995393515j)
844200000.0,(-8.46578775929764-168.456349577409j),(-0.733735664664958-58.7208402018421j),(-0.728854212938036-58.7259084223687j),(-8.29377252404107-129.30482544079j)
845900000.0,(-8.43823934334365-168.40616602761j),(-0.72108247925123-58.8789015881988j),(-0.713765653038465-58.9121632034015j),(-8.30013366090027-129.270906056864j)
847600000.0,(-8.46274841727777-168.513454251092j),(-0.737632133562044-59.0212257829068j),(-0.72852225765038-58.9892560764493j),(-8.26904993150211-129.320704286806j)
849300000.0,(-8.46914948557691-168.561140514168j),(-0.747485762717421-59.1009224643143j),(-0.731051219348005-59.1363920409374j),(-8.28406787501829-129.511963083053j)
851000000.0,(-8.39728105522473-168.817233025651j),(-0.718756861550467-59.1612798762523j),(-0.745837787228075-59.2791790750942j),(-8.29170063689195-129.517983905468j)
852700000.0,(-8.41871310392947-169.102919767162j),(-0.737679986226014-59.3367348620032j),(-0.732959542826635-59.2787062196766j),(-8.28378196352233-129.528208475992j)
854400000.0,(-8.45694687023531-169.123592147484j),(-0.748422788965333-59.296643361051j),(-0.747718139072978-59.4149201263541j),(-8.26512633251288-129.679944604094j)
856100000.0,(-8.44776206944688-169.302663051437j),(-0.745854629526511-59.5980771667779j),(-0.733177445484622-59.4514373232811j),(-8.25948690491992-130.015158918292j)
857800000.0,(-8.40013073019018-169.245486113839j),(-0.73917649364728-59.4891682649249j),(-0.744324259121909-59.5760239129674j),(-8.22738680561115-129.665916508218j)
859500000.0,(-8.44594369172776-169.489635139314j),(-0.743805115525929-59.650977483387j),(-0.731944271030099-59.6997950355423j),(-8.25508687165036-129.803741431785j)
861200000.0,(-8.42473497668104-169.538272419612j),(-0.754058863310065-59.7667657731375j),(-0.72670716172663-59.7500217816675j),(-8.24211626563932-130.066443819693j)
862900000.0,(-8.434912663715-169.858074004821j),(-0.741347623829309-59.9605697036671j),(-0.740194441683759-59.8775875566397j),(-8.23392109683922-129.999836770925j)
864600000.0,(-8.41668596187646-170.04519820317j),(-0.739186451826785-60.0826693439405j),(-0.749116870198053-60.0415697259979j),(-8.25251569167405-130.167157787761j)
866300000.0,(-8.42116387987581-170.015284538646j),(-0.745160492374128-60.0013750976988j),(-0.731455628951497-60.0553430231294j),(-8.23025303005392-130.261319268974j)
868000000.0,(-8.3946030482941-170.348180253659j),(-0.739570916207364-60.1934855397796j),(-0.741973266546085-60.171013960181j),(-8.2381047629117-130.253477694642j)
869700000.0,(-8.377818710912-170.415223269671j),(-0.739832693750936-60.3383125939671j),(-0.758100187805977-60.4207055777402j),(-8.23141166485487-130.235041952977j)
871400000.0,(-8.38576418443895-170.488841251253j),(-0.756221152101142-60.3278482811078j),(-0.748416771165308-60.3992514142015j),(-8.22388506724927-130.525174138787j)
873100000.0,(-8.38358543891772-170.799174953291j),(-0.738472795859772-60.517774935915j),(-0.743676007962767-60.572869237568j),(-8.20644049112526-130.532972431887j)
874800000.0,(-8.40958643093002-170.889824544188j),(-0.753996227005189-60.641617638004j),(-0.737386139933527-60.6006546331426j),(-8.20062215046037-130.557824246894j)
876500000.0,(-8.42409592944933-171.195940240706j),(-0.740332452513459-60.7859496338307j),(-0.739689269646925-60.7571706011444j),(-8.22305130574911-130.524145043088j)
878200000.0,(-8.38730339939253-171.354657445567j),(-0.76367052663209-60.919331857062j),(-0.731891751467441-60.7056458273987j),(-8.18392872243816-130.621128662211j)
879900000.0,(-8.39899712211416-171.304585887388j),(-0.74093197335891-60.9248411390438j),(-0.720937408968312-61.020488907059j),(-8.21294316699566-130.803592794065j)
881600000.0,(-8.39592510666928-171.406090353671j),(-0.747250399086762-61.0573780019958j),(-0.745313266286456-60.9931371896933j),(-8.17722741280977-130.810940586806j)
883300000.0,(-8.37991537024953-171.635984581581j),(-0.757135274355665-61.1040279420685j),(-0.75449170361527-61.1322022903384j),(-8.23304400616183-130.810671837963j)
885000000.0,(-8.36399113328199-171.855947213651j),(-0.721087086223329-61.2108686735311j),(-0.749042848276575-61.2772410301366j),(-8.17002903540116-130.974643646416j)
886700000.0,(-8.37892564626771-171.821243955349j),(-0.750047664705794-61.3138862819718j),(-0.73870493330245-61.2819749042646j),(-8.17035277284719-131.302590647899j)
888400000.0,(-8.32240228688772-171.994747680705j),(-0.760637594168641-61.4286630983461j),(-0.741031574058117-61.3592183826187j),(-8.19006857854345-131.058319638123j)
890100000.0,(-8.34296339493013-172.39756757975j),(-0.751914248794161-61.5518061197974j),(-0.74255181893629-61.507464591641j),(-8.19131903136075-131.191332171074j)
891800000.0,(-8.3431698355301-172.284058857183j),(-0.741083566324246-61.6170112217447j),(-0.763129930012085-61.5851159485351j),(-8.15633070084695-131.143007164574j)
893500000.0,(-8.34266311301373-172.524072145282j),(-0.753178993220426-61.7333218389329j),(-0.741514776663349-61.7743326089931j),(-8.17281338194728-131.408774835546j)
895200000.0,(-8.34087622962474-172.725568648452j),(-0.750682645950764-61.8219012367015j),(-0.746011966777115-61.9468696800714j),(-8.173308670678-131.480138539767j)
896900000.0,(-8.3541104595541-172.627598140816j),(-0.76756800065077-61.8386527698703j),(-0.755738129953328-61.927359821039j),(-8.1438818111115-131.512215306345j)
898600000.0,(-8.35870767392112-172.763270547782j),(-0.74592031524938-62.1137674090589j),(-0.755550277776656-62.0056426181145j),(-8.1757748990458-131.391075869757j)
900300000.0,(-8.34998498364206-173.018344079527j),(-0.746246748375572-62.1999566258064j),(-0.756267508043906-62.2281081026641j),(-8.17779452341637-131.498692638482j)
902000000.0,(-8.33797083319304-173.166955189845j),(-0.746884118131811-62.3602546905253j),(-0.750068219546317-62.2396396641816j),(-8.14698548524251-131.741818349821j)
903700000.0,(-8.33838013009697-173.212902440639j),(-0.75154678255298-62.3304108427548j),(-0.748007760957558-62.4145238339738j),(-8.15194370389295-131.872720867733j)
905400000.0,(-8.35015546930256-173.670430864547j),(-0.761448545492989-62.5695605597201j),(-0.752384721578669-62.4712001767152j),(-8.15051933081671-131.78603495088j)
907100000.0,(-8.33120172861904-173.441597992996j),(-0.762107820448935-62.6110449506611j),(-0.767597012452839-62.5790056658204j),(-8.14983830120224-131.728388366353j)
908800000.0,(-8.32376585521035-173.669961095888j),(-0.761518408661925-62.6275374150358j),(-0.760128689064577-62.6535207244568j),(-8.16331862572095-131.944074558776j)
910500000.0,(-8.33439747768113-173.795503925304j),(-0.767222882427503-62.8104070970607j),(-0.757200344577068-62.7785028776813j),(-8.15173621755508-131.748159848773j)
912200000.0,(-8.33567292409747-174.005743179036j),(-0.771498275672024-62.8954991155137j),(-0.750671405868994-62.9490378165091j),(-8.16503082951601-132.100123667795j)
913900000.0,(-8.32899673344115-174.178863876377j),(-0.763923222701318-62.9473191647768j),(-0.756290303967441-62.9304663367947j),(-8.12829960182373-132.188329955084j)
915600000.0,(-8.32486209277756-174.360772591544j),(-0.755086414463711-63.2358193154173j),(-0.75617413295596-63.1420464832702j),(-8.15589543251214-132.20681832794j)
917300000.0,(-8.29288177573555-174.284362568248j),(-0.753414012355109-63.1431927098262j),(-0.750979831858097-63.2718528442931j),(-8.16534714345092-132.263614178717j)
919000000.0,(-8.2847043880368-174.431458479381j),(-0.769826091720443-63.2782436325031j),(-0.757918191768249-63.3047568994271j),(-8.16843256494208-132.320720687669j)
920700000.0,(-8.3126898391612-174.456203553146j),(-0.776951616388411-63.3525163559805j),(-0.762451084608035-63.4466206869395j),(-8.15278823752464-132.414167241976j)
922400000.0,(-8.32263970711092-174.769304512688j),(-0.755620410051227-63.5170724832049j),(-0.761812457213568-63.6064913038324j),(-8.12111275589637-132.49625832289j)
924100000.0,(-8.29917950277576-175.033499072131j),(-0.749439625849499-63.661225523065j),(-0.756956924267474-63.5575727131282j),(-8.14544902618602-132.379770406748j)
925800000.0,(-8.27104038727526-175.349956678306j),(-0.760213954858775-63.7794297470086j),(-0.753190518904386-63.7553555389127j),(-8.15073046521143-132.51611964355j)
927500000.0,(-8.31320499305549-175.177703237447j),(-0.747954656805269-63.8258157169645j),(-0.746483125412354-63.8004491249515j),(-8.12286827040513-132.504672977972j)
929200000.0,(-8.28665017294921-175.471378485115j),(-0.754885815109316-63.9469929574926j),(-0.762760172256063-63.9498819734836j),(-8.14424030306038-132.54029028408j)
930900000.0,(-8.29517251096573-175.359107443925j),(-0.768290708216752-64.0202515362988j),(-0.75171777637948-63.9935936962544j),(-8.14060738899291-132.506879151818j)
932600000.0,(-8.30767819636818-175.690493760479j),(-0.761074945008558-64.2052184421454j),(-0.754024690040448-64.183812075454j),(-8.17307838286818-132.758495775692j)
934300000.0,(-8.32436399829118-175.688627152024j),(-0.772990290145967-64.2902160376409j),(-0.75966833088819-64.241225884554j),(-8.12606817534074-132.915631789734j)
936000000.0,(-8.28240601269939-176.034814976356j),(-0.741145653777697-64.433184066896j),(-0.750122941578563-64.4783726086765j),(-8.15804348555195-132.862176784407j)
937700000.0,(-8.26066803855823-176.084172467648j),(-0.758611462502937-64.4786397751696j),(-0.762353519321666-64.5279157311837j),(-8.15946347792906-132.85591122608j)
939400000.0,(-8.27926370073894-175.962321665437j),(-0.782244047370295-64.4960263240048j),(-0.756205532600854-64.700115853195j),(-8.15891454528449-133.101828234143j)
941100000.0,(-8.29901524927628-176.312400889642j),(-0.773296903325794-64.6167110042988j),(-0.743363753952907-64.7019476880611j),(-8.14599461368565-133.064682483786j)
942800000.0,(-8.28141192517333-176.275889823579j),(-0.773437699497319-64.8447809151979j),(-0.768085903583226-64.8339320612847j),(-8.10549153232707-132.949514542812j)
944500000.0,(-8.3042098154906-176.745556387975j),(-0.768405860192107-65.0183971856896j),(-0.761856540323815-64.8782131924479j),(-8.10184848989806-133.085269162545j)
946200000.0,(-8.26636795515885-176.752323589676j),(-0.766441263312189-65.0345480037666j),(-0.74623024347573-64.9501044685402j),(-8.12269502673958-133.280791078287j)
947900000.0,(-8.28361578698751-176.802489144561j),(-0.774680690946389-65.1646187466804j),(-0.77817098434392-65.0795438227552j),(-8.14006067375742-133.030564650076j)
949600000.0,(-8.26799414977997-176.957447274846j),(-0.762801748373839-65.2811038019522j),(-0.758573585521134-65.1184862636983j),(-8.11698535625689-133.207769526403j)
951300000.0,(-8.31822917256623-177.031827539358j),(-0.764182886785389-65.333261264551j),(-0.760714505421197-65.3277994130935j),(-8.11844385672067-133.33084245492j)
953000000.0,(-8.32444161450441-177.283880569891j),(-0.772677423174952-65.4261837112152j),(-0.773129571027433-65.4031639545913j),(-8.10913361990458-133.233359914473j)
954700000.0,(-8.26582541242217-177.609228541757j),(-0.773644729906163-65.5602199743617j),(-0.765285912125692-65.5454317040345j),(-8.12818716061781-133.533464913923j)
956400000.0,(-8.27804307179428-177.370523370932j),(-0.778603571960006-65.62436451909j),(-0.761632630631842-65.6649752949143j),(-8.13644558077326-133.625822591303j)
958100000.0,(-8.28495513701655-177.604361803615j),(-0.781390266926883-65.792906836137j),(-0.774429474346673-65.7452060087532j),(-8.10401668058414-133.500124741604j)
959800000.0,(-8.31339510480434-177.962396103571j),(-0.771499726944022-65.8166935081668j),(-0.752187111575512-65.9882431342735j),(-8.11550636214363-133.741253398721j)
961500000.0,(-8.29559779734052-177.750838608928j),(-0.77319228530763-65.9627192274024j),(-0.753155856230951-65.9509219996577j),(-8.11488687189501-133.612601807268j)
963200000.0,(-8.28287086403916-178.092598107831j),(-0.771988851493332-66.0941000221326j),(-0.771323977171806-66.0544038892881j),(-8.1320581363078-133.748435583603j)
964900000.0,(-8.2785452397162-178.260903663154j),(-0.770558724619653-66.1791435481657j),(-0.760196880501588-66.104165055796j),(-8.11817889138262-134.004250730292j)
966600000.0,(-8.25207362886428-178.33872833943j),(-0.76579276798111-66.2026675460148j),(-0.774369357580963-66.2901433559346j),(-8.13954801280967-134.05382159913j)
968300000.0,(-8.29144034810796-178.518054420461j),(-0.789018926122668-66.4209893478764j),(-0.755193160509826-66.3830675912533j),(-8.13910324877611-133.952272043711j)
970000000.0,(-8.2754809728426-178.952459403951j),(-0.758955665163373-66.38906839721j),(-0.770791393945076-66.5381446613229j),(-8.0991655877522-134.028307360482j)
971700000.0,(-8.30234158917019-178.797722869757j),(-0.763412459491952-66.6081274516487j),(-0.76523148597326-66.6284320248654j),(-8.11578060536078-133.925570395779j)
