Frequency,S11,S21,S12,S22
160000000.0,(-18.0168163024996-114.499510656382j),(-0.0904571182190219-31.9864498959709j),(-0.102573852916532-32.0364572125724j),(-18.1035578911763-126.734932871645j)
160640000.0,(-18.0966392873813-114.493068993221j),(-0.0768474124394447-32.1553153546949j),(-0.0752254383789755-32.2659805352553j),(-18.1733711269103-128.584406417358j)
161280000.0,(-17.9094582990336-114.986175476461j),(-0.0962919994807066-32.4247810783795j),(-0.0845810171899552-32.3946322615239j),(-17.9380109699483-128.54123419677j)
161920000.0,(-18.0462960923204-116.484916203918j),(-0.0678775212616675-32.4962661550997j),(-0.0705715745577344-32.4716511363282j),(-18.2339831294816-127.158172757268j)
162560000.0,(-18.1259582717345-116.059778340103j),(-0.0568301725203581-32.5724279473067j),(-0.0948076174496906-32.7026245518195j),(-18.1232739892411-127.626673076855j)
163200000.0,(-17.9663452583964-115.432584365334j),(-0.0653318743812458-32.8287280904122j),(-0.0773806114257952-32.8219335704275j),(-17.8834517294061-128.065635080235j)
163840000.0,(-18.0165122754824-117.331842829472j),(-0.0626145526548651-32.867986085417j),(-0.101002387030036-32.8811431199369j),(-18.0370903200296-127.302652147488j)
164480000.0,(-17.7079820816942-114.74199436937j),(-0.0805515153041299-33.0252876890003j),(-0.09504476482119-32.9438658671305j),(-17.9002262061023-129.430867712068j)
165120000.0,(-17.7543932471373-115.963035062288j),(-0.0725002760516136-33.1706311460537j),(-0.080926561481964-33.1665140042759j),(-17.872801228646-128.032150977291j)
165760000.0,(-17.7012874132901-116.348989691183j),(-0.0660686683025943-33.1019889389136j),(-0.0982255003136241-33.247173263117j),(-17.8743777056994-128.540037409711j)
166400000.0,(-17.6557268822795-117.054478541388j),(-0.0951100035005392-33.3707433818088j),(-0.0942470978675811-33.4311612090628j),(-17.7492281909523-128.35799436842j)
167040000.0,(-17.6276381908887-116.978453976318j),(-0.0858225674386094-33.44001501405j),(-0.0992697677286554-33.5173571851977j),(-17.738980902838-129.404750763567j)
