Frequency,S11,S21,S12,S22
2000000000.0,(-0.09555896598102923-0.0829067506355484j),(-37.9925950566615-5.120753012453084j),(-38.07885862647094-4.286658818955796j),(0.02749510270471005-0.009032216771373234j)
2002000000.0,(-0.11776178476778262-0.10139430899283941j),(-38.04853342145279-3.6031730015510184j),(-38.424565973108926-3.911120168701489j),(0.04324759042007923-0.014255879944596796j)
2004000000.0,(-0.1025543457920136-0.08817232440697742j),(-38.20284078862333-4.310970315291762j),(-38.01871757484149-3.376886333323356j),(0.037941701697331624-0.012549426276950295j)
2006000000.0,(-0.11132052808036924-0.09478444413601662j),(-38.11663938593461-3.6442989597746154j),(-38.05639717725619-4.63032559279179j),(0.029382449147998212-0.009753479724046154j)
2008000000.0,(-0.11164831177497474-0.09511482257253098j),(-37.98052168312971-4.529538940146588j),(-38.24220033813112-3.5038589697336624j),(0.03517340411405426-0.011595416665946032j)
2010000000.0,(-0.11607402715099487-0.09809902192562456j),(-38.00494095437917-4.0407548187300115j),(-38.072736556914634-4.26873735032073j),(0.028549778215209116-0.009480683074069933j)
2012000000.0,(-0.11454349047397251-0.09645329748819662j),(-37.85895403993514-3.5107425689536984j),(-38.253303619846875-3.860560222285942j),(0.024944842622142718-0.008260730829695436j)
2014000000.0,(-0.12568659679205982-0.10512993568361255j),(-37.8826560644127-4.112070144836835j),(-38.06958678058659-4.319142924960525j),(0.018775896356420817-0.0062320620752027295j)
2016000000.0,(-0.10919574835750605-0.09113108227180147j),(-38.09025103573857-3.3771715387269614j),(-38.203358963713136-4.121817689379918j),(0.03312809238125999-0.011005179620670495j)
2018000000.0,(-0.11133587791852406-0.09251139256817244j),(-38.05932421380148-5.176792915469363j),(-37.95803137639744-4.259997526363349j),(0.031872240619719404-0.01056106716203015j)
2020000000.0,(-0.11042534573759345-0.09061662775038515j),(-38.21230618662275-3.5001338994273765j),(-38.36272291174151-2.370005568589233j),(0.043944146829726-0.014554595313529838j)
2022000000.0,(-0.10034713583167992-0.08228617109778974j),(-38.37656114513627-3.5248786979231674j),(-37.945562080329076-3.760197051386132j),(0.03866900510280087-0.012907696851739602j)
2024000000.0,(-0.11118316352410633-0.09021789312465492j),(-38.07590504107469-2.838755565549365j),(-38.029560862292605-3.6988183819882887j),(0.025183395250135552-0.00842911156669129j)
2026000000.0,(-0.11722440408803607-0.09479971498326407j),(-38.314678402933474-3.11408416539289j),(-38.3969602192861-1.7308580173952561j),(0.02980368069411119-0.00995065606990096j)
2028000000.0,(-0.11790411830746635-0.09463607870235881j),(-38.027755333843736-3.52251431383564j),(-38.05154413592284-3.897398088178317j),(0.03142266668764208-0.010501944745763917j)
2030000000.0,(-0.12509453818729163-0.09986879642620981j),(-38.18665715311174-2.5925224629410373j),(-38.02860968256881-3.370620998601809j),(0.035926493303819605-0.01198942994178017j)
2032000000.0,(-0.1084805295546534-0.0860933955848638j),(-38.04779893424232-3.7388532488002895j),(-38.081073784219846-2.3902672867545083j),(0.04336499382089028-0.01453880009230965j)
2034000000.0,(-0.12280614852358099-0.0970496985546331j),(-37.95963342569805-3.018792360053682j),(-38.22985525885217-3.2090914558436068j),(0.03305348313307845-0.011079082893921833j)
2036000000.0,(-0.10143490598843162-0.07974341328136696j),(-37.9096027215525-2.447530767977468j),(-38.17418542074747-2.2919601098220617j),(0.0407584680780602-0.013690528609808014j)
2038000000.0,(-0.10212030091756255-0.0796041740720665j),(-38.14819959330147-1.1461908456622014j),(-38.37855457277141-2.669342134760445j),(0.03608826051691162-0.012083927567895295j)
2040000000.0,(-0.1069692721018643-0.08297321607244762j),(-37.99987099156514-2.4508502993185863j),(-37.98959309689588-2.9049196828868484j),(0.04065347369812359-0.013674911320055324j)
2042000000.0,(-0.122937636418819-0.09518241330381388j),(-38.025111375227034-2.295216463341194j),(-38.14334829213141-2.831508702511299j),(0.044239094465643176-0.014993696371072592j)
2044000000.0,(-0.12334145372742157-0.09442704844439968j),(-38.252983069610565-2.568009677340634j),(-37.99262720941539-3.5083263376482248j),(0.032163602604408356-0.010895973584808222j)
2046000000.0,(-0.11119445730399119-0.08455922063541392j),(-38.038686333927075-2.4535365979877812j),(-38.19573426499733-4.012269560161455j),(0.03399482277873614-0.011514056153638251j)
2048000000.0,(-0.10031580972175395-0.07636751812986313j),(-37.90640923531422-3.532033619843817j),(-38.06966598842714-2.7000043228279256j),(0.04028441610438681-0.01353197893920796j)
2050000000.0,(-0.11816747686684231-0.0890373994817314j),(-37.90029165470347-3.050954374477588j),(-37.78394424642963-2.7474494917611336j),(0.036015105508251516-0.012201746468132671j)
2052000000.0,(-0.11558791028246118-0.08700716143071402j),(-37.95438855865315-2.479611301350441j),(-38.20277845616114-1.4412026582472208j),(0.02433752720194223-0.00824994653064814j)
2054000000.0,(-0.10904391896590443-0.08112511409926675j),(-37.83070321951165-2.5414991868680863j),(-38.090322023634364-3.1412816848611786j),(0.03102786333796715-0.010537329494890621j)
2056000000.0,(-0.10890886219151713-0.08056371933166849j),(-37.88666093839022-1.9890630532612779j),(-38.167994833991784-2.832863185609161j),(0.04507675686299407-0.01529915790966122j)
2058000000.0,(-0.13061627064569822-0.09644034735183477j),(-38.10477442901744-2.1765765603354077j),(-38.03759983814365-1.1762536283886185j),(0.027137329026312714-0.009219940686026298j)
2060000000.0,(-0.10511119660546146-0.0773417368654259j),(-38.0925958936747-1.9696603623990498j),(-38.043385918375485-1.2067055239091597j),(0.04631472313641475-0.015725928848119942j)
2062000000.0,(-0.12649415891863058-0.0919485733731065j),(-37.92255861680248-1.1449262423547466j),(-37.99154863151758-2.2558719350842718j),(0.03639668515032898-0.01235226204052256j)
2064000000.0,(-0.11974606175177371-0.08671363844206653j),(-37.970238180249375-2.1821485827006613j),(-37.99262198608256-2.196979236900511j),(0.038184801865424965-0.013021334324319801j)
2066000000.0,(-0.11098553967346983-0.07976968884214042j),(-37.854957789693216-2.4633627819058925j),(-38.36412922296643-1.9576505833255857j),(0.0365568649601385-0.012520151115154124j)
2068000000.0,(-0.13192480641500123-0.09446871047869894j),(-37.99068428520612-1.5658602487809656j),(-38.10820806412584-2.7329055274903773j),(0.041113325423324625-0.01404457418316674j)
2070000000.0,(-0.11876442741478246-0.08433806340907828j),(-38.19797370638418-3.1333767101501895j),(-37.85021738625533-2.076484833366012j),(0.03813093820553471-0.013043620287832396j)
2072000000.0,(-0.13679518125037307-0.0965150330400369j),(-37.94464600751729-2.9730243818346884j),(-37.8976781417159-1.1008206203756028j),(0.040870519826018505-0.013975061630349214j)
2074000000.0,(-0.11557087513846527-0.08124988785713337j),(-38.05386992099223-2.475093852298802j),(-37.9994677628875-2.9801181966113117j),(0.041154673934666784-0.014140383979921034j)
2076000000.0,(-0.10651809317839885-0.07462003198445685j),(-38.0378591212939-1.2951756406209494j),(-37.92443169714087-2.0707664290656904j),(0.03896214143895437-0.013346126534332724j)
2078000000.0,(-0.11166122982526953-0.07782235400586299j),(-37.85818117151131-2.0374571125655905j),(-37.91640508725477-1.1778508272945303j),(0.0324307839144315-0.011110586630128512j)
2080000000.0,(-0.11829958020946049-0.08194323926677696j),(-38.18835719213037-1.2591727018043646j),(-38.08783470768438-1.69380964007416j),(0.04734985143186604-0.016263466819171922j)
2082000000.0,(-0.11311344979644022-0.07759536314250237j),(-38.15495836788989-1.622979326599757j),(-38.06351387103396-0.8815399489301757j),(0.051794549857205094-0.017919870903036546j)
2084000000.0,(-0.10238115730856057-0.06967069565951356j),(-37.87559846008024-1.1315997454704885j),(-37.757905205448964-1.2178569055697637j),(0.05082905505684977-0.01748238906362111j)
2086000000.0,(-0.13644257900994694-0.09312639054320258j),(-38.14810590245973-0.3796562593747747j),(-38.04134832638981-1.7498861893756987j),(0.03940203971127856-0.013575547331841437j)
2088000000.0,(-0.11854471769142295-0.08006853842719115j),(-37.95278855005746-2.193054704019762j),(-37.784509252136864-0.862083454251265j),(0.038009059611574296-0.013133323402437514j)
2090000000.0,(-0.1142030869185632-0.07677279257411469j),(-37.84321377933557-1.0798461640973052j),(-37.89500304069061-1.4372552426508989j),(0.04017133614515835-0.01385984650550103j)
2092000000.0,(-0.10762691803230813-0.07204057417247436j),(-37.90552095353827-0.21525873436720547j),(-37.758687990408596-1.2808817121868046j),(0.039653961759461356-0.013695925046397286j)
2094000000.0,(-0.133332708719572-0.08846621509274691j),(-37.94214608451581-0.21801673939683525j),(-38.331586989255456-1.5136197499743886j),(0.041534892900776825-0.014438990133227273j)
2096000000.0,(-0.14220257590001303-0.09380614327641314j),(-37.681070870006764-1.711493695757289j),(-37.950972255608626-1.3303808811349076j),(0.04459475201754204-0.01539295496800116j)
2098000000.0,(-0.11852996017612329-0.07765536220986509j),(-37.93130095827669-1.0852906542609517j),(-37.739798950464504-0.6571037157726999j),(0.03425492552015991-0.0118209230503689j)
2100000000.0,(-0.11406104841992533-0.07429203988233538j),(-37.96545082517983-0.9023354253774273j),(-37.84245976210564-1.0709499560840043j),(0.0488171653891957-0.016939947765151012j)
2102000000.0,(-0.11062439579959658-0.07126666671115267j),(-37.73312397149024-1.7471540963337058j),(-38.0248343669748-0.32526294064751665j),(0.048231636752664946-0.016735055492948448j)
2104000000.0,(-0.11885310929568381-0.07629442258158814j),(-37.90810863323467-0.4809276646716316j),(-38.05907435200001-0.696564879751541j),(0.023116821000919406-0.008050181943542116j)
2106000000.0,(-0.12201705377242741-0.07800268995731183j),(-37.72885820231501-1.8650593987336048j),(-37.91691686440316-0.48545308739182624j),(0.046446175641709164-0.016278801091179282j)
2108000000.0,(-0.12574273398676078-0.07971059830819197j),(-38.01564386750428-0.797213888815176j),(-37.7919323488479-1.1170015814041303j),(0.04444197954251225-0.015452440472827558j)
2110000000.0,(-0.1151669371394267-0.07277187960577218j),(-37.95823304821697-0.8106445451725881j),(-37.702027806480686+0.9597125816168575j),(0.028973283498978868-0.010197377210751882j)
2112000000.0,(-0.13397464098190215-0.08401527731392182j),(-37.943850366794166-1.134595492788353j),(-37.776789730218354-1.2819536712789197j),(0.04497982076025773-0.015663003488769017j)
2114000000.0,(-0.12131672612883705-0.07588887464530697j),(-37.774012562883925-1.9770180095474352j),(-37.70295055225353-0.4859617538934128j),(0.04335613075013153-0.015194514261309784j)
2116000000.0,(-0.12015115084485072-0.0744163255791285j),(-37.714431720001926-0.6793471713797021j),(-37.88190563012991-1.8813171668190198j),(0.03818426716678221-0.01339066367313466j)
2118000000.0,(-0.12024820148688317-0.07384323419972721j),(-37.92770897311331-1.269125684078007j),(-37.76966588098338-0.7083391703219576j),(0.041612211409556184-0.014627800833469267j)
2120000000.0,(-0.12739878014112316-0.07826122278114953j),(-37.74327772830785-0.12757839650039843j),(-37.77575590245398-0.5935558089035737j),(0.031456813689353186-0.011045029787989082j)
2122000000.0,(-0.11467000941339597-0.06965787146916959j),(-37.50056715495596-1.0909355063333088j),(-37.749129323098465+1.0889033131365118j),(0.040022849491588956-0.0140811587604155j)
2124000000.0,(-0.10548682717098808-0.06367833830484702j),(-37.85283124259141-0.8608215609842589j),(-37.60740582555607-0.041870182398003004j),(0.04460701707763109-0.01564793032302126j)
2126000000.0,(-0.12800115755222977-0.0769547449507067j),(-37.95308114960881-0.6186704141216555j),(-37.46960148874665+0.15227368887887915j),(0.03412566313297832-0.01207630165273568j)
2128000000.0,(-0.12045837722295324-0.07195479299195548j),(-37.64856620862791-1.412167914030226j),(-37.859315700960906-0.701619150365142j),(0.03300966263207931-0.01161297497239409j)
2130000000.0,(-0.13156790201683832-0.0780642134542377j),(-37.76330665382833+0.21422210236213735j),(-37.97105961812103+0.14312874581859245j),(0.03436593592820967-0.012083235043771234j)
2132000000.0,(-0.10773784091261053-0.06369234262848289j),(-37.52942852360451-0.6537670766410645j),(-37.942579155248055-0.5590869984211068j),(0.043420884076212425-0.015301344804327557j)
2134000000.0,(-0.10820655616169468-0.06340774277540318j),(-37.77077273220823+0.36017571015687116j),(-37.6944645616798-0.22317868020844195j),(0.038984951072327155-0.013824334433187221j)
2136000000.0,(-0.1144057126856133-0.06684901949293075j),(-37.71092849790619+0.6803330702612596j),(-37.69680696076279+0.09992780352847541j),(0.0350605307762751-0.012386181619274083j)
2138000000.0,(-0.1318946454517731-0.07657320661576429j),(-37.73065807945131+0.14354734821777002j),(-37.678431885815655-0.1359807324765441j),(0.044862691780883264-0.015810259332523457j)
