Frequency,S11,S21,S12,S22
2000000000.0,(-0.12651104805632+40.9448362372382j),(-38.3361368757209+7.67623243813631j),(-38.3193804506922+6.42292810871324j),(-0.0289406567400885+161.814506088537j)
2002000000.0,(-0.155398339269855+40.7288455500994j),(-38.2187617696141+5.40974252858357j),(-38.6231035935206+5.81194725385409j),(-0.0455366247117382+161.756018529273j)
2004000000.0,(-0.135247006000714+40.687689687204j),(-38.4453054270639+6.43826265327288j),(-38.1683933031474+5.07578718961616j),(-0.0399632434565803+161.698083216596j)
2006000000.0,(-0.146206534813824+40.4129068543236j),(-38.2904572052306+5.46139927049728j),(-38.3370484154471+6.93708591970273j),(-0.0309589839087474+161.636456631539j)
2008000000.0,(-0.14667029349942+40.4281607880201j),(-38.2496634015646+6.80094587484948j),(-38.4023816238204+5.23498584894296j),(-0.0370354160855183+161.754455582506j)
2010000000.0,(-0.151975648976453+40.2025524044076j),(-38.2191475107823+6.06899195006265j),(-38.3112958211837+6.3973184267242j),(-0.0300827722739874+161.629935155232j)
2012000000.0,(-0.14974461528318+40.0996260194825j),(-38.0213849614054+5.29800972998379j),(-38.4476158306609+5.76283317893557j),(-0.0262770783627889+161.677201429762j)
2014000000.0,(-0.163857938440621+39.9106305407011j),(-38.1051801120352+6.19506218271999j),(-38.3138151748276+6.472752116665j),(-0.0197831464053683+161.638054210578j)
2016000000.0,(-0.142227232326955+39.847234323777j),(-38.239671959466+5.06673018450514j),(-38.4250701648651+6.15790743278827j),(-0.0349082294495799+161.623470156359j)
2018000000.0,(-0.144755087878772+39.7239262451551j),(-38.4097818856201+7.74578189976662j),(-38.1963313015294+6.40346155432194j),(-0.0335764182384334+161.667060582014j)
2020000000.0,(-0.142846526755532+39.3727950564495j),(-38.3722722993326+5.23351961449314j),(-38.4358613224447+3.53517544476481j),(-0.0462917302045748+161.674784091333j)
2022000000.0,(-0.129771189497347+39.3522714700866j),(-38.5381008245276+5.24788008992171j),(-38.1314143909895+5.65922171585566j),(-0.0407664150209072+161.541013052004j)
2024000000.0,(-0.143181577345271+39.0570788086855j),(-38.181580347831+4.26380815831793j),(-38.2090140778554+5.55520972841973j),(-0.0265566059226001+161.494137404806j)
2026000000.0,(-0.15075989809861+38.9625683858843j),(-38.4410210752702+4.64658859503411j),(-38.4359522265004+2.58103162248749j),(-0.0314209315447202+161.537206739229j)
2028000000.0,(-0.151186535465365+38.7523701816101j),(-38.1905522717577+5.29221125102997j),(-38.2506172889513+5.84807978087104j),(-0.0331311760311301+161.519569158402j)
2030000000.0,(-0.160070047116603+38.6019969322105j),(-38.2745601836279+3.88389609753779j),(-38.1776929672994+5.06510780913013j),(-0.0378742571074107+161.545056303724j)
2032000000.0,(-0.138492231030444+38.436568221261j),(-38.2310610283915+5.61228108116535j),(-38.15601601663+3.59162131880609j),(-0.0457372867276798+161.465458162147j)
2034000000.0,(-0.15652473959327+38.3181686265751j),(-38.079481051171+4.54695657966013j),(-38.3643076450593+4.79827487002151j),(-0.0348608494589431+161.469541150973j)
2036000000.0,(-0.129027330882433+38.1727851916072j),(-37.988529655228+3.69401984919007j),(-38.2429276295974+3.43588707360529j),(-0.0429963172107359+161.433104199231j)
2038000000.0,(-0.129481197048797+37.9369035611567j),(-38.1654147843967+1.72097628929903j),(-38.4712728997573+3.97868363221078j),(-0.0380576385578851+161.487201356653j)
2040000000.0,(-0.135377175917537+37.7997804182611j),(-38.0788243327609+3.69025340307938j),(-38.1004952990344+4.37268110008438j),(-0.0428918188392076+161.408221886262j)
2042000000.0,(-0.155477825591252+37.7482298131104j),(-38.0943186539937+3.45421354932907j),(-38.2483000990533+4.24547099764717j),(-0.0467109024747758+161.277240452273j)
2044000000.0,(-0.155336993937422+37.4367405450867j),(-38.3390843321385+3.84063321090858j),(-38.1542668120493+5.27586171133917j),(-0.0339590867494275+161.285305588163j)
2046000000.0,(-0.139694198625418+37.251629305658j),(-38.1177320921452+3.69052768516853j),(-38.4058904735418+5.99664113477264j),(-0.035891802195861+161.288744903j)
2048000000.0,(-0.126076403444285+37.2809667950536j),(-38.0706070690608+5.3233210142577j),(-38.1652917166068+4.05677980843341j),(-0.0424964543801309+161.432233080229j)
2050000000.0,(-0.147956787933319+36.9974697772094j),(-38.0228934999262+4.60235714131331j),(-37.8837025847142+4.15892771172919j),(-0.0380259180249876+161.283864183398j)
2052000000.0,(-0.14467484627155+36.9700868945074j),(-38.035300486088+3.73789843672197j),(-38.2299535295646+2.16046302152474j),(-0.0256977985061723+161.274344530221j)
2054000000.0,(-0.135911222498592+36.6480428390367j),(-37.9159771626635+3.84340459507934j),(-38.2196321605508+4.71447337986678j),(-0.0327683325209486+161.242070535017j)
2056000000.0,(-0.135468273541825+36.491636490547j),(-37.938838264902+3.00528949935068j),(-38.2729792866456+4.24476169204559j),(-0.0476022924031+161.252666103113j)
2058000000.0,(-0.162361789700449+36.4402560554043j),(-38.1668877406752+3.26923029360007j),(-38.0557823995913+1.77121845174392j),(-0.0286608083091911+161.234744687525j)
2060000000.0,(-0.130499455604967+36.3459595378491j),(-38.1434846843076+2.95996658270449j),(-38.0625189701875+1.81676679996024j),(-0.0489117410990335+161.245342467647j)
2062000000.0,(-0.156381943925382+36.0133940150189j),(-37.9398380089485+1.72930106479183j),(-38.0584645723979+3.39813357629722j),(-0.0384356223762529+161.253878668331j)
2064000000.0,(-0.147845779097413+35.9100284984385j),(-38.0328905015363+3.28916896173684j),(-38.0560907496387+3.30952708111929j),(-0.0403439492500111+161.170197771873j)
2066000000.0,(-0.136678430173101+35.7062938845333j),(-37.9350232035613+3.72319981339556j),(-38.4140443958048+2.92116400736402j),(-0.0386414099077673+161.094474739789j)
2068000000.0,(-0.162260567628564+35.6056922122009j),(-38.0229405856112+2.36022151243044j),(-38.2060766695678+4.10190747253908j),(-0.043446007772299+161.139505702434j)
2070000000.0,(-0.145663647348111+35.3796653363067j),(-38.3262735585046+4.68946865775833j),(-37.9071331737179+3.14013188373478j),(-0.0403001796354242+161.115492363843j)
2072000000.0,(-0.167415869068741+35.2046556766655j),(-38.0609384357609+4.48006427924272j),(-37.9136626372517+1.66381289698059j),(-0.043193769671343+161.122645796389j)
2074000000.0,(-0.141273392601252+35.1084003415836j),(-38.1342773045653+3.72138133649764j),(-38.1161469029662+4.4842580134244j),(-0.0435161768284893+161.037729429733j)
2076000000.0,(-0.130054809014213+35.0127246348638j),(-38.0599028699688+1.9501475940134j),(-37.9809240692594+3.12538567644799j),(-0.0411845548595527+161.091571233219j)
2078000000.0,(-0.136104919195103+34.8745894413939j),(-37.9129676113664+3.08058071645712j),(-37.9346952974735+1.77928750888678j),(-0.0342812030210455+161.088856223092j)
2080000000.0,(-0.143907905061768+34.7094030078672j),(-38.209110705782+1.88851153686596j),(-38.1254789322927+2.54633122132696j),(-0.0500650455267754+161.043709970327j)
2082000000.0,(-0.137170306211179+34.4499628646839j),(-38.1894607182398+2.43569503183346j),(-38.073720607421+1.32671647624105j),(-0.0548069080325829+160.915410692286j)
2084000000.0,(-0.123838229983801+34.2354088965396j),(-37.89249895023+1.71130255892442j),(-37.7775406947847+1.84739798824031j),(-0.0537515280279927+161.019611166898j)
2086000000.0,(-0.165194134225434+34.314777059208j),(-38.1499950566257+0.570198249329493j),(-38.0815740767827+2.63372543614011j),(-0.0416751270996051+160.989162537275j)
2088000000.0,(-0.143051812076624+34.0362322083298j),(-38.0160972176287+3.30708791391274j),(-37.7943425304226+1.30702174946078j),(-0.0402140870361273+160.938361856539j)
2090000000.0,(-0.137609617183382+33.9108870355313j),(-37.8586172077984+1.63447649962472j),(-37.9222488532323+2.17203328371418j),(-0.0424950772777666+160.964628152871j)
2092000000.0,(-0.129512153144919+33.7965562423519j),(-37.9061321567085+0.325369078029971j),(-37.7804073127546+1.94289019124189j),(-0.0419525332500596+160.945801874714j)
2094000000.0,(-0.160012132125456+33.5642628151944j),(-37.9427724447937+0.32921968961559j),(-38.3614599026467+2.26129406956386j),(-0.0439730799961344+160.830750003947j)
2096000000.0,(-0.170355995224688+33.4114617971148j),(-37.7199193077224+2.60061649581055j),(-37.9742835144373+2.00769583664648j),(-0.0471766358503124+160.956650130414j)
2098000000.0,(-0.141702881901882+33.2309677087557j),(-37.9468239539436+1.63890012387046j),(-37.7455190733253+0.997500431876121j),(-0.0362371928293907+160.961120846951j)
2100000000.0,(-0.136122114134813+33.0776368459447j),(-37.9761723397585+1.36150839581665j),(-37.8576107890477+1.62105051937329j),(-0.0516727923275115+160.86281583739j)
2102000000.0,(-0.13159291291762+32.7905241424894j),(-37.7735514888948+2.6510687996789j),(-38.0262254847418+0.490093895819113j),(-0.0510524521075441+160.86462798912j)
2104000000.0,(-0.141233496403331+32.6972970875132j),(-37.9111591957799+0.726853652841513j),(-38.0654481539725+1.04852188579296j),(-0.0244784158497375+160.799882503831j)
2106000000.0,(-0.144819132202482+32.5898437191005j),(-37.7749280318467+2.83001187775406j),(-37.9200243829315+0.733522019751325j),(-0.049216324494081+160.685077275985j)
2108000000.0,(-0.148879194762449+32.3713511713453j),(-38.0240020072248+1.20135535103989j),(-37.808436137888+1.69297640002787j),(-0.0470517530196629+160.827477986269j)
2110000000.0,(-0.1362320442166+32.2880426052919j),(-37.9668882148823+1.22343555242083j),(-37.7142406652972-1.45816051796741j),(-0.0307154303028716+160.610075642272j)
2112000000.0,(-0.158138455944039+32.0917570786524j),(-37.9608098911222+1.7127457532472j),(-37.7985349919337+1.94358388136038j),(-0.0476289193023955+160.800712685914j)
2114000000.0,(-0.143097412043511+32.0277656988626j),(-37.8257138109909+2.99601551001764j),(-37.7060822570036+0.738457212128352j),(-0.0459415643754068+160.686566014603j)
2116000000.0,(-0.141329715778533+31.7722484326407j),(-37.7205497380665+1.03195288879419j),(-37.9285924923696+2.84312640359845j),(-0.0404641586181056+160.674978160395j)
2118000000.0,(-0.141111492083054+31.5536752674725j),(-37.9489365852479+1.91649920445885j),(-37.7763074577351+1.07440949827045j),(-0.044108374438617+160.632066634453j)
2120000000.0,(-0.149516782244158+31.562455781083j),(-37.7434933455216+0.193668284199701j),(-37.7804187708404+0.900192296248718j),(-0.0333395232495044+160.652946063544j)
2122000000.0,(-0.134169408273584+31.2771626881037j),(-37.5164320961141+1.6663314999117j),(-37.7648311935506-1.65228362975162j),(-0.0424276739105788+160.616700813028j)
2124000000.0,(-0.12321688794913+31.1177644200898j),(-37.862618066372+1.30275440244581j),(-37.6074291336199+0.0637901949089247j),(-0.0472720181075253+160.669371192131j)
2126000000.0,(-0.149353035138691+31.0144325016861j),(-37.9581232653842+0.933891620547181j),(-37.4699109019732-0.232844528014627j),(-0.0361994191372373+160.512278323178j)
2128000000.0,(-0.140312910588094+30.8516263907791j),(-37.6750415498491+2.14811228686173j),(-37.8658164414447+1.06169945763244j),(-0.0349928423365857+160.617856661444j)
2130000000.0,(-0.152984098073431+30.6822591839762j),(-37.7639142640195-0.32502160890533j),(-37.9713293731044-0.215970644629133j),(-0.0364283148298797+160.628070572079j)
2132000000.0,(-0.125156529490135+30.5906853003925j),(-37.5351224415059+0.997998302180538j),(-37.9466980279453+0.844196889580993j),(-0.0460380747510232+160.587747456659j)
2134000000.0,(-0.125416109970951+30.3697906180576j),(-37.7724899805442-0.546346317760053j),(-37.6951252460452+0.339228775009534j),(-0.0413634939606454+160.475140013474j)
2136000000.0,(-0.132504560307445+30.2984016629677j),(-37.7170648547933-1.03354616356095j),(-37.696939406309-0.151880980092439j),(-0.0371841137237366+160.542708143327j)
2138000000.0,(-0.152511158510679+30.1378829335227j),(-37.7309311434219-0.217982350421228j),(-37.6786772609344+0.206778463182732j),(-0.0475670622804076+160.586807606798j)
2140000000.0,(-0.147002940986188+29.9038153529084j),(-37.6443534800969+0.338881353355743j),(-37.5434407929942+1.26242789585823j),(-0.0298129863486416+160.474794412427j)
2142000000.0,(-0.156218431143692+29.6278808048131j),(-37.6664848584052+2.0080959861548j),(-37.7474869366161-0.453325128564539j),(-0.0364885476564087+160.387700147924j)
2144000000.0,(-0.13041645148744+29.5541877972859j),(-37.9648540560318+2.20353395114889j),(-37.5560683364904+1.32955725453153j),(-0.0522802753526126+160.524231176429j)
2146000000.0,(-0.12755114443548+29.5107209011036j),(-37.38469232456+0.816715086764518j),(-37.6761289806107+0.0232418837479966j),(-0.0322939459093644+160.492491612256j)
2148000000.0,(-0.132860728457261+29.2664141460063j),(-37.488076179215-1.06426347486877j),(-37.6593142357871-1.24871332684042j),(-0.0464255775659571+160.271041208671j)
2150000000.0,(-0.136936051526705+29.120443466513j),(-37.5507292833816-0.283908221388243j),(-37.700546934012-0.401796087536251j),(-0.0350620262995401+160.355533572782j)
2152000000.0,(-0.126563604793433+29.038112646851j),(-37.7820489547131-0.314535821609309j),(-37.6142227284655-1.15726785411618j),(-0.0379124222775416+160.377101912779j)
2154000000.0,(-0.134550147670903+28.7622554259992j),(-37.718286403229+0.0476661201167143j),(-37.4386222802574-1.01096704448089j),(-0.0391643199939859+160.370054261372j)
2156000000.0,(-0.137179734439456+28.6324554553631j),(-37.602577940404-0.273688632084379j),(-37.7003176974838-0.065918619839603j),(-0.0467420021665027+160.434136489975j)
2158000000.0,(-0.147806721480051+28.541792067802j),(-37.6942576775731-0.0179561798825694j),(-37.5519240362841-0.496464685048446j),(-0.0443610847552453+160.297230040939j)
2160000000.0,(-0.155069324772195+28.3643645716459j),(-37.6296685484576-1.86059581597472j),(-37.8217272944565-0.967600866266684j),(-0.0395555180131446+160.350518589147j)
2162000000.0,(-0.157146466750033+28.0861289671133j),(-37.671486687258-0.285876955790264j),(-37.5648012257755-2.6698184912639j),(-0.0367214413204366+160.274709237049j)
2164000000.0,(-0.144895734861853+28.0035018062871j),(-37.7189412613949-0.792710121825547j),(-37.6743483494914-2.07760938769352j),(-0.0353581764279302+160.209148714325j)
2166000000.0,(-0.15441285576672+27.8092519360836j),(-37.6330049666486-2.73865305705572j),(-37.6854133872105-2.13671995569295j),(-0.0327982518941255+160.227768592042j)
2168000000.0,(-0.132249710663603+27.686119886683j),(-37.5866337005801-3.85844986894726j),(-37.3845766476089-1.20194824481453j),(-0.0550490971373237+160.211355736937j)
2170000000.0,(-0.132445090159874+27.5030905623543j),(-37.4505186799168-0.894906619546712j),(-37.5713756160407-0.923858297287783j),(-0.0356170720982656+160.158298313527j)
2172000000.0,(-0.146297447371105+27.4355665671207j),(-37.5960307856706-2.9361125722013j),(-37.5510316563345-1.47478031097478j),(-0.0473400536127138+160.145647869381j)
2174000000.0,(-0.143214101542035+27.2876368803796j),(-37.3173064753168+0.422376646059453j),(-37.53962775111-2.20281561754694j),(-0.04331358765452+160.171939775485j)
2176000000.0,(-0.139645663552969+27.0311517312241j),(-37.8757188912001-2.33040052854985j),(-37.2914703319976-0.886939601462539j),(-0.0470378711033901+160.155748545929j)
2178000000.0,(-0.120555932233919+26.9646707566372j),(-37.4788189357365-4.08553376300945j),(-37.5543469678858-1.24710307672813j),(-0.0475736033701381+160.089004078927j)
2180000000.0,(-0.141167062901642+26.6396976049757j),(-37.587292488489-2.14178306711815j),(-37.7345399374138-2.11618805338799j),(-0.0362360380432235+160.115864391626j)
2182000000.0,(-0.153199825771966+26.6587049338649j),(-37.4173504531762-3.38470173732359j),(-37.4607046218065-1.86814936973281j),(-0.0480101049310216+160.059222315827j)
2184000000.0,(-0.15004663593222+26.3352053135737j),(-37.26196729691-1.1909187021637j),(-37.5008594570937-2.6006200386841j),(-0.0457593199504935+160.079702833495j)
2186000000.0,(-0.145424145050937+26.2278566599369j),(-37.3568086299119-0.962203709889134j),(-37.3920516214002-2.0533058948249j),(-0.0236305790126098+160.035290411113j)
2188000000.0,(-0.165061463270293+26.1651544517258j),(-37.4035921123655-1.60255527536217j),(-37.2874704728497-1.73911353942099j),(-0.0356793817872554+160.103316245502j)
2190000000.0,(-0.130764630556198+25.791976186717j),(-37.4999017441392-2.91241497112717j),(-37.5904911986793-1.6778747496626j),(-0.035605525208968+160.101316809903j)
2192000000.0,(-0.146997093175354+25.7110271613083j),(-37.4451396653879-2.45256854876882j),(-37.4242122248594-3.71586849830562j),(-0.0428931497569584+160.008179380908j)
2194000000.0,(-0.145127218374648+25.4997863550061j),(-37.4289369825804-2.95867304256269j),(-37.6378096764667-2.90855827673711j),(-0.0383200075437163+159.922703739376j)
2196000000.0,(-0.149335119598202+25.3679606687138j),(-37.4953165345089-3.28367568329521j),(-37.3628847240551-2.69075393846246j),(-0.0592375943572818+159.939946463806j)
2198000000.0,(-0.141930080263676+25.1076188449842j),(-37.2121225916999-3.61710739287433j),(-37.3377713223267-2.81761837184491j),(-0.0535566322933632+159.910457009024j)
2200000000.0,(-0.144060271155107+25.0969530653384j),(-37.4235049843488-2.59931990085282j),(-37.23886127076-2.66683609835271j),(-0.0539305857678274+159.937233139891j)
2202000000.0,(-0.142063235930796+24.8952515466726j),(-37.5823955020292-5.01980468772912j),(-37.5762144125474-2.19857013965977j),(-0.045113801278935+159.83640334169j)
2204000000.0,(-0.134792722357596+24.9083543485412j),(-37.0959307831195-2.93565839791527j),(-37.6383331752431-2.76184257082644j),(-0.0514661906203967+159.866608239699j)
2206000000.0,(-0.153613829975437+24.6278737535423j),(-37.2937098522736-1.8991531392686j),(-37.2832682402381-3.16286342590713j),(-0.0443760694423447+159.852087581163j)
2208000000.0,(-0.125903831625382+24.4568861182818j),(-37.2756971137438-2.24250419000808j),(-37.5233212165672-3.25612689118195j),(-0.0471520969574155+159.948459343763j)
