Frequency,S11,S21,S12,S22
2500000000.0,(-8.68533999361505-65.2171553254111j),(-2.10473011669989+134.131475167827j),(-2.12981581091672+134.076782411857j),(-8.86535124049239+154.683153013169j)
2510000000.0,(-8.79518317901167-65.5330031424601j),(-2.11698614777325+133.315769768159j),(-2.14113798544686+133.293649258023j),(-8.93182095944655+153.905041595691j)
2520000000.0,(-8.84980502663694-65.6270584164325j),(-2.11609777504447+132.381388003136j),(-2.14099407061318+132.483079495569j),(-8.9841071496707+152.72139316672j)
2530000000.0,(-8.92904757568109-66.0405121524859j),(-2.0990178079181+131.57322203747j),(-2.10427056999571+131.5871621202j),(-9.13498670490289+151.683955634748j)
2540000000.0,(-9.02918479742153-66.1431344145773j),(-2.10324236614437+130.580178441671j),(-2.11058399768858+130.75675732246j),(-9.17059138785664+150.924342320821j)
2550000000.0,(-9.15459525348209-66.7152446207555j),(-2.0788964002969+130.030300923835j),(-2.10576192295822+129.908866412831j),(-9.18943553051423+150.19433265097j)
2560000000.0,(-9.25618497305289-67.1498042681696j),(-2.08332416211949+129.11773037931j),(-2.10165041529225+128.990797867679j),(-9.26691042014011+149.441192601436j)
2570000000.0,(-9.31764972827778-67.229930695989j),(-2.06015300245382+128.109719590318j),(-2.07910550026687+128.282612299903j),(-9.39470529488234+148.414373057963j)
2580000000.0,(-9.43945431277035-67.4388940067499j),(-2.04286232701836+127.239698792217j),(-2.06442011277972+127.361079989448j),(-9.42290216061702+147.787922498408j)
2590000000.0,(-9.53888404237668-68.2414116999586j),(-2.03914969315157+126.553627328524j),(-2.04805969497683+126.635270216675j),(-9.6010443255395+146.893966593623j)
2600000000.0,(-9.70758156387855-68.0115066735177j),(-2.0327081119301+125.572973123151j),(-2.02995002984624+125.504415450666j),(-9.76389687170443+147.024589120282j)
2610000000.0,(-9.82133413264405-68.6160706856948j),(-2.01268994811914+124.630029650033j),(-2.02402818442309+124.709888049959j),(-9.9517264315354+145.774418898758j)
2620000000.0,(-9.97691841536141-69.071204607289j),(-2.01483083023569+123.846785504544j),(-2.02296893177389+123.772440365714j),(-10.054648426904+144.95994865192j)
2630000000.0,(-10.0510445980025-69.0402330139048j),(-1.9952218779683+122.852712215987j),(-2.00625068490183+122.954113582343j),(-10.208343501291+143.615091888124j)
2640000000.0,(-10.144561504019-69.3627177463853j),(-1.98635197312407+122.005876424979j),(-2.01478030580524+122.109884127375j),(-10.3167058372114+142.689132260426j)
2650000000.0,(-10.3105330800397-69.6885493543084j),(-1.97340695879396+121.294386872935j),(-1.989016038945+121.291052861486j),(-10.4401647279535+141.847495910826j)
2660000000.0,(-10.4255611745106-70.1283284041717j),(-1.98035575797541+120.209359695955j),(-1.983714590871+120.201012467502j),(-10.5661891078897+141.333768818571j)
2670000000.0,(-10.5762259461433-70.0426675188272j),(-1.97460718840814+119.295400869429j),(-1.9920704091799+119.465432221875j),(-10.6636816030401+140.101679496028j)
2680000000.0,(-10.787802927482-70.525071527826j),(-1.94023716965035+118.523976817214j),(-1.96484907507924+118.694765163161j),(-10.8317618907356+139.9215880236j)
2690000000.0,(-10.9627066642838-70.5511179928069j),(-1.94262807760135+117.661840131418j),(-1.95888550375691+117.606739728939j),(-10.951952017404+139.357534793534j)
2700000000.0,(-11.1603689995951-70.9461975132064j),(-1.92868767334838+116.77286871876j),(-1.94376670360852+116.756222280725j),(-11.1513994517341+138.432553120672j)
2710000000.0,(-11.3118024954115-70.7240220611433j),(-1.92817001406248+115.819262293233j),(-1.93959995497811+115.759944735284j),(-11.3630402376715+138.03765574218j)
2720000000.0,(-11.463895788961-70.8027813437871j),(-1.89655976022266+114.882889833472j),(-1.92195983400091+114.951492838989j),(-11.6193267806337+137.264154524039j)
2730000000.0,(-11.7266777165058-71.3962031310409j),(-1.91817116289852+113.878838395507j),(-1.92127390238517+113.783915581047j),(-11.8028232830073+136.867311735002j)
2740000000.0,(-11.8431268340304-71.6323808456145j),(-1.89866322251834+113.042528669379j),(-1.89949541530832+112.915815208092j),(-12.0737011721156+136.076834130728j)
2750000000.0,(-12.0368707921709-71.3254383299687j),(-1.88052531224361+112.054960953344j),(-1.89392780315406+112.211182957556j),(-12.2325010249105+134.849817605247j)
2760000000.0,(-12.2699696804064-71.8489540800732j),(-1.89146123231283+111.16636477829j),(-1.88667398665259+111.250941769308j),(-12.5176351080729+134.251257362791j)
2770000000.0,(-12.5555621757795-71.8058023270845j),(-1.87385379526512+110.251775862123j),(-1.88990767349992+110.25958212262j),(-12.680296896878+133.498510786332j)
2780000000.0,(-12.7905764967452-71.4558356390974j),(-1.8481798223226+109.337894180802j),(-1.88557297744004+109.402512223908j),(-12.8255513320647+133.055619810533j)
2790000000.0,(-12.9218660722627-71.6495712598973j),(-1.85437444207478+108.354216942768j),(-1.85482556830058+108.563173981343j),(-13.1339323409957+132.704843116797j)
2800000000.0,(-13.3012249650487-71.5987316734124j),(-1.84395298707721+107.59520793689j),(-1.86072424314429+107.379581722237j),(-13.31860690505+132.858400081007j)
2810000000.0,(-13.6126128591962-71.5028894303406j),(-1.81968163598396+106.434747164896j),(-1.84484978002314+106.519197755959j),(-13.5290183093456+132.659301994073j)
2820000000.0,(-13.9082267720344-71.7501687306853j),(-1.83079994065197+105.563458881905j),(-1.83533870161881+105.455607044983j),(-13.8119926854206+132.303487495076j)
2830000000.0,(-14.1359710864402-70.5756388407105j),(-1.80671689682174+104.463197719603j),(-1.83952819877737+104.583945290764j),(-14.1326860304166+131.969450308334j)
2840000000.0,(-14.5483858034885-70.8299172905328j),(-1.81223188419618+103.56084660347j),(-1.82543394985735+103.736838466304j),(-14.483610691572+131.917181220619j)
2850000000.0,(-14.7979579693037-71.1424266825518j),(-1.82965855369785+102.630527809501j),(-1.83438162430908+102.665461980154j),(-14.8604886015643+131.276323488688j)
2860000000.0,(-14.9761754215077-70.2813377459338j),(-1.80649143829188+101.650150556634j),(-1.78734789741529+101.730015651018j),(-15.2769035883507+131.807179007787j)
2870000000.0,(-15.4636339039718-69.5056227488236j),(-1.8022757848337+100.884695786214j),(-1.81131006893512+100.79353632851j),(-15.5376846231518+131.781183462894j)
2880000000.0,(-15.7641195133797-68.6731521662062j),(-1.78084232884341+99.7821559343162j),(-1.79538789287549+99.8031060823929j),(-15.9348047488148+130.320315940163j)
2890000000.0,(-16.1591656456961-68.7633442384956j),(-1.80329602934572+99.0391728217151j),(-1.79533403042411+98.9341855011163j),(-16.2747561917509+130.371927187049j)
2900000000.0,(-16.605084410863-66.875770087509j),(-1.78953649834689+97.9745421102339j),(-1.79783139430125+97.7362676185372j),(-16.4863982288554+131.463564131097j)
2910000000.0,(-16.9017685717866-67.1785676758439j),(-1.79587634358679+96.873569681752j),(-1.82921650282972+96.978055112984j),(-16.8258575226222+130.765268859572j)
2920000000.0,(-17.3537150157134-65.1502964375461j),(-1.7811923009178+96.1366393442779j),(-1.79707919370962+96.0734565566933j),(-17.2718136699859+133.469978096865j)
