Frequency,S11,S21,S12,S22
1000000000.0,(0.002483921510678222+0.0010528521893452686j),(0.49492075089920523-0.8664073085275236j),(0.49401895011411384-0.8676996406440848j),(0.0025968444383418525-2.8975023178468157e-05j)
1005000000.0,(0.0027834800333073153-0.001113372002419299j),(0.4904229284775014-0.8702211889461824j),(0.4900638117397921-0.8679810142058387j),(0.0014961542944610267-0.0012714863222067923j)
1010000000.0,(0.0033134218729005908+0.0003821449973490807j),(0.4856692426269535-0.8711376925257281j),(0.4862990085681203-0.8707386237761927j),(0.0010960763503314193+0.0004825511459157181j)
1015000000.0,(0.0020955486036005025-0.001872793086580111j),(0.48141096347923407-0.8724678953054629j),(0.47945623219505584-0.874678446751247j),(0.0033180145710435464-0.0011936549602702504j)
1020000000.0,(0.0028700501868345082-0.0009759990499231219j),(0.47813990198176237-0.8749515839978215j),(0.47532257295985025-0.8751629257132504j),(0.0016950825415834624+0.00023474685720497896j)
1025000000.0,(0.00356633229189502-0.0012040606773162728j),(0.472126983773385-0.8792335333239348j),(0.473231923030815-0.8787120401977717j),(0.0002959339519941922-0.0003824244371614895j)
1030000000.0,(0.0013756801757490464+0.0008068840885064878j),(0.468120584633946-0.8811111434753768j),(0.4664272201045341-0.8803657797470731j),(0.0040599554060505956-0.0013071954101623766j)
1035000000.0,(0.002925812180226793-0.0008996531272734945j),(0.46388582483952795-0.8811026505941778j),(0.46091777220400726-0.8827586719830688j),(0.001825262023135329-0.0007208372638594875j)
1040000000.0,(0.0040756255243636335-0.001521709891215806j),(0.4594202844734897-0.8863393793708435j),(0.4571761716151171-0.8855657690287794j),(0.0020867079634181262-0.002061166171219791j)
1045000000.0,(0.002893212521236392-0.0014016290849000635j),(0.4535838073595257-0.8870606983323196j),(0.4539412953385565-0.8870505536934661j),(0.003700277934366736-0.0005433830133106007j)
1050000000.0,(0.0017282017924296904-0.001034111050660256j),(0.4497868046022291-0.8909688018985414j),(0.4487798793565815-0.890352620883238j),(0.0022403850954870355-3.490884448459024e-05j)
1055000000.0,(0.001863017288419806-0.0008618916006962292j),(0.44529369918601824-0.8942414488536593j),(0.4433998969527139-0.8911522726008269j),(0.0021651309117948054-0.001310519765306498j)
1060000000.0,(0.0022309095384903644-0.0011708320459977513j),(0.4413058699160132-0.8926912206537998j),(0.43839547252374556-0.8957416825674808j),(0.003124553209137895+0.0006568428969479501j)
1065000000.0,(0.003922787048114391+0.000150943379364586j),(0.4363598414257697-0.8969701102165072j),(0.43392245571041693-0.8968342504569677j),(0.0007320281832392341-0.0019870525587255897j)
1070000000.0,(0.0032181181073890354-0.001795351274237845j),(0.43091923141818494-0.9012288724263141j),(0.431238826645653-0.900074573350176j),(0.0020226667486754825-0.0013153385146819254j)
1075000000.0,(0.0017053968836764158-0.00011174935198648198j),(0.4260107701946543-0.9025634200239087j),(0.42486772346449664-0.9020579733837965j),(0.0033868534053091235-0.0018230660101305489j)
