,s 11,s 12,s 21,s 22
0.8,(-0.101440914-0.01037164871j),(0.401372999-0.9045011997j),(0.4010668099-0.9034121633j),(-0.08134371787-0.06067388132j)
0.8032,(-0.02485451475+0.09976480901j),(0.9947400689+0.1072261706j),(0.9943249226+0.10699673j),(0.03347695991+0.1083196849j)
0.8064,(-0.01950296015+0.1115481779j),(0.9956897497+0.1076643169j),(0.9945944548+0.1053513288j),(0.02783520147+0.09487708658j)
0.8096,(-0.03132844344+0.1063848585j),(0.9955257177+0.1089629829j),(0.9950833321+0.1080078781j),(0.04245781526+0.1015967503j)
0.8128,(-0.03246517107+0.1143529788j),(0.9960129857+0.1093873978j),(0.9952505231+0.1081621647j),(0.04471774772+0.09635972232j)
0.816,(-0.03172297776+0.1141750738j),(0.9952393174+0.1100571975j),(0.9956744909+0.1087302491j),(0.04316269606+0.09572676569j)
0.8192,(-0.02424181998+0.1085995883j),(0.9946875572+0.1087571383j),(0.9944073558+0.1092348993j),(0.03236700222+0.1000367999j)
0.8224,(-0.02589373663+0.1168932393j),(0.9961942434+0.1097735167j),(0.9951928854+0.1099670231j),(0.03613562882+0.09115795046j)
0.8256,(-0.02567219734+0.1072729528j),(0.9950988889+0.1101527214j),(0.9948695302+0.1109211743j),(0.0352076292+0.1028075665j)
0.8288,(-0.02950834297+0.1138607338j),(0.9953709841+0.1116290838j),(0.9946418405+0.1105024368j),(0.03702722117+0.09610804915j)
0.832,(-0.02585491166+0.1094565839j),(0.994137764+0.1108874977j),(0.9943066835+0.1111115962j),(0.03455019742+0.102630049j)
0.8352,(-0.03310407698+0.1081822515j),(0.9941324592+0.1114809811j),(0.9937041998+0.1102585495j),(0.04159928113+0.1060311645j)
0.8384,(-0.02592284605+0.1100616008j),(0.9953129888+0.111395359j),(0.9952441454+0.1121113896j),(0.03495186195+0.1031388789j)
0.8416,(-0.03216992691+0.1228457466j),(0.9955056906+0.1124945581j),(0.9945435524+0.1131861508j),(0.04081239179+0.09214867651j)
0.8448,(-0.02384268865+0.1020432934j),(0.9934272766+0.1125849038j),(0.9952303767+0.1123580486j),(0.03245735914+0.1116223261j)
0.848,(-0.05012884736+0.1116118133j),(0.9931277633+0.1147314906j),(0.9925035834+0.1143769771j),(0.0588382408+0.1049023792j)
0.8512,(-0.03700064123+0.1254023463j),(0.9955966473+0.1144760549j),(0.9948910475+0.1149709821j),(0.04690670222+0.09019289166j)
0.8544,(-0.03917006403+0.1126688048j),(0.9932038784+0.1144194007j),(0.9929760695+0.1143723428j),(0.04723889753+0.1056270972j)
0.8576,(-0.02637855709+0.1143225282j),(0.9939509034+0.1156045198j),(0.9932228327+0.1142705381j),(0.03597926721+0.103508532j)
0.8608,(-0.02819718793+0.1115171611j),(0.9979937077+0.1210948229j),(0.9938845634+0.115424037j),(0.0365992412+0.1084531024j)
0.864,(-0.01869074628+0.1161320955j),(0.992916584+0.1159932315j),(0.9930058122+0.117872417j),(0.02645487711+0.100413613j)
0.8672,(-0.03814921156+0.1067382023j),(0.9962088466+0.1142601073j),(0.9927746058+0.1140390038j),(0.0452663675+0.1125185341j)
0.8704,(-0.03655804694+0.1129479036j),(0.9942121506+0.1140519679j),(0.9949321747+0.1160632968j),(0.04322849214+0.1088023335j)
