,s 11,s 12,s 21,s 22
0.8064,(-0.02463889495+0.1232288927j),(0.9963645339+0.1209652424j),(0.9955229759+0.1188724041j),(0.02894846722+0.109352544j)
0.8096,(-0.03650170565+0.1183349341j),(0.9964033365+0.1223374605j),(0.9960526228+0.1213609278j),(0.04352534935+0.1160933226j)
0.8128,(-0.0376098305+0.1262069196j),(0.9964690804+0.1225578189j),(0.9959554672+0.1213744581j),(0.04564584792+0.1109250858j)
0.816,(-0.03692165762+0.1260704398j),(0.9959208369+0.1235365719j),(0.9962493181+0.1225551367j),(0.04417357594+0.1104334444j)
0.8192,(-0.02954676002+0.1204543561j),(0.995221734+0.1223075092j),(0.9949201345+0.1224819422j),(0.03333019093+0.1145125031j)
0.8224,(-0.03132059053+0.1288715005j),(0.9967276454+0.1231828332j),(0.996135354+0.1234157085j),(0.03722923622+0.1058255211j)
0.8256,(-0.03096602112+0.1192430481j),(0.9956768751+0.1234251261j),(0.9959472418+0.1243792772j),(0.03628965467+0.1174592525j)
0.8288,(-0.03491345793+0.1257325858j),(0.9959180951+0.1249874309j),(0.9948411584+0.1239516288j),(0.03815320507+0.1109430417j)
0.832,(-0.03123827651+0.1215180084j),(0.994680047+0.1242965162j),(0.9952139258+0.1242619753j),(0.03584275022+0.1175381392j)
0.8352,(-0.03857630864+0.1202141196j),(0.9947434664+0.1251312196j),(0.9943156242+0.1241214275j),(0.04271704704+0.1210042387j)
0.8384,(-0.0315014571+0.1221522391j),(0.9957873821+0.1251848638j),(0.9955748916+0.1257510185j),(0.03597528487+0.1180979386j)
0.8416,(-0.03779048845+0.1350893974j),(0.9960205555+0.1261537373j),(0.9953997135+0.1268784106j),(0.04204902798+0.1073372811j)
0.8448,(-0.02919715829+0.1141461954j),(0.9939733744+0.126331538j),(0.9958920479+0.1258594096j),(0.03350340948+0.1265316159j)
0.848,(-0.05575461686+0.1239333674j),(0.9939751625+0.1286637485j),(0.993058145+0.1285514832j),(0.05982835591+0.1204658896j)
0.8512,(-0.0426633656+0.1377416253j),(0.9962097406+0.1282627881j),(0.995314002+0.1284646541j),(0.04827328771+0.1054937094j)
0.8544,(-0.04484581947+0.1249539927j),(0.9935510755+0.1283399761j),(0.9933623075+0.1283216774j),(0.04832937941+0.1209960729j)
0.8576,(-0.03216265887+0.1266929656j),(0.9944069982+0.1293781698j),(0.9937890768+0.128408283j),(0.03723467886+0.1187204719j)
0.8608,(-0.03379487619+0.1239980757j),(0.9982329607+0.1348246038j),(0.9946467876+0.1295249462j),(0.03766525164+0.1240174249j)
0.864,(-0.02446546033+0.1286366433j),(0.9934808016+0.1298944354j),(0.993303299+0.1317861676j),(0.02758345008+0.1155585125j)
0.8672,(-0.04394273087+0.119106397j),(0.9965735674+0.1280848384j),(0.9930979013+0.1280542314j),(0.04621452838+0.1279453933j)
0.8704,(-0.04231804609+0.1253488511j),(0.9946852922+0.1282101274j),(0.9951817393+0.1303908527j),(0.04434483871+0.1243161559j)
