Frequency,S11,S21,S12,S22
1.7,(-0.012573791669276779-1.3486026280125807e-07j),(0.9847384029380928+0.001816531357410338j),(0.9854269121520239+0.0018723395565468412j),(-0.001981740996859112+4.589367685000149e-07j)
1.70018,(-0.012648174539280797-1.348821796817349e-07j),(0.9846734442395713+0.0018108785939264156j),(0.985146007709673+0.001865611135023023j),(-0.0020885401791624182+4.786031652863967e-07j)
1.70036,(-0.012564257718893329-1.6676025971972252e-07j),(0.9847621270100427+0.001815809344820612j),(0.9852967504879879+0.0018643917664402164j),(-0.002108788994868519+4.77811413037556e-07j)
1.70054,(-0.012609098108926211-1.645569585723942e-07j),(0.984600604178048+0.0018125298306816712j),(0.9852603297854817+0.0018655209097476978j),(-0.0020994445710133315+4.716833137252136e-07j)
1.70072,(-0.012588928448837565-1.7107785897188164e-07j),(0.9847394209382679+0.0018139825447543118j),(0.9853720356557203+0.001862047368846573j),(-0.002139692838280635+4.839062612840171e-07j)
1.7009,(-0.012537515718930425-1.6376697061518937e-07j),(0.9844855064537706+0.0018130344784926182j),(0.985242283976612+0.0018578877716512135j),(-0.0021719678207857526+4.941569327251827e-07j)
1.70108,(-0.01247357110888796-1.6655998963044172e-07j),(0.9845293748752757+0.001813443269262485j),(0.9853228675335702+0.001858993906861867j),(-0.0022646379068309384+5.176804067078859e-07j)
1.70126,(-0.012516556309053717-1.5391045783090515e-07j),(0.984580568741952+0.001816979846843229j),(0.9852958707647514+0.001856777523874585j),(-0.0021891160290577723+5.036710465566849e-07j)
1.70144,(-0.012544077818969322-1.608035593751505e-07j),(0.9846671179686014+0.001815310334688625j),(0.9854639437587702+0.0018633493850866453j),(-0.0020637532613972834+4.7473473740573296e-07j)
1.70162,(-0.012660166249186583-1.435130570008659e-07j),(0.9844870502524523+0.001816291726402869j),(0.9853577946942591+0.0018596306379190274j),(-0.0020470583739096294+4.7058718070616165e-07j)
1.7018,(-0.012680890969291564-1.3404179256666636e-07j),(0.9843693345826039+0.0018142687851109872j),(0.9853107690121004+0.001858357735055271j),(-0.001920388029620787+4.398809812063018e-07j)
1.70198,(-0.012680512848952758-1.6296969959468005e-07j),(0.9844684580333906+0.0018138441594987324j),(0.9851872034483773+0.0018609239171125725j),(-0.0019064674350949056+4.362165481348033e-07j)
1.70216,(-0.012598278928991371-1.5941757980877137e-07j),(0.9845491632176746+0.0018136556292661725j),(0.9851948332959712+0.001860694147044831j),(-0.001995951351598363+4.5297939768855695e-07j)
1.70234,(-0.012509139248643272-1.84236367971694e-07j),(0.9844805629788905+0.0018110604027049072j),(0.9852779837121258+0.0018597577853261523j),(-0.002122615642668188+4.802615007914921e-07j)
1.70252,(-0.01245320680869028-1.8061133858200177e-07j),(0.9845623935343535+0.0018146899031202086j),(0.9852055640824969+0.0018597051329010664j),(-0.0020178423211389975+4.5748732664165206e-07j)
1.7027,(-0.012325028888831002-1.6975244587341746e-07j),(0.9844878269613305+0.00181525747395862j),(0.9851090059571386+0.0018588326577594417j),(-0.0019523389125316838+4.482936485841896e-07j)
1.70288,(-0.01236157770858649-1.869397061900705e-07j),(0.9845851035460844+0.0018143789017450772j),(0.9851901792498284+0.0018633067792854943j),(-0.0019042550769223852+4.4105511798052235e-07j)
1.70306,(-0.012463937509048041-1.5404656638773125e-07j),(0.984660145465244+0.0018146547054985012j),(0.9852366791918965+0.0018589346873842995j),(-0.001770846031951339+4.125209859798607e-07j)
1.70324,(-0.012352781368683027-1.8037881455778469e-07j),(0.9845098184931714+0.0018166700494302982j),(0.9850606634346227+0.0018604940331147393j),(-0.0017351086254322743+4.019951835547163e-07j)
1.70342,(-0.012331414038449683-1.9553827796282205e-07j),(0.9844836574245855+0.0018137543860577312j),(0.985369297505273+0.001860112480970226j),(-0.0017232300726373452+3.953992723568839e-07j)
1.7036,(-0.012377056288223231-2.0971968045493889e-07j),(0.984613233418703+0.0018163179997042296j),(0.9853249559659524+0.0018578122668857972j),(-0.0017292086987754614+3.9108428150719454e-07j)
1.70378,(-0.012438486328017657-2.2206913811215023e-07j),(0.9845317578907858+0.0018140341462620374j),(0.9851427954609508+0.0018622512463991052j),(-0.0016849550449766343+3.8076879619682924e-07j)
1.70396,(-0.012400643898310854-2.0467769677502965e-07j),(0.9846039387106027+0.0018143612441581872j),(0.98525544867261+0.0018620870129143375j),(-0.0017943169929518024+4.065096910903685e-07j)
1.70414,(-0.01244834903883405-1.70377044981298e-07j),(0.9844627890556289+0.001817405522932505j),(0.9851219963976452+0.0018606244776169607j),(-0.001655423505137857+3.7670943685286827e-07j)
1.70432,(-0.01247297785877645-1.747072231553441e-07j),(0.9843764198736875+0.0018183990260259035j),(0.9850055951272823+0.0018570543631913432j),(-0.001699182976253391+3.855735832983631e-07j)
1.7045,(-0.012467592018253962-2.086570656276139e-07j),(0.9846060768215623+0.001818476925548916j),(0.9848740948857563+0.001863464581961859j),(-0.0016448500832130183+3.751750829643378e-07j)
1.70468,(-0.012257973658645893-1.8220091989360565e-07j),(0.984558987240741+0.0018195056068746884j),(0.9850015342839141+0.0018611531845340416j),(-0.0018008241437879903+4.079698618450844e-07j)
1.70486,(-0.012373834848541106-1.9001111384366504e-07j),(0.9845234657374524+0.0018179046843300112j),(0.9850137577149741+0.0018587651365897222j),(-0.0018792683932229912+4.2817074287638634e-07j)
1.70504,(-0.012340041808355141-2.0148269289549101e-07j),(0.9844737578951157+0.0018165273373395648j),(0.9849074859847429+0.0018568783602561881j),(-0.0017728225336555335+4.009680610396654e-07j)
1.70522,(-0.012290623038098513-2.161965666634868e-07j),(0.9844665985417914+0.0018202311202774953j),(0.9849872318554945+0.0018596722634987035j),(-0.0017429342971765165+3.9528315861508044e-07j)
1.7054,(-0.012404144738026443-2.2127037820073306e-07j),(0.9846743859679419+0.0018173774433858638j),(0.9850409365748766+0.0018592359259924363j),(-0.0015172373578034907+3.4487797539459333e-07j)
1.70558,(-0.012364222668368032-2.0088806439557567e-07j),(0.9847102668098169+0.0018180379436805612j),(0.9850314017321976+0.0018582426436360112j),(-0.001468890890524228+3.362044369001969e-07j)
1.70576,(-0.012386162767890698-2.2858769212376113e-07j),(0.9845594052136327+0.0018190877220029603j),(0.9847762301413904+0.0018601688857284766j),(-0.0013699561465419779+3.1169195047583435e-07j)
1.70594,(-0.012310620397921874-2.2619918054800106e-07j),(0.9845483187559734+0.0018190545638124098j),(0.9850055869325447+0.001861395882812134j),(-0.0014126855732839658+3.26438043649814e-07j)
1.70612,(-0.012386324818060615-2.1918877642816017e-07j),(0.9845287147240717+0.0018158576423188502j),(0.9850415325959636+0.0018592782969619644j),(-0.0014870473731374637+3.3997186066895456e-07j)
1.7063,(-0.012384680097832874-2.3168577087247407e-07j),(0.9844985522446473+0.0018172277914684726j),(0.9849054552548775+0.001859118658175697j),(-0.0014819702669489527+3.402131444860464e-07j)
1.70648,(-0.012340907937938921-2.2554639378309996e-07j),(0.9844564739121221+0.0018157974995479166j),(0.9851429145406231+0.0018623150121074646j),(-0.0016045787644460752+3.6954329936249666e-07j)
1.70666,(-0.01230961270790528-2.270910920890578e-07j),(0.9844396018565688+0.0018179252106886817j),(0.9851445237953692+0.0018623404718816035j),(-0.0015423495380881276+3.5524754286706627e-07j)
