,s 11,s 12,s 21,s 22
0.8,(-0.1138927042-0.007035453338j),(0.3901459873-0.9059627652j),(0.3897000551-0.9050930142j),(-0.09124776721-0.0680726245j)
0.8032,(-0.03107179329+0.1113369614j),(0.9944341183+0.1190534383j),(0.9935737848+0.1190048307j),(0.03795462474+0.1204876378j)
0.8064,(-0.02626871876+0.1230127811j),(0.9945547581+0.1200197637j),(0.9939634204+0.1179843545j),(0.03267120197+0.1072086841j)
0.8096,(-0.03809366748+0.1179177165j),(0.9947779179+0.121242106j),(0.9944587946+0.1204147935j),(0.04730781913+0.1140736714j)
0.8128,(-0.03912827+0.1257830262j),(0.9949177504+0.1216649711j),(0.9945782423+0.1206493378j),(0.04969401285+0.1090681255j)
0.816,(-0.03840643167+0.1256870478j),(0.9945673943+0.1223134398j),(0.9951126575+0.1211620942j),(0.0481377542+0.1082891226j)
0.8192,(-0.03095195629+0.1202056184j),(0.993822515+0.1210058033j),(0.9939743876+0.1216085553j),(0.03735913336+0.1124815047j)
0.8224,(-0.03277545422+0.1285259128j),(0.9955943823+0.1221634746j),(0.9945547581+0.1225955188j),(0.04119209945+0.1037928015j)
0.8256,(-0.03248525411+0.1188273281j),(0.9941548109+0.1222649813j),(0.9947206378+0.1231436133j),(0.04020668566+0.1152731255j)
0.8288,(-0.03636229038+0.1254117787j),(0.9944640994+0.1237757429j),(0.9943567514+0.122529082j),(0.04224698618+0.1087230667j)
0.832,(-0.03271750733+0.121129401j),(0.9935680032+0.1231569648j),(0.9934722185+0.1231228262j),(0.03977087885+0.1152667999j)
0.8352,(-0.04018540308+0.1198801845j),(0.9933775663+0.1240520775j),(0.9928468466+0.1227507293j),(0.04675009102+0.1187943071j)
0.8384,(-0.0331232138+0.121705316j),(0.9944031239+0.1239081621j),(0.9943275452+0.1242080033j),(0.04003165662+0.115863502j)
0.8416,(-0.0394307673+0.1347091496j),(0.9949164391+0.125000596j),(0.9943154454+0.1261851192j),(0.04617498815+0.1051070765j)
0.8448,(-0.03084061481+0.1138367951j),(0.9925090075+0.1248841435j),(0.9947255254+0.1247965395j),(0.03748099506+0.1243542731j)
0.848,(-0.05721985549+0.1233891696j),(0.9922699332+0.1274933219j),(0.9918735027+0.1270498782j),(0.06389976293+0.1183798462j)
0.8512,(-0.04432519153+0.1373562813j),(0.9948559403+0.1274013519j),(0.9943701625+0.1278160214j),(0.05234145001+0.1034138948j)
0.8544,(-0.04657922313+0.1245761514j),(0.9924191236+0.1268724501j),(0.9920459986+0.1277205944j),(0.05241892114+0.118886359j)
0.8576,(-0.03403335437+0.1262575686j),(0.9931846857+0.1283470094j),(0.9923369884+0.1271626949j),(0.04127385095+0.1163980067j)
0.8608,(-0.0356702581+0.1235391349j),(0.9968972206+0.1338096857j),(0.99330616+0.1284900308j),(0.04177416489+0.1217140704j)
0.864,(-0.02603037283+0.1282371283j),(0.9926144481+0.1288740337j),(0.992077291+0.1304746866j),(0.03178319335+0.1132263094j)
0.8672,(-0.04562598839+0.1187750697j),(0.9951830506+0.1270192415j),(0.9916323423+0.1266758144j),(0.05035203323+0.1256867945j)
0.8704,(-0.04407356679+0.125061512j),(0.9932622313+0.1268919408j),(0.9941447973+0.1291319728j),(0.04856543988+0.1221166924j)
0.8736,(-0.04452414438+0.1266703606j),(0.9932750463+0.1286931336j),(0.9958094954+0.1321124136j),(0.05122481659+0.1209525242j)
0.8768,(-0.03369213268+0.1320218444j),(0.9946365356+0.1308191717j),(0.9934366941+0.1298632026j),(0.03990800306+0.1138754711j)
0.88,(-0.02336559445+0.1292867362j),(0.9934151173+0.129104197j),(0.9941565394+0.1283027232j),(0.02965109982+0.1168488264j)
0.8832,(-0.05147386342+0.1353240758j),(0.9936670661+0.1333636045j),(0.9904025197+0.1325238347j),(0.05762634799+0.113941066j)
0.8864,(-0.02823463269+0.129145056j),(0.9930015206+0.1306542009j),(0.9931357503+0.1305665523j),(0.03449771926+0.1184677929j)
0.8896,(-0.03417319804+0.1195998341j),(0.9916979074+0.130972147j),(0.9926816225+0.1299197078j),(0.03984981403+0.1264986992j)
0.8928,(-0.03920661286+0.125656724j),(0.9921460152+0.1312521994j),(0.9934329987+0.1311400831j),(0.04473575205+0.1235698685j)
0.896,(-0.03935254365+0.1300525665j),(0.9912785888+0.1311519742j),(0.9928072095+0.1318544745j),(0.04336459562+0.1186771244j)
0.8992,(-0.0371754542+0.1202546731j),(0.9914950132+0.1320110559j),(0.9926211238+0.1323012114j),(0.04151477292+0.1290133893j)
0.9024,(-0.03993013501+0.1175876036j),(0.9914856553+0.1315210462j),(0.9914570451+0.1313358247j),(0.04190377146+0.1321494877j)
0.9056,(-0.04367879778+0.1307053864j),(0.9917348623+0.1337662935j),(0.9924163818+0.132488519j),(0.04808093607+0.1212014705j)
0.9088,(-0.04568038881+0.1349739134j),(0.9923096895+0.1344630271j),(0.9924493432+0.1345666051j),(0.05136404186+0.1173559949j)
0.912,(-0.05012990534+0.1207010671j),(0.9904559851+0.1341875196j),(0.9898710251+0.1359880865j),(0.0529843308+0.1333680153j)
0.9152,(-0.03974592313+0.1274550706j),(0.9914344549+0.1344306469j),(0.9910612702+0.1344125569j),(0.04350959882+0.1243835837j)
0.9184,(-0.04932414368+0.1232488304j),(0.9909044504+0.1359375566j),(0.9911723137+0.1360147297j),(0.0508806482+0.1315217018j)
0.9216,(-0.04778314754+0.1241544411j),(0.9909713864+0.1352426261j),(0.9905025959+0.1358083636j),(0.05189165846+0.1297454536j)
0.9248,(-0.03809214383+0.1315120012j),(0.9918273687+0.1358524263j),(0.992028296+0.135001421j),(0.04324691743+0.1217745245j)
0.928,(-0.05003926158+0.1366699785j),(0.9913810492+0.1375842094j),(0.9912942648+0.136289835j),(0.0540751256+0.1187504753j)
0.9312,(-0.05124054849+0.1374351233j),(0.9918065071+0.1383799016j),(0.9921985269+0.1367067546j),(0.056818977+0.1193032265j)
0.9344,(-0.05216351151+0.1343267858j),(0.9912028313+0.1380552948j),(0.9910598993+0.1378314644j),(0.05475252122+0.1212118268j)
0.9376,(-0.0538501218+0.128764689j),(0.9907194972+0.1385401636j),(0.991299808+0.1377866268j),(0.05789417028+0.1292172819j)
0.9408,(-0.05515925959+0.1273447871j),(0.9898831844+0.1390616745j),(0.9908981919+0.1375692785j),(0.05812922865+0.131126672j)
0.944,(-0.05062489957+0.1372561753j),(0.9904391766+0.1405771077j),(0.9901450872+0.1396772563j),(0.05388737097+0.1224771515j)
0.9472,(-0.05475085229+0.1303682178j),(0.9891560078+0.1399635673j),(0.989423275+0.1397610456j),(0.05725549161+0.1289220452j)
0.9504,(-0.05579286069+0.1323900074j),(0.9897407889+0.1408551633j),(0.990082562+0.139113605j),(0.05842121318+0.1276315749j)
0.9536,(-0.05298505351+0.1309340596j),(0.9898592234+0.1402939558j),(0.9901134968+0.1397766173j),(0.05563168228+0.129294917j)
0.9568,(-0.04932795465+0.1288337857j),(0.989775598+0.1409718543j),(0.9906324744+0.1401798576j),(0.05345132574+0.1324109584j)
0.96,(-0.04803883284+0.134924978j),(0.9897562265+0.141477257j),(0.9903528094+0.1408766955j),(0.05094280839+0.1285924315j)
0.9632,(-0.05196809396+0.1343650371j),(0.9900057912+0.1419191062j),(0.990295589+0.1411862075j),(0.05367476493+0.1276896894j)
0.9664,(-0.0485239923+0.1349872798j),(0.9896736741+0.1421588212j),(0.9904996157+0.1411234438j),(0.05152332038+0.1286809891j)
0.9696,(-0.05475290865+0.1347711235j),(0.9888432026+0.1437243223j),(0.9898018837+0.1429234147j),(0.05643843859+0.1291784644j)
0.9728,(-0.05221296474+0.137155965j),(0.9891852736+0.1436703205j),(0.9897847176+0.1429986656j),(0.05427927151+0.1256921887j)
0.976,(-0.05415212736+0.1337632239j),(0.990005672+0.1430464685j),(0.9893610477+0.1423228681j),(0.0565703176+0.1316278279j)
0.9792,(-0.05008057132+0.1328863353j),(0.9892792702+0.1441853642j),(0.9899345636+0.1430471241j),(0.05211652443+0.1329629719j)
0.9824,(-0.05521126091+0.1345983595j),(0.9889389277+0.1451711953j),(0.9890828133+0.1441667378j),(0.05743826926+0.1327755153j)
0.9856,(-0.05163492262+0.1358181238j),(0.989649713+0.1448040158j),(0.9898662567+0.1444828808j),(0.05231023207+0.1308666021j)
0.9888,(-0.05224014819+0.1366561949j),(0.9901749492+0.1456228793j),(0.9903423786+0.1448128521j),(0.0542159602+0.1298891157j)
0.992,(-0.05382538214+0.1385974884j),(0.9897818565+0.1466897428j),(0.9892289639+0.1458930373j),(0.05465579405+0.1290492117j)
0.9952,(-0.05763627961+0.1342368126j),(0.9888008237+0.1467974931j),(0.9887961745+0.1461737901j),(0.05786663666+0.134040311j)
0.9984,(-0.05396428332+0.1404763162j),(0.9897191525+0.1472869515j),(0.989381671+0.1462922394j),(0.05566088855+0.1287808716j)
1.0016,(-0.0552283451+0.1422818452j),(0.9891058207+0.1480938494j),(0.9903028011+0.146849528j),(0.05582480133+0.12769714j)
1.0048,(-0.05588018149+0.1447457522j),(0.9894118309+0.1480647624j),(0.9902362823+0.1475327313j),(0.05608389154+0.1262462139j)
1.008,(-0.06173555553+0.1340451688j),(0.9886797667+0.1481166184j),(0.988830924+0.1473382711j),(0.06055407226+0.1354053915j)
1.0112,(-0.06418243796+0.1457529962j),(0.988242209+0.1500799209j),(0.9887654781+0.1492186487j),(0.06419245899+0.1273780018j)
1.0144,(-0.05979359895+0.1368492544j),(0.9881942868+0.1502229124j),(0.988717556+0.1486661881j),(0.06013165042+0.1357344091j)
1.0176,(-0.06102583185+0.1350398511j),(0.9882061481+0.1495243311j),(0.9889891148+0.148480922j),(0.06047653034+0.1365394741j)
1.0208,(-0.06782343984+0.1393420547j),(0.9873498678+0.1507716179j),(0.9874756336+0.1499225497j),(0.06641414016+0.1346348673j)
1.024,(-0.05902899802+0.1435569078j),(0.9894425273+0.1501064897j),(0.9891925454+0.1497896165j),(0.05855513364+0.130397886j)
1.0272,(-0.05442645401+0.1370364279j),(0.9887089133+0.1506426036j),(0.9892374277+0.1506956518j),(0.05466357246+0.1349887252j)
