%Frequency  / Hz	S1,1 Zr: 50 Ω Mag	S1,1 Zr: 50 Ω Phase / °	S2,1 Zr: 50 Ω Mag	S2,1 Zr: 50 Ω Phase / °	S1,2 Zr: 50 Ω Mag	S1,2 Zr: 50 Ω Phase / °	S2,2 Zr: 50 Ω Mag	S2,2 Zr: 50 Ω Phase / °
10000000.000000000	0.135874512	71.956482537	1.049920123	-80.602134195	0.960217416	-82.097294284	0.077378376	-125.610835525
11799179.917991800	0.156238679	19.414288473	1.041797339	-98.019616164	0.936848628	-98.790484940	0.034565301	-141.957717298
13598359.835983600	0.161693821	-22.923402809	1.049603245	-114.591946996	0.940218644	-110.955411695	0.039442105	-177.367950784
15397539.753975400	0.164223233	-60.302379297	1.037558534	-131.209048138	0.956773275	-126.993752634	0.032386805	112.653657707
17196719.671967200	0.156309932	-100.040983536	1.027467547	-146.917119491	0.953368258	-142.603569696	0.032346243	40.244277427
18995899.589959000	0.149694698	-140.407846703	1.012440099	-161.792180620	0.964056160	-158.178333870	0.033110000	7.706947357
20795079.507950800	0.145470944	173.176822878	1.002807586	-179.216384717	0.959718323	-174.037206775	0.038247499	7.503562669
22594259.425942600	0.151745310	131.790199343	1.005326752	166.795843987	0.936811805	170.243259925	0.045664531	-25.820803381
24393439.343934400	0.168379572	92.667477832	0.999851524	151.195068865	0.957058695	154.413713315	0.036571294	-33.748615690
26192619.261926200	0.183909108	57.812556490	0.989295113	135.586130292	0.945073263	139.731716723	0.032712581	-38.172318367
27991799.179918000	0.197324213	23.243701244	0.974757552	120.456305532	0.937982623	124.115678789	0.032486221	-38.490674165
29790979.097909800	0.205157594	-7.462150389	0.963457546	105.377233597	0.945056989	110.345612974	0.035703335	-62.339059048
31590159.015901600	0.203366973	-38.137615840	0.960620553	90.347555772	0.940446199	93.852698868	0.030867701	-51.508850318
33389338.933893400	0.198151975	-69.189230524	0.951010560	76.091766170	0.944808779	78.780399668	0.024905388	-62.574171337
35188518.851885200	0.176489977	-102.506318428	0.946155330	59.801438112	0.948504966	63.678887464	0.023587352	-67.877801431
36987698.769877000	0.171824228	-148.241645139	0.947331133	32.581994969	0.947339941	60.935785035	0.016595656	173.553552789
38786878.687868800	0.169470777	176.628157366	0.941760472	19.170558058	0.932291003	45.055544634	0.012194699	-159.817408162
40586058.605860600	0.169277118	140.575575062	0.941778424	5.638845147	0.941136121	27.419318833	0.008794349	-165.914311688
42385238.523852400	0.168472871	103.493870279	0.936338164	-7.697559797	0.940193197	10.759382280	0.003994491	-92.517780261
44184418.441844200	0.174873863	65.481699322	0.929526230	-21.238232222	0.926805105	-6.792297700	0.011027671	-28.758277728
45983598.359836000	0.185691436	29.649808549	0.924182737	-34.824413717	0.931171853	-23.945856223	0.017591590	-53.523153435
47782778.277827800	0.197992888	-4.689754074	0.917858028	-47.915564214	0.933150325	-40.983853681	0.027166603	-66.330432379
49581958.195819600	0.207889312	-36.726674634	0.913990190	-60.983734543	0.924878918	-57.769204373	0.034124737	-77.105982852
51381138.113811400	0.210956095	-67.488616517	0.913440909	-75.494891540	0.925829834	-73.680549096	0.034561210	-97.329747250
53180318.031803200	0.205839492	-99.342123640	0.909498898	-90.556007721	0.925292222	-88.680979201	0.033813063	-118.519207872
54979497.949795000	0.198326888	-132.420958814	0.906238676	-105.485010733	0.923943056	-103.764876387	0.031906657	-145.661311167
56778677.867786800	0.191111560	-168.584753875	0.905308838	-120.852683013	0.925552521	-119.021310571	0.029572343	-176.726717005
58577857.785778600	0.189327737	154.904888480	0.903432444	-135.896666831	0.921071726	-134.081917122	0.026663825	145.346682119
60377037.703770400	0.192149620	118.827799735	0.897771354	-150.913745449	0.918677096	-149.175470518	0.027526269	105.670080105
62176217.621762200	0.202312672	83.317686574	0.895153286	-165.830564624	0.916048134	-164.396942567	0.033406447	69.514449312
63975397.539754000	0.211828914	49.558667399	0.890686581	179.115850204	0.919820891	-179.589136409	0.038403471	39.232486806
65774577.457745800	0.220303099	17.751542560	0.886850698	164.282058444	0.917644348	165.551639362	0.040172490	8.038094225
67573757.375737600	0.224636105	-13.700508441	0.882135317	149.389003700	0.915177239	150.262830491	0.044832164	-19.225873870
69372937.293729400	0.225303378	-44.448298556	0.882763027	134.407320283	0.912157617	135.399189859	0.047676812	-48.737378005
71172117.211721200	0.221079801	-76.241092622	0.884458387	119.624906586	0.915211052	120.198261776	0.046760443	-77.010680102
72971297.129713000	0.212782957	-109.135966512	0.884579437	104.705266045	0.909227420	105.282466044	0.046202250	-102.714523762
74770477.047704800	0.204821486	-143.509386792	0.885099760	89.610085105	0.914077771	90.077995541	0.043567134	-140.584774021
76569656.965696600	0.200140527	-179.312308774	0.882453892	74.556228670	0.906774962	74.801224546	0.041521385	-176.275876941
78368836.883688400	0.202011827	144.713450715	0.883529541	59.618342815	0.908946604	59.786771430	0.044396499	145.157496774
80168016.801680200	0.207488314	108.935057035	0.879386019	44.419253001	0.911933963	44.610592302	0.049082777	111.886727502
81967196.719672000	0.217321878	75.284357541	0.879085529	29.675766877	0.902339582	29.431144863	0.052847714	76.400425176
83766376.637663800	0.226927731	42.828598397	0.877536349	14.981251446	0.903901487	13.763066485	0.059758391	48.171748789
85565556.555655600	0.232579275	11.620953525	0.875773506	0.407312142	0.902605820	-1.459503194	0.063221169	20.151462994
87364736.473647400	0.234294814	-18.930608636	0.876761714	-14.408516007	0.901844068	-16.957229324	0.065186689	-6.655788998
89163916.391639200	0.230279662	-49.467746447	0.876017888	-29.314967464	0.903096220	-31.757767625	0.062592200	-35.231321292
90963096.309631000	0.222395505	-80.834829520	0.878232562	-44.413364605	0.900516927	-46.839416065	0.061300821	-63.735641243
92762276.227622800	0.211405492	-113.189610070	0.878972769	-59.445228881	0.902762734	-61.736512441	0.057007831	-97.643759777
94561456.145614500	0.200637965	-147.252052827	0.878812396	-74.631799792	0.902799625	-76.633141044	0.053085173	-133.066527705
96360636.063606400	0.192223142	177.414908489	0.877272087	-89.925920253	0.903314460	-91.663341034	0.053458500	-170.339123549
98159815.981598200	0.191404961	141.903619170	0.881263558	-104.994014635	0.902785041	-106.613900107	0.056703850	152.298630331
99958995.899590000	0.193238837	106.488477939	0.882686129	-119.815506891	0.898325864	-121.971530013	0.061338677	118.005018616
101758175.817582000	0.197808798	72.588879103	0.881565765	-134.478117467	0.900270876	-137.108546465	0.070182768	86.632853334
103557355.735574000	0.203085426	39.733254145	0.884411897	-149.475965703	0.899568377	-152.179462887	0.076098910	58.517648590
105356535.653565000	0.203855134	8.127693208	0.884734543	-164.511610990	0.895320997	-166.930750310	0.079513900	31.182544036
107155715.571557000	0.200715944	-23.148285625	0.885070949	-179.675274153	0.893649550	178.003043872	0.081114289	6.124113818
108954895.489549000	0.188798603	-55.042238853	0.885518063	159.775780813	0.896680994	168.374918060	0.075148011	-16.000725659
110754075.407541000	0.179883452	-88.297469914	0.888153875	146.528248764	0.898623768	151.816291300	0.068715675	-43.276488771
112553255.325533000	0.169839893	-123.633053670	0.891319015	133.049914228	0.901220440	134.696685165	0.058894264	-72.043305055
114352435.243524000	0.162844526	-160.534150459	0.894933747	119.287554796	0.896262200	118.146800805	0.047599697	-100.960916059
116151615.161516000	0.161019631	160.920200421	0.890561970	103.203273293	0.900287000	103.892926276	0.034279169	-143.341679691
117950795.079508000	0.168401612	122.890108032	0.889652452	87.241252892	0.906917979	89.325974636	0.030180289	159.946853902
119749974.997500000	0.180219530	87.427330321	0.886338368	71.701136129	0.907745464	74.586493440	0.036839620	104.262767725
121549154.915492000	0.193956991	53.667731004	0.880936430	56.183017109	0.906745102	59.865254205	0.049477837	65.118838153
123348334.833483000	0.206246827	22.566514771	0.879533221	41.150617296	0.905758533	44.975338641	0.063917568	33.431276149
125147514.751475000	0.214591826	-7.241666621	0.880473328	26.506223644	0.902595213	29.571645456	0.076032365	6.295006840
126946694.669467000	0.216967577	-36.649825115	0.884014528	12.138202991	0.902751094	13.927298403	0.085707995	-19.752045798
128745874.587459000	0.213625997	-65.869867025	0.887985588	-1.982356323	0.897441031	-2.031693372	0.091037989	-44.075360627
130545054.505451000	0.205887539	-95.768905045	0.891418882	-16.364944426	0.892695554	-17.765924628	0.093277082	-69.935355927
132344234.423442000	0.195065434	-126.894982301	0.897694642	-30.925632699	0.891431533	-33.460672604	0.089894023	-96.195148792
134143414.341434000	0.183724387	-159.515086923	0.900669937	-45.743060294	0.893246770	-48.880920525	0.087023739	-124.611225517
135942594.259426000	0.173569602	166.982238719	0.903555410	-60.581297144	0.890609954	-64.275916721	0.082447213	-154.530225278
137741774.177418000	0.165774654	132.573943504	0.905321994	-75.650809549	0.889409570	-79.533083679	0.078531022	174.061800534
139540954.095410000	0.162070031	97.781076799	0.907392195	-90.950519650	0.890124188	-94.508443604	0.076981757	142.152316175
141340134.013401000	0.159119632	63.830156834	0.907964725	-106.053622881	0.890899155	-109.574895453	0.076327406	109.952386815
143139313.931393000	0.155886175	30.688438974	0.907883552	-121.463127899	0.891475303	-124.401656841	0.078039565	79.004707177
144938493.849385000	0.151086218	-2.513716691	0.910401513	-136.836475745	0.891575650	-139.222544336	0.079497201	50.321128307
146737673.767377000	0.143342693	-35.965231384	0.912299230	-152.200208937	0.891959578	-154.168112007	0.077534225	23.370005203
148536853.685369000	0.134419816	-70.678834542	0.912771434	-167.412346445	0.893491868	-169.276319363	0.074100089	-2.975082354
150336033.603360000	0.126411636	-107.611080626	0.914420963	177.422152741	0.895407003	175.589182463	0.067006422	-28.441960795
152135213.521352000	0.122479426	-146.461712301	0.914366935	162.024000863	0.893162783	160.480914159	0.056261425	-53.774553798
153934393.439344000	0.126094293	174.305880684	0.914000830	146.766457460	0.894680643	145.222256596	0.043272760	-82.541609795
155733573.357336000	0.134978422	137.046085902	0.913226088	131.586982582	0.893651287	130.164872663	0.029017063	-115.885306592
157532753.275328000	0.148030145	102.598539451	0.910423972	116.335899664	0.895079980	115.022108364	0.016972716	-172.211431157
159331933.193319000	0.161110123	71.033254653	0.910498595	101.169613817	0.893586671	99.916461192	0.020292013	105.724607215
161131113.111311000	0.170062557	41.644586407	0.909589447	86.173398821	0.894692060	84.816241755	0.034401794	61.272373554
162930293.029303000	0.174925098	13.287980958	0.907608639	70.970936309	0.894594586	69.732819709	0.048943402	32.057778488
164729472.947295000	0.173528423	-14.404648261	0.909803686	55.782577255	0.892590120	54.952460397	0.061285771	6.086902368
166528652.865287000	0.165290023	-42.236412700	0.910124365	40.597478223	0.892440866	39.779873804	0.069465330	-18.175866266
168327832.783278000	0.151963779	-70.998469905	0.913724597	25.401086201	0.890309636	24.926964548	0.075627873	-40.775088609
170127012.701270000	0.134057982	-101.473260259	0.914530746	10.269138369	0.891005182	9.769578184	0.076986234	-64.559245572
171926192.619262000	0.115858118	-135.257264024	0.916636651	-4.891042396	0.890797783	-5.461768513	0.074097257	-87.726770274
173725372.537254000	0.099901690	-173.365364026	0.917847599	-20.085966178	0.890782210	-20.674166162	0.068360202	-112.169741703
175524552.455246000	0.092195115	145.516689278	0.918904517	-35.265160991	0.890840394	-35.969927414	0.060585702	-138.532679696
177323732.373237000	0.092019921	103.834008194	0.917906520	-50.437859983	0.890117357	-51.151082088	0.051433101	-166.834666800
179122912.291229000	0.097430754	64.997765583	0.918286875	-65.640045410	0.891274103	-66.398824482	0.042869863	161.875485521
180922092.209221000	0.103905379	29.679291366	0.917630655	-80.853534360	0.891987521	-81.410611463	0.035867498	128.051269823
182721272.127213000	0.108747837	-3.239711052	0.915675248	-96.016608854	0.891717460	-96.624726189	0.032527230	89.850130029
184520452.045205000	0.108650916	-35.118836501	0.916775793	-111.172144679	0.889837051	-111.711958406	0.031678479	53.355958201
186319631.963196000	0.106166694	-67.070912198	0.915903207	-126.382342200	0.890119567	-126.932221285	0.031479750	19.835436836
188118811.881188000	0.100943434	-100.526772726	0.915911981	-141.554540783	0.889156867	-142.034375368	0.032196007	-11.754470049
189917991.799180000	0.095648461	-136.232514663	0.915026648	-156.797756530	0.891662262	-157.151623570	0.030885672	-40.127255642
191717171.717172000	0.093962377	-173.561297346	0.915333605	-172.122649597	0.889247259	-172.161425835	0.028505631	-68.035627280
193516351.635164000	0.095792987	149.112967279	0.914158288	172.696711897	0.888479501	172.648262357	0.022916115	-96.143413256
195315531.553155000	0.101416174	113.508303912	0.911528333	157.470105239	0.889457890	157.477819080	0.017152144	-130.001782034
197114711.471147000	0.107879696	80.325231678	0.910499849	142.263999740	0.888781644	142.317125911	0.011765938	-175.444409764
198913891.389139000	0.113133112	49.547828392	0.908558543	127.133013432	0.889739552	127.168302889	0.010390923	117.679307919
200713071.307131000	0.114133698	20.481052729	0.907686995	111.944310981	0.888426913	112.035810386	0.015156227	61.378104555
202512251.225123000	0.110035568	-8.310022654	0.906993891	96.887423780	0.887705548	96.858701021	0.020561128	25.826164748
204311431.143114000	0.101150206	-37.186025283	0.906607247	81.674460351	0.887445731	81.620601783	0.026231064	-3.978387129
206110611.061106000	0.087475656	-68.446423452	0.907435490	66.573918029	0.886314325	66.657945609	0.032390786	-29.512142520
207909790.979098000	0.071252448	-103.580218181	0.906842655	51.373797337	0.886228818	51.473401801	0.035778740	-53.686935281
