Frequency,S11,S21,S12,S22
2.0,(-0.007236784118889553+0.012561494731359703j),(-0.8564660020194044-0.51599773318955j),(-0.8564656913517447-0.5159992778064376j),(-0.007719759071921873+0.012270583812554477j)
2.0105,(-0.006903381798024863+0.012376649473190044j),(-0.8634102352688549-0.504303779165333j),(-0.8634023472067749-0.5042656034175114j),(-0.007395081478390934+0.012090188324855805j)
2.021,(-0.006574799280908723+0.012182751308549929j),(-0.8701951247295124-0.4925128526944898j),(-0.8701802470540752-0.492438260896967j),(-0.007075089053049175+0.011900971197343237j)
2.0315,(-0.006251271003001728+0.011979940396491235j),(-0.8768204463849479-0.48062788636377357j),(-0.8767980691575021-0.4805193633370904j),(-0.006760010350589466+0.011703067818754343j)
2.042,(-0.005933037820650374+0.01176834644589881j),(-0.883284825605817-0.4686510817560964j),(-0.8832545047462452-0.4685110756907424j),(-0.006450079362722049+0.011496603880365436j)
2.0525,(-0.005620336655510179+0.011548105653919357j),(-0.8895869009297176-0.45658469153902054j),(-0.8895482658168645-0.4564155985047041j),(-0.006145527106494833+0.011281710914386003j)
2.063,(-0.005313400702516029+0.011319360400632545j),(-0.8957253446456744-0.4444309902988051j),(-0.8956781288690728-0.44423509171622905j),(-0.005846581055450869+0.011058526793669752j)
2.0735,(-0.005012460208265638+0.011082259049447292j),(-0.9016988809668562-0.4321922438142778j),(-0.9016428587149725-0.4319718114080246j),(-0.005553465289255186+0.01082719490559062j)
2.084,(-0.004717741144394738+0.010836956196807008j),(-0.9075062477655762-0.4198707673004303j),(-0.907441282740335-0.41962797083868164j),(-0.005266400248620298+0.010587864796771984j)
2.0945,(-0.004429465642928237+0.010583612068503235j),(-0.9131462374176142-0.40746886693017353j),(-0.9130722461439906-0.4072058343550356j),(-0.004985602424685247+0.0103406915885493j)
2.105,(-0.004147851663745655+0.010322392933321935j),(-0.9186176565447187-0.3949888973301334j),(-0.9185346374638084-0.39470765167682126j),(-0.004711284860849731+0.010085836116936394j)
2.1155,(-0.0038731135696543576+0.010053470591637512j),(-0.9239193594685103-0.3824332185776871j),(-0.9238273569944708-0.38213573879850304j),(-0.004443655874811179+0.009823464702769373j)
2.126,(-0.003605460533922465+0.009777022519476266j),(-0.9290502438333861-0.3698041745123944j),(-0.9289493508229519-0.36949239700537484j),(-0.004182920276966608+0.009553748835221913j)
2.1365,(-0.0033450979571175423+0.009493231341996403j),(-0.9340092186467875-0.3571041922948681j),(-0.9338995955375745-0.35677994376236827j),(-0.003929278253204092+0.009276865831857696j)
2.147,(-0.003092226314132583+0.009202285540542527j),(-0.9387952474004776-0.3443356673119341j),(-0.9386771091876771-0.34400069768007663j),(-0.0036829258290091193+0.008992997601602494j)
2.1575,(-0.002847041649666531+0.008904378312942754j),(-0.9434073343716451-0.3315009946667437j),(-0.943280921755157-0.3311570412820523j),(-0.0034440544092163637+0.00870233147203476j)
2.168,(-0.00260973510360966+0.008599708200302664j),(-0.947844496911228-0.31860265128225307j),(-0.9477101168124443-0.31825132422397323j),(-0.0032128510463185454+0.00840505958023081j)
2.1785,(-0.002380492955521512+0.008288478696469448j),(-0.9521058163446917-0.30564304663914443j),(-0.9519638014513728-0.3052859261003437j),(-0.002989497733871241+0.008101379039851298j)
2.189,(-0.0021594964496134445+0.007970898157733627j),(-0.9561903875429416-0.29262467090409217j),(-0.9560411184395669-0.2922632416362399j),(-0.0027741720705663133+0.0077914915900426564j)
2.1995,(-0.0019469220814675938+0.007647179615089745j),(-0.9600973539425034-0.2795499955369295j),(-0.9599412446100022-0.27918567947140593j),(-0.0025670467863189504+0.007475603598673234j)
2.21,(-0.00174294091224697+0.007317540812552104j),(-0.9638258942970411-0.26642150506199347j),(-0.9636633901551488-0.2660556613609633j),(-0.0023682894254237774+0.007153926058687343j)
2.2205,(-0.0015477188119624723+0.006982204019594651j),(-0.9673752248155072-0.25324169707463506j),(-0.9672067988578635-0.25287562170291245j),(-0.0021780628863922037+0.006826674247276884j)
2.231,(-0.0013614163192370615+0.006641395903818622j),(-0.9707445984217041-0.24001308136577224j),(-0.970570753468895-0.23964799036133225j),(-0.0019965247837988864+0.006494067827996257j)
2.2415,(-0.0011841887969360986+0.0062953474199475435j),(-0.9739333039825805-0.22673817912162542j),(-0.9737545629285995-0.2263752428267101j),(-0.001823827600975466+0.006156330712089562j)
2.252,(-0.001016185787401109+0.00594429378605746j),(-0.976940667462888-0.21341952262667319j),(-0.9767575797810465-0.21305983202878492j),(-0.0016601186369086373+0.005813690904288138j)
2.2625,(-0.0008575516397678731+0.005588474297783682j),(-0.9797660540696995-0.2000596550837346j),(-0.9795791856476099-0.19970423814677088j),(-0.001505539819887431+0.005466380480255782j)
2.273,(-0.0007084248985119545+0.005228132249891991j),(-0.9824088677822825-0.18666111200374177j),(-0.9822187987653407-0.18631095186028598j),(-0.0013602278783544134+0.005114635422281648j)
2.2835,(-0.0005689384905003051+0.004863514907863377j),(-0.9848685451864857-0.1732264727988236j),(-0.9846758782614738-0.17288243899996175j),(-0.0012243140831138853+0.004758695600457336j)
2.294,(-0.00043921957296312803+0.004494873344136597j),(-0.9871445679910215-0.1597582737039821j),(-0.9869499090531358-0.15942122593583788j),(-0.001097924103271154+0.004398804725018278j)
2.3045,(-0.0003193894634948669+0.004122462405898988j),(-0.9892364457087536-0.14625912818278822j),(-0.989040418280635-0.14592981330596466j),(-0.0009811782189868144+0.00403521021085295j)
2.315,(-0.00020956359369163065+0.0037465406238288423j),(-0.9911437387342706-0.13273155327686334j),(-0.9909469651961439-0.13241072682872077j),(-0.0008741909422747364+0.00366816312950671j)
2.3255,(-0.00010985141296631569+0.0033673701427080847j),(-0.9928660312634353-0.11917819435387014j),(-0.9926691466386599-0.11886648232250162j),(-0.0007770710559948549+0.0032979182217963334j)
2.336,(-2.0356287919479175e-05+0.0029852166457171483j),(-0.9944029577132764-0.10560159904882448j),(-0.9942065961420489-0.10529960261939349j),(-0.0006899217832563099+0.0029247336955731413j)
2.3465,(5.8824562152698304e-05+0.0026003493065855825j),(-0.9957541838518557-0.0920043551192138j),(-0.9955589788852325-0.09171265151182624j),(-0.0006128402262592035+0.002548871349217697j)
2.357,(0.0001276001796397323+0.0022130407171669073j),(-0.9969194132418447-0.07838909052420467j),(-0.996726001001884-0.07810814648699231j),(-0.0005459176031371344+0.0021705964087021835j)
2.3675,(0.0001858859454908562+0.0018235668485642477j),(-0.9978983893833319-0.06475838534736873j),(-0.9977074036258254-0.06448862769630918j),(-0.0004892390860282146+0.0017901775207812335j)
2.378,(0.00023360373200281102+0.0014322069691532963j),(-0.9986908936300498-0.05111484113219581j),(-0.9985029603067491-0.05085667470215315j),(-0.0004428836450390879+0.001407886728810498j)
2.3885,(0.00027068199063099417+0.001039243633132027j),(-0.9992967444525462-0.037461080181216834j),(-0.999112487376294-0.03721480167884439j),(-0.00040692390846415623+0.001023999442101938j)
2.399,(0.00029705590875068414+0.0006449625806600782j),(-0.9997157983459304-0.023799675175502525j),(-0.9995358309918793-0.023565595941147977j),(-0.0003814261085577166+0.0006387943440545463j)
2.4095,(0.00031266754399890965+0.0002496527149490405j),(-0.9999479510564571-0.010133270868363893j),(-0.9997728770114782-0.009911613072545431j),(-0.0003664498061030404+0.0002525534383801924j)
2.42,(0.00031746599498312775-0.0001463939599142668j),(-0.999993133897507+0.003535556281848206j),(-0.999823546748972+0.0037446063289115574j),(-0.00036204783221877214-0.00013443804936776673j)
2.4305,(0.00031140757178382237-0.0005428824088304652j),(-0.9998513171044567+0.017204176380913722j),(-0.9996877990572953+0.01740046738523272j),(-0.0003682660551140198-0.0005218917088042946j)
2.441,(0.0002944559843517326-0.000939514631638151j),(-0.9995225097362512+0.030869994029022147j),(-0.9993656271605943+0.03105344363371909j),(-0.00038514319584328946-0.0009095159700163561j)
2.4515,(0.0002665825553511839-0.0013359897440143142j),(-0.9990067566297525+0.044530396469384045j),(-0.9988570621729203+0.04470093797465676j),(-0.0004127105977456253-0.0012970161927649282j)
2.462,(0.00022776643045941083-0.0017320040614925646j),(-0.9983041415576567+0.058182789139722885j),(-0.9981621727636265+0.05834040548919882j),(-0.0004509919644335201-0.0016840947390308419j)
2.4725,(0.0001779948309499065-0.002127251231987589j),(-0.9974147845373322+0.07182456120678538j),(-0.9972810596425682+0.07196928385888478j),(-0.0005000032012957213-0.002070451050185574j)
2.483,(0.00011726329052726557-0.002521422322469281j),(-0.9963388455047881+0.08545310380152792j),(-0.9962138642591816+0.08558501181993855j),(-0.0005597520880920499-0.0024557817275583558j)
2.4935,(4.557592104801957e-05-0.002914205995764437j),(-0.9950765198214622+0.09906584536980517j),(-0.9949607618197495+0.09918502931863599j),(-0.0006302378764599224-0.0028397807762858755j)
2.504,(-3.705428888039217e-05-0.0033052886760098197j),(-0.9936280367845318+0.11266019947607497j),(-0.9935219672420627+0.11276676099590263j),(-0.0007114512701598384-0.0032221395979935823j)
2.5145,(-0.00013060520926423477-0.003694354731120384j),(-0.9919936709389465+0.1262335488831724j),(-0.9918977287098178+0.1263276687843056j),(-0.0008033737951078609-0.0036025473196903694j)
