Frequency,S11,S21,S12,S22
2.5,(-0.0020710884218234247-0.006449833872474504j),(0.965832813758063-0.2590748625879286j),(0.9658333320189146-0.25907534674079286j),(-0.0014344623595130743-0.00662059364934492j)
2.51,(-0.002084635252785759-0.006473206802385687j),(0.9655605762484841-0.26008697422152527j),(0.9655610896276416-0.26008745593157256j),(-0.0014483670854925992-0.006644585840895581j)
2.52,(-0.00209823111960369-0.006496551349901906j),(0.9652872772200625-0.26109880315771883j),(0.9652877861789232-0.2610992807305087j),(-0.0014623220889553087-0.006668548913376387j)
2.53,(-0.002111875856853787-0.006519867448841525j),(0.965012916455235-0.2621103463358279j),(0.9650134214605084-0.2621108180783643j),(-0.0014763274165368418-0.006692482729705346j)
2.54,(-0.0021255694034805774-0.006543154978484365j),(0.9647374956752915-0.26312160121959804j),(0.9647379948565312-0.26312207022856926j),(-0.001490382770781957-0.006716387249089164j)
2.55,(-0.0021393118171445387-0.006566413800448485j),(0.9644610132966843-0.2641325698006851j),(0.9644615066601795-0.26413303606440663j),(-0.0015044883165934977-0.006740262298063337j)
2.56,(-0.0021531030432059227-0.006589643823121155j),(0.9641834696137591-0.2651432509626596j),(0.9641839590555503-0.26514371136896997j),(-0.0015186438739424012-0.006764107799921993j)
2.57,(-0.002166942903397369-0.006612844974345108j),(0.9639048658510894-0.2661536402247282j),(0.9639053509194739-0.2661540964482595j),(-0.0015328493834244874-0.006787923661615001j)
2.58,(-0.0021808313347310296-0.006636017155040885j),(0.9636252028133113-0.2671637384230031j),(0.9636256830513087-0.26716419213694464j),(-0.0015471048995392774-0.006811709733482539j)
2.59,(-0.0021947683884372595-0.006659160228497065j),(0.9633444793713207-0.2681735458596392j),(0.9633449542894111-0.2681739951048371j),(-0.0015614101287344088-0.006835465975538356j)
2.6,(-0.002208753992453206-0.006682274077269045j),(0.9630626977268723-0.26918305832689327j),(0.9630631682980424-0.269183503361891j),(-0.0015757652524193899-0.006859192229667676j)
2.61,(-0.002222787968204562-0.0067053586613834044j),(0.9627798562839481-0.27019227780638566j),(0.9627803215547439-0.27019271835237274j),(-0.0015901700942803998-0.0068828884088962365j)
2.62,(-0.0022368703589764906-0.006728413835973831j),(0.9624959562906032-0.2712011998237811j),(0.9624964167601412-0.27120163782122353j),(-0.0016046246007050677-0.006906554408618537j)
2.63,(-0.002251001089802875-0.006751439495194678j),(0.962210997109767-0.2722098266265294j),(0.9622114532590004-0.272210260386476j),(-0.0016191285964477513-0.006930190142359913j)
2.64,(-0.002265179968629225-0.006774435582942622j),(0.9619249804839741-0.27321815569501506j),(0.9619254323222947-0.2732185852088976j),(-0.0016336822748338495-0.006953795458203307j)
2.65,(-0.0022794071589014864-0.00679740193496067j),(0.9616379062394964-0.27422618396750087j),(0.9616383532976948-0.2742266109051408j),(-0.0016482853447097297-0.006977370307116726j)
2.66,(-0.0022936824618341157-0.006820338486863024j),(0.9613497746935864-0.2752339139646478j),(0.9613502174579365-0.27523433663862934j),(-0.0016629378751621018-0.007000914535159662j)
2.67,(-0.0023080057944646648-0.006843245135726458j),(0.9610605856736637-0.27624134262284333j),(0.961061023192512-0.27624176074839246j),(-0.0016776397001793157-0.00702442807470421j)
2.68,(-0.002322377198067343-0.0068661217577990485j),(0.9607703394934127-0.27724846883090026j),(0.9607707727375805-0.27724888267474873j),(-0.0016923907744113473-0.007047910819441121j)
2.69,(-0.0023367964666784337-0.0068889682916970785j),(0.9604790369533337-0.278255289801604j),(0.9604794664071385-0.27825570130987226j),(-0.0017071910517398102-0.007071362652897652j)
2.7,(-0.002351263755859036-0.006911784564173522j),(0.9601866783601246-0.279261808056902j),(0.9601871035561321-0.2792622152669921j),(-0.001722040492290889-0.007094783477596035j)
2.71,(-0.002365778738264594-0.006934570565891146j),(0.9598932635540663-0.2802680205324683j),(0.959893684501762-0.2802684234359135j),(-0.0017369390506976755-0.007118173166440469j)
2.72,(-0.0023803414456929376-0.006957326165684363j),(0.9595987943040559-0.28127392472488755j),(0.9595992105220222-0.2812743249880527j),(-0.0017518866925954665-0.007141531630735491j)
2.73,(-0.0023949519095738656-0.006980051232159005j),(0.9593032680299948-0.28227952231319836j),(0.9593036809762336-0.282279918534603j),(-0.0017668832506504404-0.007164858773283397j)
2.74,(-0.0024096100354932992-0.007002745666292504j),(0.9590066879551126-0.2832848094026369j),(0.9590070961850973-0.2832852029663585j),(-0.0017819285621797337-0.0071881545168828755j)
2.75,(-0.0024243157303134094-0.007025409379325648j),(0.958709053909458-0.28428978656215204j),(0.9587094574292173-0.284290177458744j),(-0.0017970228444426132-0.007211418700503907j)
2.76,(-0.0024390688989480037-0.007048042283306932j),(0.9584103652567183-0.285294452400906j),(0.9584107645702293-0.2852948389481887j),(-0.0018121658096146888-0.007234651267604676j)
2.77,(-0.0024538694443668246-0.0070706442911012855j),(0.9581106223210772-0.28629880581068295j),(0.9581110169382178-0.28629918967249446j),(-0.0018273574239214667-0.007257852109169335j)
2.78,(-0.0024687173913998223-0.00709321527331155j),(0.9578098263857222-0.2873028459709145j),(0.9578102168140028-0.287303225466145j),(-0.00184259778221712-0.007281021083506102j)
