Frequency,S11,S21,S12,S22
2.5,(-0.0020985914769970056-0.006424273818567091j),(0.9658336846099742-0.2590745649306803j),(0.9658337239487892-0.2590744182749702j),(-0.00139782601898671-0.006612226841556995j)
2.51,(-0.0021120849094900212-0.006447554087632759j),(0.9655614462731578-0.2600866663255689j),(0.9655614853117175-0.26008652139641925j),(-0.001411712894287854-0.006636188840518376j)
2.52,(-0.002125627161723866-0.0064708060865625j),(0.9652881454746091-0.26109848475990777j),(0.965288184665041-0.2610983398717801j),(-0.0014256501198647426-0.006660121721799994j)
2.53,(-0.0021392180779690366-0.006494029737208368j),(0.9650137834200941-0.2621100157478646j),(0.9650138218474191-0.26210987426945187j),(-0.0014396373834804502-0.006684025436629805j)
2.54,(-0.0021528577325766775-0.00651722490681038j),(0.9647383604585045-0.2631212618060201j),(0.9647383990340859-0.2631211203679864j),(-0.0014536748373836996-0.006707899826691243j)
2.55,(-0.0021665459649254084-0.006540391518881006j),(0.9644618763787046-0.26413221987326985j),(0.9644619146415027-0.26413208015907447j),(-0.0014677622884006795-0.006731744818088331j)
2.56,(-0.00218028283667556-0.006563529412906546j),(0.9641843324445475-0.2651428890998178j),(0.964184370390992-0.2651427511086473j),(-0.0014818997791400505-0.0067555602859179055j)
2.57,(-0.002194068079940611-0.006586638590364836j),(0.9639057270281588-0.266153267841741j),(0.9639057646546809-0.26615313157277654j),(-0.0014960871188588842-0.006779346156238585j)
2.58,(-0.002207901864119491-0.0066097188442019224j),(0.9636260628570257-0.2671633574650386j),(0.9636261006263458-0.26716322123561065j),(-0.0015103243499197784-0.006803102283571639j)
2.59,(-0.002221783906195267-0.006632770149650218j),(0.9633453382733353-0.2681731526930402j),(0.9633453752493115-0.26817301986600856j),(-0.0015246112882860202-0.006826828613428852j)
2.6,(-0.0022357143857667525-0.0066557923379195255j),(0.9630635545740998-0.26918265631059274j),(0.9630635916892674-0.2691825235224137j),(-0.0015389480999095477-0.006850524972388076j)
2.61,(-0.002249693011017234-0.006678785377015563j),(0.962780712039034-0.2701918635749229j),(0.9627807483502051-0.27019173418648135j),(-0.0015533344800671399-0.0068741913126805585j)
2.62,(-0.002263719835785666-0.006701749119037523j),(0.962496810995947-0.27120077700539974j),(0.9624968474427062-0.27120064765511165j),(-0.001567770483514754-0.006897827506133395j)
2.63,(-0.0022777948025294696-0.006724683474481676j),(0.9622118512594059-0.27220939353921453j),(0.9622118873666188-0.2722092659065989j),(-0.0015822559244373108-0.006921433468713973j)
2.64,(-0.002291917845307088-0.006747588335570698j),(0.961925833615279-0.27321771038505266j),(0.9619258693793853-0.27321758446925315j),(-0.0015967909850529863-0.006945009052953118j)
2.65,(-0.0023060888993741676-0.006770463604687354j),(0.9616387583834627-0.27422573006328516j),(0.9616387938009046-0.27422560586343997j),(-0.0016113753637730238-0.006968554211735634j)
2.66,(-0.0023203078947628525-0.006793309175443066j),(0.9613506253881667-0.27523344951052237j),(0.9613506604553872-0.27523332702576425j),(-0.00162600911889592-0.006992068795000779j)
