Frequency,S11,S21,S12,S22
2.5,(-0.1278606806823919-0.22338570105905164j),(0.839255957688306-0.4789572054983029j),(0.8392554938026651-0.4789570902839141j),(-0.12729267130904812-0.2237096321611132j)
2.51,(-0.12874744443019842-0.22390734955342748j),(0.8380979701319461-0.48050164589285327j),(0.8380976702242712-0.4805016080545873j),(-0.12818069975217383-0.2242320277389755j)
2.52,(-0.12963586060826118-0.22442517151748903j),(0.8369370650371387-0.48204221717730855j),(0.8369370128751461-0.48204230774261175j),(-0.1290703822200975-0.22475059080882956j)
2.53,(-0.13052592168126018-0.2249391431571765j),(0.8357733918493394-0.4835789895031785j),(0.8357733462730896-0.4835790682729628j),(-0.1299617163947096-0.22526529806652873j)
2.54,(-0.1314175691679379-0.22544933393370914j),(0.8346069725057691-0.4851119798680839j),(0.8346069327118002-0.4851120483312886j),(-0.13085463844851275-0.2257762195044872j)
2.55,(-0.13231078122710957-0.22595574159281676j),(0.833437820910046-0.4866411871219167j),(0.8334377877854292-0.48664124385222857j),(-0.13174913023268894-0.2262833506940741j)
2.56,(-0.13320554884393757-0.22645835876406897j),(0.8322659552127784-0.48816660485963326j),(0.8322659279484106-0.4881666513421323j),(-0.13264517510473234-0.22678668986996772j)
2.57,(-0.134101846215572-0.2269571856563151j),(0.8310913918837741-0.4896882335824636j),(0.8310913713717606-0.48968826839513807j),(-0.1335427588817754-0.2272862304111647j)
2.58,(-0.13499965693102425-0.22745222054305714j),(0.829914148204313-0.4912060665392916j),(0.8299141327726188-0.4912060926118133j),(-0.13444185649770263-0.22778197446920947j)
2.59,(-0.13589896754506617-0.22794345766811133j),(0.828734239753-0.49272010386863296j),(0.8287342311534117-0.4927201183327741j),(-0.13534245375582882-0.22827391557984067j)
2.6,(-0.13679975615722245-0.22843089519771456j),(0.8275516838050867-0.4942303409256448j),(0.8275516812173027-0.4942303452586952j),(-0.13624453402910208-0.22876205224484877j)
2.61,(-0.13770200984615674-0.2289145283400522j),(0.8263664984884926-0.4957367756168738j),(0.8263665010841643-0.4957367712900291j),(-0.1371480796770586-0.22924638131096162j)
2.62,(-0.13860570423560417-0.22939436041733366j),(0.82517869848894-0.4972394038697743j),(0.8251787071674047-0.4972393894676889j),(-0.138053069049746-0.22972690210362967j)
2.63,(-0.13951082537434062-0.22987038506827687j),(0.8239883019139609-0.49873822374126225j),(0.8239883158413591-0.4987382007311679j),(-0.1389594930343951-0.23020360766096165j)
2.64,(-0.14041735583724294-0.23034259924486306j),(0.8227953242723208-0.5002332337704227j),(0.8227953434798975-0.50023320217735j),(-0.13986732194312215-0.23067650231008477j)
2.65,(-0.1413252787208057-0.23081100081957226j),(0.8215997827826131-0.5017244316466828j),(0.8215998081771676-0.5017243900617802j),(-0.1407765461613781-0.231145578352324j)
