Frequency,S11,S21,S12,S22
2.0,(-0.478095281464814-0.12097218537206894j),(-0.2132021931401973+0.8434090069098724j),(-0.21319439920086014+0.8434111338530942j),(-0.47814715326357843-0.1207463816196616j)
2.0105,(-0.4828221113378824-0.11175690804178395j),(-0.19569866358248475+0.84620416000724j),(-0.19566363478796167+0.8462079699442437j),(-0.48286747411226877-0.11153755080988847j)
2.021,(-0.487159224309216-0.10238412626396903j),(-0.17823964312439675+0.8487385610714182j),(-0.17818028709383812+0.8487429998057285j),(-0.487197946431433-0.10217178848463833j)
2.0315,(-0.49110362418146697-0.09286824253257661j),(-0.1608221763163104+0.8510186296685324j),(-0.16074128072183066+0.8510228090992057j),(-0.4911356414230544-0.09266353889458925j)
2.042,(-0.4946526595829524-0.0832234993474263j),(-0.1434429336730122+0.853050198857896j),(-0.14334319262186315+0.8530533787845231j),(-0.4946779794300386-0.08302707308458672j)
2.0525,(-0.4978039971927107-0.07346400502152269j),(-0.1260982914133966+0.8548384984164547j),(-0.1259822635393224+0.8548400879671587j),(-0.49782269914929456-0.07327651378546027j)
2.063,(-0.5005555977945149-0.06360374392901455j),(-0.10878432038818714+0.8563881593759397j),(-0.10865445137919852+0.8563876994543865j),(-0.500567840492244-0.06342584659304608j)
2.0735,(-0.5029057067924598-0.05365658102317398j),(-0.09149685074537155+0.8577031999234827j),(-0.09135546424019979+0.8577003560064199j),(-0.5029117182613864-0.053488939791743705j)
2.084,(-0.5048528285486066-0.04363626493286114j),(-0.07423149693288988+0.8587870276585335j),(-0.07408079877487628+0.8587815780173769j),(-0.504852911468283-0.04347953202439502j)
2.0945,(-0.5063957133147512-0.03355647838008315j),(-0.056983695668456326+0.8596424288975917j),(-0.05682577590926247+0.8596342579028349j),(-0.5063902406376403-0.03341129042925857j)
2.105,(-0.507533350097065-0.023430827449601368j),(-0.03974874006188768+0.8602715668116023j),(-0.03958557043187173+0.8602606580530573j),(-0.507522758795227-0.023297791373772605j)
2.1155,(-0.5082649492589455-0.013272866272053978j),(-0.022521813292420124+0.8606759836768691j),(-0.02235524753002437+0.8606624051300266j),(-0.5082497414665079-0.01315256366792816j)
2.126,(-0.5085899439577268-0.0030961322768497017j),(-0.005298019847820355+0.8608565921983597j),(-0.005129796454681515+0.8608404947642916j),(-0.5085706769472327-0.0029890969345315295j)
2.1365,(-0.5085079778818644+0.007085872137314404j),(0.011927581255322041+0.8608136766649497j),(0.012095838136710885+0.8607952852380183j),(-0.5084852635341153+0.007179140435789372j)
2.147,(-0.5080189090298951+0.017259626145528315j),(0.029159943593986114+0.8605468921041272j),(0.029326721519113363+0.8605264970487863j),(-0.5079934082882297+0.017338665476175595j)
2.1575,(-0.5071228082810019+0.027411581573052478j),(0.046403999016208675+0.860055264493207j),(0.04656789443346049+0.8600332156146504j),(-0.5070952229828793+0.027475997788176082j)
2.168,(-0.5058199608275051+0.03752815380303796j),(0.06366462590977903+0.8593371859148082j),(0.06382434575591577+0.8593138855694382j),(-0.5057910286638206+0.03757759675810047j)
2.1785,(-0.5041108739714064+0.0475956864319665j),(0.08094661899461263+0.858390418385735j),(0.08110097626971312+0.8583663161560984j),(-0.5040813674468407+0.04762985288439962j)
2.189,(-0.5019962839441037+0.05760044280576254j),(0.09825464975509332+0.8572120943732163j),(0.098402561999394+0.8571876809835066j),(-0.5019670001896823+0.057619104973683666j)
2.1995,(-0.49947716874562204+0.06752858955290456j),(0.11559323831873515+0.8557987164910281j),(0.11573372425373916+0.8557745162038548j),(-0.49944892587334794+0.06753156158797635j)
2.21,(-0.49655475827307366+0.07736617143365049j),(0.1329667182932868+0.8541461555571691j),(0.13309889693882337+0.8541227266664215j),(-0.4965283913267931+0.07735332004918653j)
2.2205,(-0.49323055181473374+0.08709909646910223j),(0.15037919346371648+0.852249661317161j),(0.15050228303550225+0.8522275837108348j),(-0.49320690720224336+0.0870703599795074j)
2.231,(-0.48950633735963955+0.09671312226893264j),(0.167834514587334+0.8501038582299656j),(0.16794782535315306+0.8500837333753123j),(-0.4894862656285265+0.09666850232392642j)
2.2415,(-0.4853842126846937+0.10619384365371344j),(0.18533622761592256+0.8477027520930303j),(0.1854391659668538+0.8476851962765846j),(-0.4853685707211996+0.10613338075718472j)
2.252,(-0.48086660623539246+0.11552668120316796j),(0.20288754967988615+0.8450397341946412j),(0.20297960919037392+0.8450253764711109j),(-0.4808562497875816+0.11545047276995822j)
2.2625,(-0.47595630798588145+0.12469685546063246j),(0.22049131577707745+0.8421075907100557j),(0.22057208067900688+0.8420970644119447j),(-0.4759520846310522+0.12460506457107835j)
2.273,(-0.4706564925274296+0.13368939639689184j),(0.2381499457845324+0.8388985055385341j),(0.23821908422854543+0.8388924494434138j),(-0.47065924503782536+0.13358222749113835j)
2.2835,(-0.4649707609489533+0.14248911506708492j),(0.2558654036108004+0.8354040744901685j),(0.25592266345488635+0.835403125626765j),(-0.4649813160460726+0.14236683906720946j)
2.294,(-0.4589031604329998+0.15108062443397377j),(0.2736391427683678+0.8316153153068682j),(0.2736843575853253+0.8316201049732199j),(-0.45892233551293565+0.15094354666576978j)
2.3045,(-0.4524582316163259+0.15944831685549388j),(0.2914720762468034+0.8275226799440049j),(0.29150515157754114+0.827533832765993j),(-0.45248682017776265+0.15929680954347483j)
2.315,(-0.44564103834379304+0.16757638323839713j),(0.30936451642566126+0.8231160731418161j),(0.3093854355901258+0.8231342023429185j),(-0.4456798205864085+0.167410846187211j)
2.3255,(-0.4384572219081277+0.175448781280229j),(0.32731613551327415+0.818384870412226j),(0.32732495526474503+0.8184105720498884j),(-0.43850694901245096+0.1752696823746032j)
2.336,(-0.4309130286239821+0.1830492950156271j),(0.34532591308075977+0.8133179410588638j),(0.3453227580999439+0.8133517943988776j),(-0.4309744329779771+0.18285712253561295j)
2.3465,(-0.423015362735615+0.19036150038930505j),(0.363392090155054+0.8079036718487357j),(0.3633771494420062+0.8079462361799269j),(-0.4230891480321507+0.19015679666439472j)
2.357,(-0.4147701582110517+0.1973667550743462j),(0.3815128192547685+0.8021301264287962j),(0.3814819985093167+0.8021727857049208j),(-0.4148570015994967+0.1971501031398036j)
2.3675,(-0.4061875810302615+0.20405015176584732j),(0.3996840286430647+0.7959846004088595j),(0.3996371396472456+0.7960278240471372j),(-0.4062881230930249+0.20382217933829447j)
2.378,(-0.39727684042318306+0.21039489007242473j),(0.4179013923625682+0.789454226945592j),(0.4178384172609384+0.7894987077549058j),(-0.397391699177453+0.21015624458077972j)
2.3885,(-0.3880479602648922+0.21638401680441144j),(0.43615965195496503+0.7825258007088853j),(0.43608064925570755+0.7825722438820548j),(-0.38817770661840295+0.21613540017263505j)
2.399,(-0.37851113383316953+0.22199922159279314j),(0.45445010926245333+0.7751809518617675j),(0.4543580502600636+0.7752349141401239j),(-0.37865631078485407+0.22174135995761832j)
2.4095,(-0.36867881493993226+0.22722421937100498j),(0.47276673297034016+0.7674091273370687j),(0.4726631181194197+0.7674729502030138j),(-0.36883992669503796+0.22695786836412363j)
2.42,(-0.35856416724147144+0.2320425005262952j),(0.491101989428623+0.7591983064522219j),(0.49098734306658925+0.7592724553736191j),(-0.3587416837286433+0.23176844345248843j)
2.4305,(-0.34818110656075185+0.23643717180596424j),(0.5094463153413914+0.7505345080987077j),(0.5093212125865219+0.7506194098684663j),(-0.3483754417602115+0.23615623723036103j)
2.441,(-0.33754463124514217+0.24039149393337975j),(0.5277889454025497+0.7414037160156579j),(0.5276540067748513+0.7414997573468296j),(-0.33775616566158584+0.24010452173437757j)
2.4515,(-0.3266708673055668+0.2438889494787047j),(0.54611787428705+0.7317919525219443j),(0.5459737641449075+0.731899476196784j),(-0.3268999462668421+0.2435967967300388j)
2.462,(-0.3155771236870408+0.24691330226266314j),(0.5644198083206771+0.7216853634548791j),(0.5642672317741125+0.7218046654017488j),(-0.3158240311110394+0.24661686631359128j)
2.4725,(-0.30428190594097304+0.2494487078323229j),(0.5826801398814258+0.7110703099445058j),(0.5825198333081965+0.7112016415190594j),(-0.30454688490904136+0.24914889539855697j)
2.483,(-0.29280496221352426+0.25147977853519865j),(0.6008829023240623+0.6999334704629475j),(0.6007156388362536+0.70007702907412j),(-0.2930882076549606+0.25117751813851713j)
2.4935,(-0.281167301673463+0.25299170198167625j),(0.6190107572598418+0.6882619412263418j),(0.6188373368869989+0.6884178729657315j),(-0.2814689559667461+0.25268793258821215j)
2.504,(-0.26939120863644567+0.25397033190473683j),(0.6370449717422836+0.6760433492033432j),(0.6368662178267439+0.6762117468776025j),(-0.26971136948458985+0.2536660040495696j)
2.5145,(-0.25750026503652346+0.25440230061634933j),(0.6549654102521741+0.6632659714737179j),(0.6547821668281107+0.6634468716827729j),(-0.2578389676755857+0.25409838272659174j)
2.525,(-0.24551933875402515+0.25427514148561337j),(0.6727505316501011+0.64991886030286j),(0.6725636594001788+0.6501122417453022j),(-0.245876568202966+0.25397260252905945j)
2.5355,(-0.23347457883238174+0.25357740497844844j),(0.6903774022531722+0.6359919657973215j),(0.6901877720705746+0.6361977502198796j),(-0.2338502637393168+0.25327721855361157j)
2.546,(-0.22139340294624574+0.25229878416440865j),(0.7078217151169223+0.6214762742850451j),(0.7076302060916175+0.6216943230535542j),(-0.22178741648112407+0.2520019249908041j)
2.5565,(-0.2093044409224119+0.2504302614449206j),(0.7250578266340267+0.6063639460010519j),(0.7248653183455429+0.6065940629721327j),(-0.2097165982199521+0.2501377024146344j)
2.567,(-0.19723751535199166+0.2479642233419026j),(0.7420587952406398+0.5906484485243801j),(0.7418661665090396+0.5908903758967724j),(-0.1976675802465432+0.24767692228842106j)
2.5775,(-0.1852235756429608+0.2448945953688728j),(0.7587964521249732+0.5743247013535153j),(0.7586045742263327+0.5745781220209624j),(-0.18567124262403903+0.24461351123776962j)
2.588,(-0.17329460787534023+0.2412169962329332j),(0.7752414675013065+0.5573892157178623j),(0.7750512004949921+0.5576537522006144j),(-0.1737595184676226+0.24094306671651738j)
2.5985,(-0.1614835627551+0.2369288514946773j),(0.7913634482914538+0.5398402320297261j),(0.7911756352519802+0.5401154483934656j),(-0.1619653040728332+0.23666299615043354j)
2.609,(-0.14982423827984576+0.23202953531261414j),(0.807131040764951+0.5216778511826742j),(0.8069465021340458+0.521963255483098j),(-0.15032233445439463+0.23177265190214033j)
2.6195,(-0.13835116222619218+0.2265204896862525j),(0.8225120532138206+0.5029041732841131j),(0.8223315857075849+0.5031992133700539j),(-0.13886509055950394+0.2262734425070185j)
2.63,(-0.12709946443630274+0.2204053369178677j),(0.8374735994879419+0.48352340564213997j),(0.837297966782256+0.4838274779974401j),(-0.1276286323196234+0.22016896926017127j)
2.6405,(-0.11610469033933912+0.2136900043317683j),(0.8519822489956184+0.4635419873824291j),(0.8518121798012854+0.463854435154248j),(-0.11664846838169671+0.2134651128433159j)
2.651,(-0.10540267572023178+0.20638280129616077j),(0.8660041982275586+0.442968684933407j),(0.8658403824215172+0.44328879903235713j),(-0.10596036697427699+0.2061701497674292j)
2.6615,(-0.09502931493442478+0.19849451879653104j),(0.8795054601228778+0.4218146760566739j),(0.8793485419016964+0.42214170272328216j),(-0.09560018975969063+0.19829482092470277j)
2.672,(-0.08502040642908074+0.19003848271167567j),(0.8924520590256728+0.40009362403335325j),(0.892302634310045+0.4004267654074332j),(-0.08560367859145637+0.18985240539728818j)
2.6825,(-0.07541140572715054+0.18103061434972814j),(0.9048102425979371+0.37782172985449697j),(0.9046688549953967+0.3781601479025782j),(-0.07600625238844763+0.18085877106316856j)
2.693,(-0.0662372300457964+0.17148945005665028j),(0.9165467038224417+0.35501776354295944j),(0.9164138408861497+0.35536058440845963j),(-0.06684278860735521+0.17133239713363047j)
2.7035,(-0.05753201155781425+0.16143615466131647j),(0.9276288119390734+0.33170307704041657j),(0.9275049023496591+0.3320493941794303j),(-0.05814738933547907+0.16129438887031722j)
2.714,(-0.04932887267574898+0.15089450490843032j),(0.938024844534097+0.30790158789819455j),(0.9379102549294743+0.30825046713926485j),(-0.04995314782066827+0.15076845753183576j)
2.7245,(-0.04165968384923306+0.13989084524298026j),(0.9477042328116619+0.28363974536072073j),(0.9475992640548159+0.28399023363525455j),(-0.04229190884885668+0.13978088481425205j)
2.735,(-0.034554822519154406+0.12845402400779293j),(0.956637795555618+0.25894646276062416j),(0.9565426826257714+0.2592975872946848j),(-0.03519403704242834+0.12836044920489717j)
2.7455,(-0.028042940446024758+0.11661530227813988j),(0.9647979763764274+0.23385303494840928j),(0.9647128850512486+0.23420381421046j),(-0.028688171469559254+0.11653834357608825j)
2.756,(-0.022150729347711895+0.10440823598924165j),(0.9721590797023458+0.20839301925456777j),(0.9720841069982454+0.20874246248228998j),(-0.02280099643730809+0.10434805260406167j)
2.7665,(-0.01690270398293588+0.09186852650019316j),(0.9786974842756411+0.18260209224802212j),(0.9786326563448329+0.1829492108654206j),(-0.01755702986665425+0.09182520780891841j)
2.777,(-0.012320985264883648+0.07903385906510627j),(0.9843918588268866+0.15651788768259034j),(0.9843371312813625+0.1568616998188236j),(-0.01297840270729364+0.07900742447756956j)
2.7875,(-0.008425118768132064+0.06594370392502158j),(0.9892233482437858+0.13017980461675518j),(0.989178607132491+0.1305193373877149j),(-0.009084674371678439+0.065934104089246j)
2.798,(-0.005231893061281116+0.05263910384933541j),(0.9931757563574981+0.10362879474415869j),(0.993140818460091+0.10396309357092094j),(-0.005892654458003332+0.05264622294523237j)
2.8085,(-0.0027551899483877+0.03916243876878233j),(0.9962356887294299+0.07690713107791507j),(0.9962103032520188+0.07723526398840187j),(-0.0034162526150181643+0.039186097354088734j)
2.819,(-0.001005856690524137+0.025557173649074418j),(0.9983926860001647+0.05005815891497753j),(0.9983765365304395+0.05037922228523263j),(-0.001666349903574917+0.02559713251627445j)
2.8295,(8.394756677127494e-06+0.011867592930908825j),(0.9996393246156371+0.023126032295322195j),(0.999632031624526+0.023439156084506512j),(-0.0006506972662370283+0.011923556739583775j)
2.84,(0.0002830609409918881-0.0018614770689240575j),(0.9999712874952262-0.003844559762464268j),(0.9999724113140345-0.003540206974610652j),(-0.0003738425383068336-0.00178985393266729j)
2.8505,(-0.00018311039461769627-0.015584952238712872j),(0.9993874066415444-0.03080867479860618j),(0.9993964508865146-0.030513881300089002j),(-0.0008370865605259599-0.015498060260080191j)
2.861,(-0.0013881074968556577-0.029257777988199864j),(0.9978896789648007-0.05772140205705553j),(0.9979060943733241-0.05743690845165437j),(-0.0020384699790348786-0.029156046384307008j)
2.8715,(-0.0033266726483479575-0.04283521751577008j),(0.995483247180016-0.08453814680789652j),(0.9955064358071786-0.08426464233751915j),(-0.003972790210981171-0.04271910698707467j)
2.882,(-0.005990350706780668-0.056273134446865984j),(0.9921763489986077-0.111214911193932j),(0.9922056687578115-0.11095303001245813j),(-0.00663164931970935-0.056143130776383735j)
