Frequency,S11 Re,S11 Im,S21 Re,S21 Im
1.7,-0.1851826459,-0.2996047139,0.9025267363,-0.2456427217
1.70018,-0.1852622032,-0.2995198071,0.9025729299,-0.2457460463
1.70036,-0.1852373183,-0.2993971705,0.9023579359,-0.2456703335
1.70054,-0.1853242964,-0.2994404137,0.9024401307,-0.2457662076
1.70072,-0.1853042841,-0.2994280457,0.902325809,-0.2458069175
1.7009,-0.1853052229,-0.2995093763,0.902343154,-0.2457454354
1.70108,-0.1853120625,-0.2994281948,0.902316153,-0.2457887083
1.70126,-0.1854609996,-0.2994405925,0.9023650885,-0.2458015382
1.70144,-0.1854469031,-0.2994613051,0.9021533728,-0.2457918823
1.70162,-0.1854835749,-0.2993931174,0.9021773934,-0.245729059
1.7018,-0.1856276244,-0.2994172573,0.9021179676,-0.2458299994
1.70198,-0.1856200546,-0.2993097007,0.9020612836,-0.2457218021
1.70216,-0.1856092662,-0.2993887961,0.9021266699,-0.2459555417
1.70234,-0.1855369657,-0.2994535565,0.9022200704,-0.2459488213
1.70252,-0.1855141222,-0.2994536161,0.9020034671,-0.2459961176
1.7027,-0.1855580658,-0.2994825542,0.9019650221,-0.2459837049
1.70288,-0.1855709255,-0.299546659,0.9020676613,-0.2459545135
1.70306,-0.1855511218,-0.2994810343,0.9021012783,-0.2460303903
1.70324,-0.1855584085,-0.2994547486,0.902102232,-0.2459772527
1.70342,-0.1855942905,-0.2994289398,0.9021796584,-0.2459754944
1.7036,-0.1856359839,-0.2993099988,0.9021613598,-0.2460753471
1.70378,-0.1855983883,-0.2992942929,0.9019623995,-0.2459645718
1.70396,-0.185699001,-0.2993961573,0.902012229,-0.2460361719
1.70414,-0.1857704669,-0.2994380891,0.9019110203,-0.245971486
1.70432,-0.1857724488,-0.2996053398,0.901914537,-0.2457219511
1.7045,-0.1857508123,-0.2994315922,0.901814878,-0.2459494472
1.70468,-0.1858312637,-0.2994716465,0.9018645883,-0.2460588068
1.70486,-0.1858703494,-0.2995065749,0.9020100236,-0.2461293638
1.70504,-0.1859024316,-0.2995299101,0.9019660354,-0.2461887151
1.70522,-0.1858248562,-0.2995502055,0.9019421935,-0.246109724
1.7054,-0.1859112084,-0.2994284034,0.9019137025,-0.2461616695
1.70558,-0.1858993769,-0.2993943691,0.9018558264,-0.2462147474
1.70576,-0.1860272884,-0.2994285524,0.9018690586,-0.2462854981
1.70594,-0.1859675795,-0.2993622422,0.9017968178,-0.2461367399
1.70612,-0.1859934628,-0.2994741201,0.9019058943,-0.2461358905
1.7063,-0.1860792935,-0.2994418144,0.9018206596,-0.2462218851
1.70648,-0.1860282123,-0.2994917929,0.901797533,-0.246338129
1.70666,-0.1861109585,-0.299510628,0.9016956091,-0.2463050038
1.70684,-0.1861341596,-0.2995434403,0.9017266035,-0.2464221269
1.70702,-0.1861955374,-0.2995767593,0.9018583894,-0.246345371
1.7072,-0.1862300187,-0.2994589806,0.9015901685,-0.246450007
1.70738,-0.1862816066,-0.2993989587,0.9015265703,-0.2465073466
1.70756,-0.1863493323,-0.2994827032,0.9017222524,-0.2465472519
1.70774,-0.1863137633,-0.2994363308,0.9017096758,-0.2464371622
1.70792,-0.1862450242,-0.2994276583,0.9015467763,-0.2463312
1.7081,-0.1862711608,-0.2995024323,0.9015204906,-0.2464000434
1.70828,-0.1864253283,-0.2994859815,0.9016196132,-0.2463752031
1.70846,-0.1863544732,-0.299536854,0.9015020728,-0.2463929504
1.70864,-0.186424315,-0.2995389104,0.9014806151,-0.2464209795
1.70882,-0.1864320189,-0.2995740771,0.9015555978,-0.246547848
1.709,-0.1865367591,-0.299621731,0.9014909863,-0.2465123832
1.70918,-0.1865952313,-0.2994985878,0.9014850259,-0.2465990782
1.70936,-0.1866423935,-0.2994797528,0.9014524817,-0.2465815544
1.70954,-0.1866540611,-0.299489975,0.9015175104,-0.246642068
1.70972,-0.1867140234,-0.2994523048,0.9015234709,-0.2467378229
1.7099,-0.1866428256,-0.2994736731,0.9015378952,-0.2464184463
1.71008,-0.1867260039,-0.2995276451,0.9014700651,-0.2466240525
1.71026,-0.1869293302,-0.2995939851,0.9014083743,-0.2467608303
1.71044,-0.1869824529,-0.2996271849,0.9015017748,-0.2465800047
1.71062,-0.1869873405,-0.2996891737,0.9014228582,-0.2466775924
1.7108,-0.1869931519,-0.2997150421,0.9014148712,-0.2466700673
1.71098,-0.1871217489,-0.2997795939,0.9014559388,-0.2466353178
1.71116,-0.1871804297,-0.2996267676,0.9013369083,-0.2468173653
1.71134,-0.1871796101,-0.2995697558,0.9013643861,-0.2466077805
1.71152,-0.1871902943,-0.2995742559,0.9013293982,-0.2468273938
1.7117,-0.1873425543,-0.2995497286,0.9013027549,-0.2468049526
1.71188,-0.1873074174,-0.2995555699,0.901147306,-0.2468545139
1.71206,-0.1872924864,-0.2995147705,0.9011445045,-0.2467294633
1.71224,-0.1873010099,-0.2995965779,0.9012303352,-0.2469070852
1.71242,-0.1873713732,-0.2994960546,0.9011573195,-0.2468073368
1.7126,-0.187465176,-0.29951033,0.9011563659,-0.2469750792
1.71278,-0.1874765307,-0.299513489,0.9011677504,-0.2469286174
1.71296,-0.1875602454,-0.2995404899,0.9011630416,-0.2470620126
1.71314,-0.1876198798,-0.2995311618,0.9011992216,-0.2469277382
1.71332,-0.1876929253,-0.2995838225,0.9013468623,-0.2468405515
1.7135,-0.1876767278,-0.2995450795,0.9012674093,-0.2467891872
1.71368,-0.187680319,-0.2995353639,0.9012882113,-0.2468697429
1.71386,-0.1877519488,-0.2994040847,0.9012368917,-0.247084707
1.71404,-0.1877492368,-0.2995149791,0.9011167288,-0.2468691319
1.71422,-0.1877594441,-0.2995982468,0.9013062119,-0.247004047
1.7144,-0.1877339035,-0.2996578813,0.9011500478,-0.2470186204
1.71458,-0.1879027188,-0.2996308208,0.9012797475,-0.2470353693
1.71476,-0.1879377365,-0.2996456027,0.9011878371,-0.2469808757
1.71494,-0.1879869252,-0.2996162772,0.901017487,-0.2469990104
1.71512,-0.1879672706,-0.299613595,0.901062429,-0.2470832765
1.7153,-0.1879577488,-0.2995454073,0.9009422064,-0.2469336092
1.71548,-0.188166827,-0.2996148765,0.901055932,-0.2470936924
1.71566,-0.1881798208,-0.2996231616,0.901081264,-0.2469144911
1.71584,-0.1882873029,-0.2996731102,0.9010561109,-0.2470425516
1.71602,-0.1882176995,-0.2997128367,0.9010978341,-0.2469621897
1.7162,-0.1882909387,-0.2996997535,0.9009437561,-0.2470025867
1.71638,-0.1881730556,-0.299620837,0.9008997679,-0.2468886375
1.71656,-0.188263163,-0.2996714711,0.9009287357,-0.2468948662
1.71674,-0.1883658469,-0.2997304797,0.9010662436,-0.2469822317
1.71692,-0.1884270757,-0.299767077,0.9010952115,-0.2469833195
1.7171,-0.1885095537,-0.2997896075,0.9009828568,-0.2469750345
1.71728,-0.1885062307,-0.299734205,0.9010653496,-0.2470503151
1.71746,-0.1885067523,-0.2997683883,0.9010341763,-0.247277528
1.71764,-0.1886229962,-0.2997939885,0.9010133743,-0.2473940998
1.71782,-0.1886510402,-0.2997668087,0.9007947445,-0.2473805845
1.718,-0.1886594743,-0.2997301817,0.9007781744,-0.2471209764
1.71818,-0.1886000633,-0.2997944653,0.9008101821,-0.2472270578
1.71836,-0.1886169761,-0.2997653186,0.9008648992,-0.2471250594
1.71854,-0.1887176037,-0.2997906804,0.9009535313,-0.2472296357
1.71872,-0.1886378676,-0.2998250127,0.9008841515,-0.2472329289
1.7189,-0.1887550056,-0.2999474406,0.9008099437,-0.2472049743
1.71908,-0.1887806803,-0.2998950779,0.9008616805,-0.2473191619
1.71926,-0.1888155937,-0.2999260128,0.9008259177,-0.24722597
1.71944,-0.1888606399,-0.2998369038,0.9008640647,-0.2472520322
1.71962,-0.1889228672,-0.2997644842,0.9007899165,-0.2472492307
1.7198,-0.188933447,-0.2997385561,0.9008613229,-0.2473057359
1.71998,-0.1888976991,-0.299852401,0.9008779526,-0.2472944558
1.72016,-0.1888647676,-0.2997973263,0.9006814957,-0.2473590672
1.72034,-0.1889428347,-0.2999116182,0.9006767273,-0.2473318875
1.72052,-0.1889911145,-0.2998501062,0.900760293,-0.2474339306
1.7207,-0.1890795976,-0.2998317182,0.9007176757,-0.2474907041
1.72088,-0.1891320497,-0.299890697,0.9008252025,-0.2474994808
1.72106,-0.1892311573,-0.2997942865,0.9007179141,-0.2474389672
1.72124,-0.1892998517,-0.2998708487,0.9006770849,-0.2475778908
1.72142,-0.1892527342,-0.2998491526,0.9006276131,-0.24750866
1.7216,-0.189383775,-0.2997617722,0.9007158279,-0.2476691902
1.72178,-0.1893946975,-0.2997719347,0.9005180597,-0.2476593554
1.72196,-0.189351052,-0.2998574674,0.9005854726,-0.2476920485
1.72214,-0.1893736571,-0.299954325,0.9006021619,-0.2475185394
1.72232,-0.1893981099,-0.2999901772,0.9005419612,-0.2478039712
1.7225,-0.18941769,-0.2999916077,0.9007457495,-0.2478254139
1.72268,-0.1892810315,-0.300015837,0.9006394744,-0.2477773577
1.72286,-0.189318493,-0.299969852,0.9006145597,-0.247695908
1.72304,-0.1893585473,-0.3000693619,0.9005843997,-0.2477250844
1.72322,-0.1894841194,-0.3001493514,0.9004859328,-0.2477528006
1.7234,-0.1895104945,-0.3001648784,0.9004116654,-0.2478081286
1.72358,-0.1896226257,-0.3002054095,0.9004772305,-0.2478464991
1.72376,-0.1896707267,-0.3001195788,0.9004283547,-0.2477437407
1.72394,-0.1896912754,-0.300152123,0.9004402757,-0.2476982027
1.72412,-0.1896345764,-0.3001508713,0.9003961682,-0.2477404177
1.7243,-0.1896791309,-0.3002313972,0.9005183578,-0.2477930784
1.72448,-0.1897041649,-0.3001720905,0.9003145099,-0.2478748411
