Frequency,S11,S21
1.7,(-0.1851826459-0.2996047139j),(-0.1851826459-0.2996047139j)
1.70018,(-0.1852622032-0.2995198071j),(-0.1852622032-0.2995198071j)
1.70036,(-0.1852373183-0.2993971705j),(-0.1852373183-0.2993971705j)
1.70054,(-0.1853242964-0.2994404137j),(-0.1853242964-0.2994404137j)
1.70072,(-0.1853042841-0.2994280457j),(-0.1853042841-0.2994280457j)
1.7009,(-0.1853052229-0.2995093763j),(-0.1853052229-0.2995093763j)
1.70108,(-0.1853120625-0.2994281948j),(-0.1853120625-0.2994281948j)
1.70126,(-0.1854609996-0.2994405925j),(-0.1854609996-0.2994405925j)
1.70144,(-0.1854469031-0.2994613051j),(-0.1854469031-0.2994613051j)
1.70162,(-0.1854835749-0.2993931174j),(-0.1854835749-0.2993931174j)
1.7018,(-0.1856276244-0.2994172573j),(-0.1856276244-0.2994172573j)
1.70198,(-0.1856200546-0.2993097007j),(-0.1856200546-0.2993097007j)
1.70216,(-0.1856092662-0.2993887961j),(-0.1856092662-0.2993887961j)
1.70234,(-0.1855369657-0.2994535565j),(-0.1855369657-0.2994535565j)
1.70252,(-0.1855141222-0.2994536161j),(-0.1855141222-0.2994536161j)
1.7027,(-0.1855580658-0.2994825542j),(-0.1855580658-0.2994825542j)
1.70288,(-0.1855709255-0.299546659j),(-0.1855709255-0.299546659j)
1.70306,(-0.1855511218-0.2994810343j),(-0.1855511218-0.2994810343j)
1.70324,(-0.1855584085-0.2994547486j),(-0.1855584085-0.2994547486j)
1.70342,(-0.1855942905-0.2994289398j),(-0.1855942905-0.2994289398j)
1.7036,(-0.1856359839-0.2993099988j),(-0.1856359839-0.2993099988j)
1.70378,(-0.1855983883-0.2992942929j),(-0.1855983883-0.2992942929j)
1.70396,(-0.185699001-0.2993961573j),(-0.185699001-0.2993961573j)
1.70414,(-0.1857704669-0.2994380891j),(-0.1857704669-0.2994380891j)
1.70432,(-0.1857724488-0.2996053398j),(-0.1857724488-0.2996053398j)
