Frequency,S11 Re,S11 Im,S21 Re,S21 Im
0.8,-0.03620357066,-0.1931150854,0.9665438533,-0.1417408884
0.80064,-0.03654016927,-0.1932283789,0.9662582278,-0.1418355554
0.80128,-0.04182161763,-0.1909110248,0.9663612247,-0.1426323801
0.80192,-0.04187600315,-0.1907002777,0.966167748,-0.1424899101
0.80256,-0.04169800505,-0.1910218149,0.9660781026,-0.1429695487
0.8032,-0.04200797155,-0.1910831481,0.9660486579,-0.1428166777
0.80384,-0.0419343859,-0.1911091506,0.9656882882,-0.1429834813
0.80448,-0.04219830409,-0.1914889365,0.9661293626,-0.1434633881
0.80512,-0.04220037162,-0.1919222623,0.9658275247,-0.1431182325
0.80576,-0.04205719754,-0.1915984601,0.9657827616,-0.1432072371
0.8064,-0.04246915132,-0.1921035796,0.9661179781,-0.1432991475
0.80704,-0.04294666275,-0.1918450594,0.9658364058,-0.1438962072
0.80768,-0.04259787127,-0.1926609725,0.9658079743,-0.1433128715
0.80832,-0.04295188189,-0.1927446723,0.9655663371,-0.1439498514
0.80896,-0.042885717,-0.1930789202,0.9659397602,-0.1435202658
0.8096,-0.04303000122,-0.1929158419,0.9657846689,-0.143682301
0.81024,-0.04270211607,-0.1930808127,0.9657331705,-0.1435405314
0.81088,-0.04351846501,-0.1931935549,0.9658432007,-0.1437219977
0.81152,-0.04334397987,-0.1934148222,0.9653859735,-0.1438992471
0.81216,-0.04331917688,-0.1935460567,0.96572119,-0.1442229003
0.8128,-0.04344336689,-0.1938973516,0.9654699564,-0.1439463645
0.81344,-0.04398708045,-0.1939803809,0.9654020667,-0.1442730427
0.81408,-0.04366739467,-0.1940407157,0.9653980732,-0.1439686269
0.81472,-0.043645069,-0.193925038,0.9651193023,-0.1442847997
0.81536,-0.04393311217,-0.1938332617,0.9651697874,-0.1442064792
0.816,-0.04409719259,-0.1939408779,0.9652784467,-0.1445124894
0.81664,-0.04386077821,-0.1943541914,0.9653375745,-0.1446373612
0.81728,-0.04424633086,-0.1944103241,0.965292871,-0.1446273029
0.81792,-0.04403481632,-0.194253251,0.965292871,-0.1446872503
0.81856,-0.04376825318,-0.1943848133,0.9650601745,-0.1445583254
0.8192,-0.04390026629,-0.1944369972,0.9646932483,-0.1446884722
0.81984,-0.04409646988,-0.1948921978,0.9648792148,-0.1451821774
0.82048,-0.04397565126,-0.194635272,0.9651222825,-0.1450847387
0.82112,-0.04379279912,-0.1949611604,0.9648526311,-0.1448996365
0.82176,-0.04387017712,-0.1949726641,0.9648142457,-0.145413965
0.8224,-0.04395953566,-0.1951656044,0.9651001692,-0.1453828663
0.82304,-0.04379180819,-0.195015654,0.9645537138,-0.1454869807
0.82368,-0.04410376027,-0.1953047365,0.9647769332,-0.1453404278
0.82432,-0.04404912144,-0.195521459,0.9644555449,-0.1457819492
0.82496,-0.04400652274,-0.1956398338,0.9644992948,-0.1458758116
0.8256,-0.04407992586,-0.1955243498,0.9645762444,-0.1459015161
0.82624,-0.04412677139,-0.1954506189,0.964212656,-0.1457379162
0.82688,-0.04389838129,-0.1959219724,0.9644632339,-0.1462513357
0.82752,-0.04423831403,-0.1959060282,0.9645187855,-0.1460436583
0.82816,-0.0443319343,-0.1961986721,0.9641025662,-0.1466945261
0.8288,-0.04406092316,-0.1961518377,0.9641000628,-0.1465387642
0.82944,-0.04404857382,-0.1961363554,0.964151144,-0.1463046968
0.83008,-0.04433586448,-0.1965003163,0.9642089605,-0.1468049437
0.83072,-0.04426101223,-0.1966179758,0.9639815688,-0.1468798071
0.83136,-0.04478992522,-0.1970776618,0.9639928341,-0.1466145068
0.832,-0.04453760386,-0.1971238405,0.9642279148,-0.1471494883
0.83264,-0.04481207207,-0.1971018314,0.9639117718,-0.147133112
0.83328,-0.04478917271,-0.1971087456,0.964155674,-0.1471379697
0.83392,-0.04457136616,-0.1974378228,0.9637258649,-0.1473238468
0.83456,-0.04483071342,-0.1974664778,0.9634523392,-0.1471450329
0.8352,-0.04504941776,-0.1976916045,0.9639018774,-0.1476420313
0.83584,-0.04526391253,-0.1979015172,0.9638229609,-0.1474633068
0.83648,-0.04542232677,-0.1981656551,0.9634168148,-0.1473769248
0.83712,-0.04565085471,-0.1981887072,0.9637382627,-0.1477416158
0.83776,-0.04558002204,-0.1982522756,0.9634735584,-0.147469759
0.8384,-0.04558528215,-0.1981999129,0.9637205005,-0.1479816586
0.83904,-0.04583293572,-0.1986586452,0.9634763002,-0.1482450962
0.83968,-0.04580916092,-0.1983854622,0.9632927179,-0.1479954571
0.84032,-0.04587093741,-0.1983554959,0.9633294344,-0.1483402699
0.84096,-0.04616805539,-0.199020192,0.9632030129,-0.1480380595
0.8416,-0.04618204013,-0.1987154484,0.963146925,-0.1486998051
0.84224,-0.04649252817,-0.1994209737,0.9635906219,-0.1485251039
0.84288,-0.04659694433,-0.199397698,0.9635276198,-0.1485699117
0.84352,-0.04703414068,-0.1992948055,0.9635218382,-0.1485051364
0.84416,-0.04664837569,-0.1994325072,0.9630935788,-0.1485102624
0.8448,-0.04690601677,-0.1998664141,0.9628146291,-0.1490088403
0.84544,-0.04674665257,-0.1995385438,0.9632033706,-0.1492343694
0.84608,-0.04692799971,-0.199936837,0.9631174803,-0.1492335498
0.84672,-0.04726915434,-0.1999405622,0.9632583857,-0.1495231092
0.84736,-0.04701200873,-0.2002715617,0.9629690051,-0.1490278989
0.848,-0.04716467112,-0.2001973987,0.9633637667,-0.1492547989
0.84864,-0.0473460108,-0.20033364,0.9629682302,-0.1496170163
0.84928,-0.04709571227,-0.2007889897,0.9628109932,-0.1495824456
0.84992,-0.04738555104,-0.2006720901,0.9628254771,-0.1497735828
0.85056,-0.04732813686,-0.2007024437,0.96291852,-0.1496319473
0.8512,-0.04770215973,-0.2009589374,0.9626706839,-0.1498744339
0.85184,-0.0474438183,-0.201333195,0.9625405669,-0.1503183991
0.85248,-0.04752579331,-0.2015279233,0.9628924727,-0.1501387954
0.85312,-0.047502812,-0.2014561743,0.9627568126,-0.149900645
0.85376,-0.04742188007,-0.2015744746,0.9627522826,-0.1504404396
0.8544,-0.04748023301,-0.2014751136,0.9625478387,-0.1504996121
0.85504,-0.04801472276,-0.2017956078,0.9625929594,-0.1508129835
0.85568,-0.04766306281,-0.2019696236,0.9624862671,-0.1504346281
0.85632,-0.04773636535,-0.2021842748,0.9629701972,-0.1506578326
0.85696,-0.04722727463,-0.2020283341,0.9621385336,-0.1507984251
0.8576,-0.04747372121,-0.2023642212,0.9624783397,-0.1510293335
0.85824,-0.04742342979,-0.2020973563,0.9624261856,-0.1510704607
0.85888,-0.04757201672,-0.2025448382,0.9619156122,-0.151177451
0.85952,-0.04774073139,-0.2025839686,0.9620902538,-0.1510898471
0.86016,-0.04772100598,-0.2031019032,0.9622252584,-0.1517432183
0.8608,-0.04770585895,-0.2029756904,0.9619975686,-0.1516869068
0.86144,-0.04784836993,-0.203153491,0.961846292,-0.1517845094
0.86208,-0.04802554101,-0.2034783512,0.9621509314,-0.1519680619
0.86272,-0.04776581377,-0.2033004463,0.9619992375,-0.1521158665
0.86336,-0.04795952886,-0.203369081,0.9615343213,-0.1516763717
0.864,-0.04824573174,-0.2039726228,0.961789906,-0.1521341801
0.86464,-0.04821114242,-0.2040015012,0.9620902538,-0.1518509835
0.86528,-0.04814516008,-0.2039140761,0.9617184401,-0.1522678882
0.86592,-0.04875451699,-0.2040234506,0.9616805315,-0.1522191912
0.86656,-0.04846584052,-0.2041742802,0.9615263343,-0.1523588896
0.8672,-0.0484881103,-0.2045212984,0.9616443515,-0.1526146531
0.86784,-0.04851913825,-0.2044796646,0.9613580108,-0.1530995369
0.86848,-0.04891968518,-0.2046748549,0.9615565538,-0.1526757628
0.86912,-0.04865247756,-0.2041637897,0.9614211917,-0.1529455632
0.86976,-0.04912922904,-0.2046951801,0.9613588452,-0.1531334966
0.8704,-0.04933032021,-0.2049676627,0.9613376856,-0.1533916593
0.87104,-0.04905153438,-0.2048186809,0.9612493515,-0.153351739
0.87168,-0.04939003661,-0.2051594704,0.9612189531,-0.1532851011
0.87232,-0.04932674393,-0.2054939568,0.9612037539,-0.1531252116
0.87296,-0.04970232025,-0.2052014172,0.961404264,-0.1535963118
0.8736,-0.04988077283,-0.2050720602,0.9609600902,-0.1540648043
0.87424,-0.04966284707,-0.205370307,0.9609097838,-0.1535119563
0.87488,-0.0500234738,-0.2054170519,0.9608324766,-0.1536120027
0.87552,-0.05021695793,-0.2056885511,0.9611085057,-0.1536757797
0.87616,-0.05059897155,-0.2059433907,0.9610350132,-0.1540679038
0.8768,-0.05020694062,-0.2057297081,0.9611597061,-0.1541789323
0.87744,-0.05049845949,-0.2059736848,0.9609100223,-0.1540569067
0.87808,-0.05054736882,-0.2061003149,0.9610085487,-0.1540232003
