Frequency,S11,S21
8e-10,(-0.03620357066-0.1931150854j),(-0.03620357066-0.1931150854j)
8.0064e-10,(-0.03654016927-0.1932283789j),(-0.03654016927-0.1932283789j)
8.012799999999999e-10,(-0.04182161763-0.1909110248j),(-0.04182161763-0.1909110248j)
8.0192e-10,(-0.04187600315-0.1907002777j),(-0.04187600315-0.1907002777j)
8.025600000000001e-10,(-0.04169800505-0.1910218149j),(-0.04169800505-0.1910218149j)
8.032e-10,(-0.04200797155-0.1910831481j),(-0.04200797155-0.1910831481j)
8.0384e-10,(-0.0419343859-0.1911091506j),(-0.0419343859-0.1911091506j)
8.0448e-10,(-0.04219830409-0.1914889365j),(-0.04219830409-0.1914889365j)
8.051199999999999e-10,(-0.04220037162-0.1919222623j),(-0.04220037162-0.1919222623j)
8.0576e-10,(-0.04205719754-0.1915984601j),(-0.04205719754-0.1915984601j)
8.064e-10,(-0.04246915132-0.1921035796j),(-0.04246915132-0.1921035796j)
8.070399999999999e-10,(-0.04294666275-0.1918450594j),(-0.04294666275-0.1918450594j)
8.076799999999999e-10,(-0.04259787127-0.1926609725j),(-0.04259787127-0.1926609725j)
8.083200000000001e-10,(-0.04295188189-0.1927446723j),(-0.04295188189-0.1927446723j)
8.0896e-10,(-0.042885717-0.1930789202j),(-0.042885717-0.1930789202j)
8.096e-10,(-0.04303000122-0.1929158419j),(-0.04303000122-0.1929158419j)
8.1024e-10,(-0.04270211607-0.1930808127j),(-0.04270211607-0.1930808127j)
8.1088e-10,(-0.04351846501-0.1931935549j),(-0.04351846501-0.1931935549j)
8.1152e-10,(-0.04334397987-0.1934148222j),(-0.04334397987-0.1934148222j)
8.1216e-10,(-0.04331917688-0.1935460567j),(-0.04331917688-0.1935460567j)
8.127999999999999e-10,(-0.04344336689-0.1938973516j),(-0.04344336689-0.1938973516j)
8.1344e-10,(-0.04398708045-0.1939803809j),(-0.04398708045-0.1939803809j)
8.1408e-10,(-0.04366739467-0.1940407157j),(-0.04366739467-0.1940407157j)
8.1472e-10,(-0.043645069-0.193925038j),(-0.043645069-0.193925038j)
8.1536e-10,(-0.04393311217-0.1938332617j),(-0.04393311217-0.1938332617j)
8.16e-10,(-0.04409719259-0.1939408779j),(-0.04409719259-0.1939408779j)
8.1664e-10,(-0.04386077821-0.1943541914j),(-0.04386077821-0.1943541914j)
8.1728e-10,(-0.04424633086-0.1944103241j),(-0.04424633086-0.1944103241j)
