Frequency,S11,S21
1.7,(-0.01257379167+0.0006145261577j),(-0.01257379167+0.0006145261577j)
1.70018,(-0.01264817454+0.0006110114628j),(-0.01264817454+0.0006110114628j)
1.70036,(-0.01256425772+0.0007604634739j),(-0.01256425772+0.0007604634739j)
1.70054,(-0.01260909811+0.0007477473118j),(-0.01260909811+0.0007477473118j)
1.70072,(-0.01258892845+0.0007786237984j),(-0.01258892845+0.0007786237984j)
1.7009,(-0.01253751572+0.000748406339j),(-0.01253751572+0.000748406339j)
1.70108,(-0.01247357111+0.0007650723564j),(-0.01247357111+0.0007650723564j)
1.70126,(-0.01251655631+0.0007045404054j),(-0.01251655631+0.0007045404054j)
1.70144,(-0.01254407782+0.000734479283j),(-0.01254407782+0.000734479283j)
1.70162,(-0.01266016625+0.0006494932459j),(-0.01266016625+0.0006494932459j)
1.7018,(-0.01268089097+0.0006056379643j),(-0.01268089097+0.0006056379643j)
1.70198,(-0.01268051285+0.0007363642217j),(-0.01268051285+0.0007363642217j)
1.70216,(-0.01259827893+0.0007250160561j),(-0.01259827893+0.0007250160561j)
1.70234,(-0.01250913925+0.0008438603254j),(-0.01250913925+0.0008438603254j)
1.70252,(-0.01245320681+0.0008309721015j),(-0.01245320681+0.0008309721015j)
1.7027,(-0.01232502889+0.0007891339483j),(-0.01232502889+0.0007891339483j)
1.70288,(-0.01236157771+0.0008664635243j),(-0.01236157771+0.0008664635243j)
1.70306,(-0.01246393751+0.0007081404328j),(-0.01246393751+0.0007081404328j)
1.70324,(-0.01235278137+0.0008366492111j),(-0.01235278137+0.0008366492111j)
1.70342,(-0.01233141404+0.000908534741j),(-0.01233141404+0.000908534741j)
1.7036,(-0.01237705629+0.0009708328289j),(-0.01237705629+0.0009708328289j)
1.70378,(-0.01243848633+0.001022923854j),(-0.01243848633+0.001022923854j)
1.70396,(-0.0124006439+0.0009456902626j),(-0.0124006439+0.0009456902626j)
1.70414,(-0.01244834904+0.0007841911865j),(-0.01244834904+0.0007841911865j)
1.70432,(-0.01247297786+0.0008025338175j),(-0.01247297786+0.0008025338175j)
1.7045,(-0.01246759202+0.0009588996181j),(-0.01246759202+0.0009588996181j)
1.70468,(-0.01225797366+0.0008516369853j),(-0.01225797366+0.0008516369853j)
1.70486,(-0.01237383485+0.0008798270719j),(-0.01237383485+0.0008798270719j)
1.70504,(-0.01234004181+0.0009354999056j),(-0.01234004181+0.0009354999056j)
1.70522,(-0.01229062304+0.001007853774j),(-0.01229062304+0.001007853774j)
1.7054,(-0.01240414474+0.001022066339j),(-0.01240414474+0.001022066339j)
1.70558,(-0.01236422267+0.00093091483j),(-0.01236422267+0.00093091483j)
1.70576,(-0.01238616277+0.001057398506j),(-0.01238616277+0.001057398506j)
1.70594,(-0.0123106204+0.001052770531j),(-0.0123106204+0.001052770531j)
1.70612,(-0.01238632482+0.001013907837j),(-0.01238632482+0.001013907837j)
1.7063,(-0.0123846801+0.001071857871j),(-0.0123846801+0.001071857871j)
1.70648,(-0.01234090794+0.001047156053j),(-0.01234090794+0.001047156053j)
1.70666,(-0.01230961271+0.001057008165j),(-0.01230961271+0.001057008165j)
1.70684,(-0.01233651955+0.0009158251341j),(-0.01233651955+0.0009158251341j)
1.70702,(-0.01237017848+0.001008528983j),(-0.01237017848+0.001008528983j)
1.7072,(-0.01232162956+0.001020213123j),(-0.01232162956+0.001020213123j)
1.70738,(-0.01228385884+0.001093294472j),(-0.01228385884+0.001093294472j)
1.70756,(-0.0124422675+0.001047167461j),(-0.0124422675+0.001047167461j)
1.70774,(-0.01236687787+0.001157659106j),(-0.01236687787+0.001157659106j)
1.70792,(-0.01230056211+0.001162730157j),(-0.01230056211+0.001162730157j)
1.7081,(-0.01228517946+0.001094403444j),(-0.01228517946+0.001094403444j)
1.70828,(-0.01226119231+0.001213899115j),(-0.01226119231+0.001213899115j)
1.70846,(-0.01227623224+0.001154957805j),(-0.01227623224+0.001154957805j)
1.70864,(-0.01232518815+0.001132439706j),(-0.01232518815+0.001132439706j)
1.70882,(-0.01238255855+0.001114478684j),(-0.01238255855+0.001114478684j)
1.709,(-0.0123270601+0.001157619176j),(-0.0123270601+0.001157619176j)
1.70918,(-0.01237724721+0.001198429731j),(-0.01237724721+0.001198429731j)
1.70936,(-0.01232637092+0.001156957471j),(-0.01232637092+0.001156957471j)
1.70954,(-0.01241971459+0.001136384788j),(-0.01241971459+0.001136384788j)
1.70972,(-0.01241615508+0.001140576322j),(-0.01241615508+0.001140576322j)
1.7099,(-0.01241524611+0.001081719645j),(-0.01241524611+0.001081719645j)
1.71008,(-0.01250011474+0.001076445798j),(-0.01250011474+0.001076445798j)
1.71026,(-0.01253020205+0.001072260668j),(-0.01253020205+0.001072260668j)
1.71044,(-0.01251009945+0.00111799431j),(-0.01251009945+0.00111799431j)
1.71062,(-0.01254065521+0.001056019799j),(-0.01254065521+0.001056019799j)
1.7108,(-0.01253183465+0.00107984629j),(-0.01253183465+0.00107984629j)
1.71098,(-0.01249158755+0.001059409929j),(-0.01249158755+0.001059409929j)
1.71116,(-0.01261922158+0.001081006951j),(-0.01261922158+0.001081006951j)
1.71134,(-0.0127146719+0.001092548715j),(-0.0127146719+0.001092548715j)
1.71152,(-0.01260352507+0.001074601547j),(-0.01260352507+0.001074601547j)
1.7117,(-0.0125568537+0.001048166538j),(-0.0125568537+0.001048166538j)
1.71188,(-0.01260040235+0.001205753884j),(-0.01260040235+0.001205753884j)
1.71206,(-0.0125260409+0.001154844998j),(-0.0125260409+0.001154844998j)
1.71224,(-0.01256141067+0.001186727313j),(-0.01256141067+0.001186727313j)
1.71242,(-0.01250256039+0.001218657009j),(-0.01250256039+0.001218657009j)
1.7126,(-0.01251059026+0.001290877583j),(-0.01251059026+0.001290877583j)
1.71278,(-0.01265966333+0.001257214812j),(-0.01265966333+0.001257214812j)
1.71296,(-0.01268050727+0.001300056814j),(-0.01268050727+0.001300056814j)
1.71314,(-0.01276899595+0.001288738335j),(-0.01276899595+0.001288738335j)
1.71332,(-0.01288733818+0.001284184516j),(-0.01288733818+0.001284184516j)
1.7135,(-0.012866918+0.001262633828j),(-0.012866918+0.001262633828j)
1.71368,(-0.0127933668+0.001346689416j),(-0.0127933668+0.001346689416j)
1.71386,(-0.01288604178+0.001443650806j),(-0.01288604178+0.001443650806j)
1.71404,(-0.01286930405+0.001438878011j),(-0.01286930405+0.001438878011j)
1.71422,(-0.01280947402+0.001412731479j),(-0.01280947402+0.001412731479j)
1.7144,(-0.01287318766+0.001273357077j),(-0.01287318766+0.001273357077j)
1.71458,(-0.01287051197+0.001173667144j),(-0.01287051197+0.001173667144j)
1.71476,(-0.01285727136+0.001307679689j),(-0.01285727136+0.001307679689j)
1.71494,(-0.01288009062+0.001382723683j),(-0.01288009062+0.001382723683j)
1.71512,(-0.01288423501+0.001351192011j),(-0.01288423501+0.001351192011j)
1.7153,(-0.01289352123+0.001267116866j),(-0.01289352123+0.001267116866j)
1.71548,(-0.01291364059+0.001283597667j),(-0.01291364059+0.001283597667j)
1.71566,(-0.01313574985+0.001235907199j),(-0.01313574985+0.001235907199j)
1.71584,(-0.01297686528+0.001246160013j),(-0.01297686528+0.001246160013j)
1.71602,(-0.01308759674+0.001250991016j),(-0.01308759674+0.001250991016j)
1.7162,(-0.01306647435+0.001321437536j),(-0.01306647435+0.001321437536j)
1.71638,(-0.01306848694+0.001273187692j),(-0.01306848694+0.001273187692j)
1.71656,(-0.01305969991+0.001262469799j),(-0.01305969991+0.001262469799j)
1.71674,(-0.01303777471+0.001357797766j),(-0.01303777471+0.001357797766j)
1.71692,(-0.01303656772+0.001255352632j),(-0.01303656772+0.001255352632j)
1.7171,(-0.01300300471+0.001267830376j),(-0.01300300471+0.001267830376j)
1.71728,(-0.01307111606+0.001235909294j),(-0.01307111606+0.001235909294j)
1.71746,(-0.01307680737+0.001261110418j),(-0.01307680737+0.001261110418j)
1.71764,(-0.01313700248+0.001329788938j),(-0.01313700248+0.001329788938j)
1.71782,(-0.01314078737+0.001274119364j),(-0.01314078737+0.001274119364j)
1.718,(-0.01313130744+0.001347696991j),(-0.01313130744+0.001347696991j)
1.71818,(-0.01316135377+0.001331399311j),(-0.01316135377+0.001331399311j)
1.71836,(-0.0131455604+0.00134282792j),(-0.0131455604+0.00134282792j)
1.71854,(-0.01316397171+0.00140451733j),(-0.01316397171+0.00140451733j)
1.71872,(-0.01318705548+0.001306294231j),(-0.01318705548+0.001306294231j)
1.7189,(-0.01318729296+0.001360795111j),(-0.01318729296+0.001360795111j)
1.71908,(-0.01314973272+0.001357004978j),(-0.01314973272+0.001357004978j)
1.71926,(-0.01329538226+0.00140783051j),(-0.01329538226+0.00140783051j)
1.71944,(-0.0132754175+0.001400834299j),(-0.0132754175+0.001400834299j)
1.71962,(-0.01327214763+0.001470940304j),(-0.01327214763+0.001470940304j)
1.7198,(-0.01328647602+0.001424180926j),(-0.01328647602+0.001424180926j)
1.71998,(-0.01327211596+0.001528826659j),(-0.01327211596+0.001528826659j)
1.72016,(-0.01327855233+0.001477047568j),(-0.01327855233+0.001477047568j)
1.72034,(-0.01323442068+0.001460546511j),(-0.01323442068+0.001460546511j)
1.72052,(-0.01330973487+0.00147318386j),(-0.01330973487+0.00147318386j)
1.7207,(-0.01341778412+0.001466571819j),(-0.01341778412+0.001466571819j)
1.72088,(-0.01343422569+0.001412739861j),(-0.01343422569+0.001412739861j)
1.72106,(-0.01341425162+0.001448223484j),(-0.01341425162+0.001448223484j)
1.72124,(-0.0134588182+0.001551259775j),(-0.0134588182+0.001551259775j)
1.72142,(-0.01347254682+0.001631552819j),(-0.01347254682+0.001631552819j)
1.7216,(-0.01354308613+0.001645977027j),(-0.01354308613+0.001645977027j)
1.72178,(-0.01352067664+0.001628352213j),(-0.01352067664+0.001628352213j)
1.72196,(-0.01346280426+0.001542096958j),(-0.01346280426+0.001542096958j)
1.72214,(-0.0133986976+0.001381317386j),(-0.0133986976+0.001381317386j)
1.72232,(-0.01339843776+0.001441220171j),(-0.01339843776+0.001441220171j)
1.7225,(-0.01336299349+0.001544728642j),(-0.01336299349+0.001544728642j)
1.72268,(-0.01337668486+0.001624042518j),(-0.01337668486+0.001624042518j)
1.72286,(-0.01338869054+0.001672355807j),(-0.01338869054+0.001672355807j)
1.72304,(-0.01339194365+0.001591195352j),(-0.01339194365+0.001591195352j)
1.72322,(-0.01340733189+0.001570604858j),(-0.01340733189+0.001570604858j)
1.7234,(-0.01343865134+0.001455650316j),(-0.01343865134+0.001455650316j)
1.72358,(-0.01341050956+0.001502946252j),(-0.01341050956+0.001502946252j)
1.72376,(-0.01343028527+0.001497854479j),(-0.01343028527+0.001497854479j)
1.72394,(-0.01347982697+0.001560750534j),(-0.01347982697+0.001560750534j)
1.72412,(-0.0135057969+0.001669766614j),(-0.0135057969+0.001669766614j)
1.7243,(-0.01349872816+0.001664385898j),(-0.01349872816+0.001664385898j)
1.72448,(-0.01357010845+0.001594342408j),(-0.01357010845+0.001594342408j)
1.72466,(-0.01344632916+0.001589554362j),(-0.01344632916+0.001589554362j)
1.72484,(-0.01343041658+0.001620682538j),(-0.01343041658+0.001620682538j)
1.72502,(-0.01342314947+0.001580476295j),(-0.01342314947+0.001580476295j)
1.7252,(-0.01347983629+0.001514745061j),(-0.01347983629+0.001514745061j)
1.72538,(-0.01347878575+0.001469495241j),(-0.01347878575+0.001469495241j)
1.72556,(-0.0134450309+0.001511296141j),(-0.0134450309+0.001511296141j)
1.72574,(-0.01345174387+0.001487998758j),(-0.01345174387+0.001487998758j)
1.72592,(-0.01345824916+0.001526826643j),(-0.01345824916+0.001526826643j)
1.7261,(-0.01342461724+0.001491816714j),(-0.01342461724+0.001491816714j)
1.72628,(-0.01343844086+0.001553788083j),(-0.01343844086+0.001553788083j)
1.72646,(-0.0133485198+0.001588101848j),(-0.0133485198+0.001588101848j)
1.72664,(-0.01335123647+0.001556776464j),(-0.01335123647+0.001556776464j)
1.72682,(-0.01326922048+0.001582301105j),(-0.01326922048+0.001582301105j)
1.727,(-0.01326736249+0.001665182994j),(-0.01326736249+0.001665182994j)
1.72718,(-0.01332412101+0.001655837288j),(-0.01332412101+0.001655837288j)
