%Frequency  / Hz	S1,1 Zr: 50 Ω Mag	S1,1 Zr: 50 Ω Phase / °	S2,1 Zr: 50 Ω Mag	S2,1 Zr: 50 Ω Phase / °	S1,2 Zr: 50 Ω Mag	S1,2 Zr: 50 Ω Phase / °	S2,2 Zr: 50 Ω Mag	S2,2 Zr: 50 Ω Phase / °
800000000.000000000	0.346662580	-96.766357866	0.902897382	-18.624150479	0.903068248	-18.605106314	0.280410978	-120.561578140
800640000.000000000	0.347006377	-96.817103910	0.902773360	-18.622198456	0.902388824	-18.602008534	0.280547640	-120.579847224
801280000.000000000	0.346376768	-97.747726786	0.902723954	-18.741844939	0.902650860	-18.723569731	0.279338703	-119.904793139
801920000.000000000	0.346444563	-97.763215196	0.902333507	-18.754641679	0.902255852	-18.735435251	0.279395977	-119.915375334
802560000.000000000	0.346801087	-97.755421874	0.902190719	-18.783307719	0.901936355	-18.741431623	0.279412230	-119.848078854
803200000.000000000	0.347032104	-97.805570437	0.901620185	-18.789033291	0.901513010	-18.785336580	0.279346598	-119.863542714
803840000.000000000	0.347023833	-97.799264535	0.901633411	-18.801448595	0.901579562	-18.759889720	0.279367677	-119.927156460
804480000.000000000	0.347221519	-97.849112473	0.901512899	-18.810697272	0.900905289	-18.786987474	0.279378838	-119.925313442
805120000.000000000	0.347982590	-97.842500371	0.901491538	-18.832652045	0.901733644	-18.806041604	0.279589612	-119.901658547
805760000.000000000	0.347809372	-97.813740256	0.901281679	-18.831849541	0.901485726	-18.811489691	0.279677820	-119.962260572
806400000.000000000	0.348311207	-97.873602786	0.901207005	-18.839024082	0.901224232	-18.816286242	0.279834501	-119.876614571
807040000.000000000	0.348505260	-97.966480630	0.901011661	-18.870892678	0.900552657	-18.860221591	0.279675923	-119.912570439
807680000.000000000	0.348873382	-97.867513870	0.900771699	-18.836675799	0.900391138	-18.826396592	0.279676299	-119.897041588
808320000.000000000	0.349527806	-97.947028641	0.901039529	-18.886676057	0.901299983	-18.870860467	0.279657405	-119.969393971
808960000.000000000	0.349783835	-97.895039581	0.900703940	-18.851901990	0.901000752	-18.832285544	0.279995380	-119.919146102
809600000.000000000	0.349732036	-97.925493652	0.900653232	-18.865402795	0.900890201	-18.848784643	0.280117790	-119.894767500
810240000.000000000	0.349967953	-97.875280155	0.900560574	-18.875228004	0.900673256	-18.884811132	0.280385441	-119.956237377
810880000.000000000	0.350046009	-98.012772079	0.900065158	-18.889804255	0.900408066	-18.899762069	0.279956032	-119.918414450
811520000.000000000	0.350653589	-97.968176833	0.900220155	-18.879716961	0.900427944	-18.875796607	0.280048235	-119.931425530
812160000.000000000	0.350600094	-97.998206034	0.899798213	-18.908957768	0.899816530	-18.889222403	0.280237557	-119.924168403
812800000.000000000	0.351147312	-97.983479009	0.899827347	-18.910286061	0.900011762	-18.926799231	0.280386607	-119.976152306
813440000.000000000	0.351290004	-98.023715508	0.899408218	-18.907845463	0.899898143	-18.926411290	0.280163148	-119.895867375
814080000.000000000	0.351520669	-98.022151361	0.899469121	-18.912269806	0.899711847	-18.911361391	0.280383744	-119.930348728
814720000.000000000	0.351727412	-98.010463463	0.899400761	-18.940798927	0.899431198	-18.955111551	0.280629831	-119.931928736
815360000.000000000	0.351589726	-98.036771751	0.899121792	-18.953971673	0.899149480	-18.970596715	0.280541876	-120.001274593
816000000.000000000	0.351968005	-98.067466969	0.899328563	-18.956765093	0.899094393	-18.965758657	0.280716602	-120.001485091
816640000.000000000	0.352134251	-98.019646603	0.899164895	-18.956309369	0.898439164	-18.960984666	0.280649480	-120.022839460
817280000.000000000	0.352531767	-98.060129504	0.899006647	-18.987729780	0.898731883	-18.960955731	0.280771824	-119.966775026
817920000.000000000	0.352529538	-98.046782375	0.898692024	-18.986815305	0.898592446	-19.004343970	0.280783480	-120.002407958
818560000.000000000	0.352661303	-97.959414613	0.898797748	-18.958898502	0.898765695	-19.014250565	0.281180412	-120.093920918
819200000.000000000	0.352857563	-98.026960586	0.898328086	-18.989985554	0.898429851	-19.024560570	0.281188834	-120.109407364
819840000.000000000	0.353350623	-98.039245662	0.898275812	-18.999128306	0.898333050	-19.016391227	0.281020326	-120.050770498
820480000.000000000	0.353223569	-98.019575765	0.898214818	-19.014508469	0.897894035	-19.006180942	0.281655499	-120.099475830
821120000.000000000	0.353684669	-97.981580998	0.897895992	-19.003378343	0.897736446	-18.974935831	0.281694028	-120.136846068
821760000.000000000	0.353790463	-98.010707378	0.897523275	-19.034747795	0.897706990	-19.036901857	0.281474880	-120.106003361
822400000.000000000	0.354276793	-98.026749148	0.897866378	-19.042858016	0.898326036	-19.024611879	0.281625656	-120.216629059
823040000.000000000	0.354061005	-97.975445322	0.897218687	-19.051829514	0.897678379	-19.057969523	0.281660717	-120.217919382
