Frequency,S11 Re,S11 Im,S21 Re,S21 Im
0.8,0.005954747088,-0.1720495969,0.9772117734,-0.1177560464
0.80064,0.005640755873,-0.1721308529,0.9772761464,-0.1172535568
0.80128,0.0002025470603,-0.1700683236,0.9770912528,-0.1183604673
0.80192,0.0003476788988,-0.1700830907,0.976837039,-0.1184024066
0.80256,0.0005954169901,-0.1704507321,0.9771578312,-0.1187008172
0.8032,0.000382977305,-0.170513168,0.9767373204,-0.1186684519
0.80384,0.0004153150367,-0.1703332812,0.976477325,-0.1187385172
0.80448,0.0001773266704,-0.1706525534,0.9769868255,-0.1191636249
0.80512,0.000272265519,-0.1711948663,0.9767827988,-0.118874006
0.80576,0.0003138465981,-0.1708361357,0.9765840173,-0.1191051826
0.8064,0.0002301394416,-0.1712722927,0.9766625166,-0.1189651564
0.80704,-0.0002792023588,-0.1711411029,0.9764660597,-0.1195108145
0.80768,0.000278132211,-0.1718489677,0.9764749408,-0.119122237
0.80832,-0.0001548336586,-0.172168225,0.9768251181,-0.1194462106
0.80896,-5.814549513e-05,-0.1722691804,0.9768463969,-0.119070217
0.8096,1.234002411e-05,-0.1721310019,0.9766122103,-0.1190776974
0.81024,0.0005332970759,-0.1722121388,0.9767139554,-0.1190862805
0.81088,-0.0004738229327,-0.1724009812,0.9765975475,-0.1193462536
0.81152,-0.0002407273278,-0.1727702916,0.9765272141,-0.1194888875
0.81216,-0.000416630879,-0.1728361398,0.976655066,-0.1196826547
0.8128,-0.0001600810792,-0.1730617434,0.9762395024,-0.1194996014
0.81344,-0.0006383804139,-0.1732397676,0.9762248993,-0.1200539842
0.81408,-0.0002454172354,-0.1733301878,0.9762230515,-0.1196639538
0.81472,-0.0003213711898,-0.1731692851,0.9760977626,-0.1198790967
0.81536,-0.0004389281676,-0.1729964018,0.976062119,-0.1202862486
0.816,-0.0006875937106,-0.1732024103,0.9763163328,-0.1202751696
0.81664,-0.0002934107033,-0.1735232919,0.9765654206,-0.1204004586
0.81728,-0.0006300522946,-0.173556298,0.9763634205,-0.1204721704
0.81792,-0.0003874688409,-0.1735359728,0.9762153029,-0.1204386577
0.81856,-4.304903268e-05,-0.1735024899,0.9759812355,-0.1200172007
0.8192,-0.0002075904631,-0.1736694276,0.9758880734,-0.1203774735
0.81984,-0.0001667336619,-0.1740714759,0.9760742188,-0.1203673407
0.82048,-0.0001311685919,-0.1738613695,0.9761022925,-0.1206743345
0.82112,0.0001838724129,-0.1740134507,0.976092875,-0.1203660518
0.82176,0.0003344234428,-0.1741421819,0.9757345319,-0.1208423004
0.8224,0.0001930017897,-0.1741055995,0.9759768248,-0.1208414882
0.82304,0.0003457735293,-0.1741352975,0.9757884145,-0.1210523695
0.82368,0.0001721210429,-0.1744196266,0.9763017297,-0.1206448227
0.82432,0.0002925387817,-0.1745198369,0.9754606485,-0.1210955083
0.82496,0.0004126639687,-0.1747623682,0.975859046,-0.1211510822
0.8256,0.0003932433901,-0.1746030301,0.9757883549,-0.1213488355
0.82624,0.000497829169,-0.1747327596,0.9755151868,-0.1211742759
0.82688,0.0008167486521,-0.1749511063,0.9755205512,-0.1214971617
0.82752,0.0005396581837,-0.1750119328,0.9758255482,-0.1211334541
0.82816,0.000552737969,-0.1751299948,0.9754977226,-0.121851407
0.8288,0.0007621969562,-0.1754770726,0.975666523,-0.121883601
0.82944,0.0008721803315,-0.1751471311,0.9753157496,-0.1215108112
0.83008,0.0005838104989,-0.175685972,0.9757131934,-0.122193329
0.83072,0.0009278870421,-0.1757154763,0.9751948714,-0.1221664473
0.83136,0.0004140828387,-0.1761059016,0.9753647447,-0.1220135689
0.832,0.00075064681,-0.1761115938,0.9758198857,-0.1223832667
0.83264,0.0005067151506,-0.1761770397,0.9750683308,-0.1227019876
0.83328,0.0004275857355,-0.1762063652,0.9754726887,-0.1222009584
0.83392,0.0009233496385,-0.1764361113,0.9753010273,-0.1221079826
0.83456,0.0007120830123,-0.1765605807,0.9749606252,-0.1224100068
0.8352,0.0006714681513,-0.1767681986,0.9752425551,-0.1227831021
0.83584,0.0004622440902,-0.1770801842,0.9751461148,-0.1227704138
0.83648,0.0003191406722,-0.1773545742,0.9751363993,-0.1226507723
0.83712,0.000171390886,-0.1771985143,0.9750565886,-0.1228766665
0.83776,0.0002859501401,-0.1772337109,0.9749028087,-0.122697033
0.8384,0.0002214928973,-0.1772038043,0.975041151,-0.1228873581
0.83904,0.0001811884576,-0.1776642799,0.9750065804,-0.1232369915
0.83968,0.0002303639194,-0.177436173,0.9747912884,-0.1232297793
0.84032,0.0001251532813,-0.1773084551,0.9748603106,-0.1231102273
0.84096,-2.260867041e-05,-0.1780277789,0.9749795198,-0.1233412176
0.8416,7.159367669e-06,-0.1777268052,0.9743822813,-0.1236497313
0.84224,-0.000161059419,-0.1784822494,0.9749632478,-0.1234647259
0.84288,-0.0001629704784,-0.1785156429,0.9747768641,-0.1236769184
0.84352,-0.0006414645468,-0.1784142405,0.9749909639,-0.123636283
0.84416,-0.00024867928,-0.1783834547,0.9746096134,-0.1236034334
0.8448,-0.0004285659234,-0.1788387597,0.9745185971,-0.1240422502
0.84544,5.610927474e-05,-0.1786171645,0.9749133587,-0.1241171509
0.84608,-0.0002877052757,-0.178894192,0.9746022224,-0.1241726801
0.84672,-0.0004677377874,-0.1790111661,0.9746340513,-0.1243328527
0.84736,-0.0002663534251,-0.1793586165,0.9745197296,-0.124201782
0.848,-0.0004131390015,-0.1790666878,0.9746522903,-0.1244113892
0.84864,-0.0006122148479,-0.1793193966,0.9746291041,-0.1247337908
0.84928,-0.0001474380551,-0.179728061,0.9745236635,-0.1243167892
0.84992,-0.000331734569,-0.1797365844,0.9745354652,-0.1247399896
0.85056,-0.0002130758949,-0.1797398776,0.9742900133,-0.1247842312
0.8512,-0.0006500479067,-0.1800779402,0.9743947387,-0.1249546185
0.85184,-0.0001208134927,-0.1803258061,0.974308908,-0.1252590269
0.85248,-0.0002158826392,-0.1804110557,0.9744620323,-0.1249834001
0.85312,-5.657062866e-05,-0.1803932488,0.9741768837,-0.1249651238
0.85376,-9.320111712e-05,-0.1804549694,0.9746228456,-0.1253744662
0.8544,2.418580698e-05,-0.1804490238,0.9740954041,-0.1254092902
0.85504,-0.0003038046416,-0.1808029115,0.9746234417,-0.1253902018
0.85568,0.000139833428,-0.1808803976,0.9740362763,-0.1251609176
0.85632,0.0001060281647,-0.1811993718,0.9744945765,-0.1256200671
0.85696,0.0005178774591,-0.1810007393,0.9738652706,-0.1255881786
0.8576,0.0004383042688,-0.1813413054,0.9741732478,-0.1257156134
0.85824,0.000532751088,-0.1809567958,0.9742504358,-0.1257622838
0.85888,0.0002981458674,-0.1814970523,0.9736675024,-0.1258100867
0.85952,0.0003242542734,-0.1817173362,0.9741375446,-0.1259037256
0.86016,0.0006258020294,-0.1820800453,0.9742785692,-0.1263112873
0.8608,0.0004628834431,-0.1818316579,0.9739158154,-0.1264707744
0.86144,0.0006079078885,-0.1823276877,0.9739339352,-0.126433745
0.86208,0.0003809112823,-0.1824977845,0.9737665057,-0.126721397
0.86272,0.0006621031207,-0.182196483,0.9737675786,-0.1266956776
0.86336,0.0006379288388,-0.1823427677,0.9734751582,-0.1263894737
0.864,0.0004769199877,-0.1829244494,0.9742993116,-0.126540795
0.86464,0.0004639088875,-0.1828169376,0.9736428857,-0.1265613139
0.86528,0.0005099066766,-0.1827482283,0.9737052321,-0.1267626435
0.86592,6.945081986e-05,-0.1829580069,0.9737667441,-0.1267412007
0.86656,0.0005186196067,-0.1831911206,0.9733552933,-0.1268278807
0.8672,0.0005540280254,-0.1835459173,0.9734845757,-0.1271682829
0.86784,0.0006383873988,-0.1833801717,0.9733973145,-0.1272990406
0.86848,0.0001962963142,-0.1836551875,0.9738093615,-0.1271903366
0.86912,0.0004092871677,-0.1830587685,0.973454237,-0.1276710182
0.86976,0.000277454732,-0.1836822331,0.9737607837,-0.1275794655
0.8704,6.392237265e-05,-0.1839035451,0.9735734463,-0.127806291
0.87104,0.0003191507421,-0.1837855428,0.9735355377,-0.1279027015
0.87168,5.155568942e-06,-0.1841837764,0.9734269977,-0.1276564896
0.87232,0.0001709020289,-0.184204787,0.9736545086,-0.1276968867
0.87296,-0.0002009580494,-0.1842327863,0.9737307429,-0.1277742535
0.8736,-0.0002052659256,-0.1841105223,0.9732407928,-0.1282182932
0.87424,0.0001068677229,-0.1843064129,0.9729493856,-0.1279559582
0.87488,-0.0001762360771,-0.1843434274,0.9730958343,-0.1282073706
0.87552,-0.0003267653519,-0.1845439225,0.9730864763,-0.1280812472
0.87616,-0.0006818016991,-0.1848920286,0.9730194211,-0.1282537282
0.8768,-4.784043995e-05,-0.1845451146,0.9733685851,-0.1281980574
0.87744,-0.0005703197094,-0.1849559247,0.9732345343,-0.1284388155
0.87808,-0.0004138679069,-0.1849964559,0.9732723832,-0.1281965524
0.87872,-0.0004489170969,-0.1850416958,0.9733434916,-0.1288029402
0.87936,-0.0008511379128,-0.1852186322,0.9732562304,-0.1286909133
0.88,-0.0006112739211,-0.1851284802,0.9733687639,-0.1287317574
0.88064,-0.0005021077232,-0.1854078919,0.9730554819,-0.1289990842
0.88128,-0.0006210852298,-0.1856418401,0.9734041691,-0.1289138794
0.88192,-0.0004582377733,-0.1856285781,0.9733885527,-0.1289357245
0.88256,-0.0003788066097,-0.1856183708,0.9732887745,-0.1291428506
0.8832,-0.0005603177706,-0.1855844557,0.9726023078,-0.1292080283
0.88384,-0.0004356644349,-0.1860718727,0.9731468558,-0.1292047948
0.88448,-0.000142109755,-0.186223194,0.9730781317,-0.1295354217
0.88512,-0.0005489375326,-0.18625018,0.9730978608,-0.1294549555
0.88576,-6.292096805e-05,-0.1863153577,0.9726910591,-0.1295832098
0.8864,-0.0001912829466,-0.1865780056,0.9732758403,-0.1296255141
0.88704,-2.488860628e-05,-0.1870283633,0.9728966355,-0.129339993
0.88768,-0.0002395452466,-0.1871744841,0.9730402827,-0.1298647225
0.88832,-0.0003664635587,-0.1873102635,0.9728235006,-0.1295206994
0.88896,-0.0003184438683,-0.1875050068,0.973251164,-0.1301153749
0.8896,-0.0003134469443,-0.1879083365,0.9729017615,-0.1298791915
0.89024,-0.0002441180404,-0.1876694113,0.9726588726,-0.1302062869
0.89088,6.922203465e-05,-0.1878659576,0.973141551,-0.1301365346
0.89152,9.909627261e-05,-0.1885509193,0.9729534388,-0.1303574145
0.89216,9.1555994e-05,-0.188317135,0.9727836251,-0.1302541196
0.8928,-6.782927085e-05,-0.1885650307,0.9727887511,-0.1302676648
0.89344,-7.670745254e-05,-0.188893646,0.9728753567,-0.1304290593
0.89408,0.0003142341739,-0.1890266836,0.9726578593,-0.1304145455
