Frequency,S11,S21
0.8,(0.005954747088-0.1720495969j),(0.005954747088-0.1720495969j)
0.80064,(0.005640755873-0.1721308529j),(0.005640755873-0.1721308529j)
0.80128,(0.0002025470603-0.1700683236j),(0.0002025470603-0.1700683236j)
0.80192,(0.0003476788988-0.1700830907j),(0.0003476788988-0.1700830907j)
0.80256,(0.0005954169901-0.1704507321j),(0.0005954169901-0.1704507321j)
0.8032,(0.000382977305-0.170513168j),(0.000382977305-0.170513168j)
0.80384,(0.0004153150367-0.1703332812j),(0.0004153150367-0.1703332812j)
0.80448,(0.0001773266704-0.1706525534j),(0.0001773266704-0.1706525534j)
0.80512,(0.000272265519-0.1711948663j),(0.000272265519-0.1711948663j)
0.80576,(0.0003138465981-0.1708361357j),(0.0003138465981-0.1708361357j)
0.8064,(0.0002301394416-0.1712722927j),(0.0002301394416-0.1712722927j)
0.80704,(-0.0002792023588-0.1711411029j),(-0.0002792023588-0.1711411029j)
0.80768,(0.000278132211-0.1718489677j),(0.000278132211-0.1718489677j)
0.80832,(-0.0001548336586-0.172168225j),(-0.0001548336586-0.172168225j)
0.80896,(-5.814549513e-05-0.1722691804j),(-5.814549513e-05-0.1722691804j)
0.8096,(1.234002411e-05-0.1721310019j),(1.234002411e-05-0.1721310019j)
0.81024,(0.0005332970759-0.1722121388j),(0.0005332970759-0.1722121388j)
0.81088,(-0.0004738229327-0.1724009812j),(-0.0004738229327-0.1724009812j)
0.81152,(-0.0002407273278-0.1727702916j),(-0.0002407273278-0.1727702916j)
0.81216,(-0.000416630879-0.1728361398j),(-0.000416630879-0.1728361398j)
0.8128,(-0.0001600810792-0.1730617434j),(-0.0001600810792-0.1730617434j)
0.81344,(-0.0006383804139-0.1732397676j),(-0.0006383804139-0.1732397676j)
0.81408,(-0.0002454172354-0.1733301878j),(-0.0002454172354-0.1733301878j)
0.81472,(-0.0003213711898-0.1731692851j),(-0.0003213711898-0.1731692851j)
0.81536,(-0.0004389281676-0.1729964018j),(-0.0004389281676-0.1729964018j)
0.816,(-0.0006875937106-0.1732024103j),(-0.0006875937106-0.1732024103j)
0.81664,(-0.0002934107033-0.1735232919j),(-0.0002934107033-0.1735232919j)
0.81728,(-0.0006300522946-0.173556298j),(-0.0006300522946-0.173556298j)
0.81792,(-0.0003874688409-0.1735359728j),(-0.0003874688409-0.1735359728j)
0.81856,(-4.304903268e-05-0.1735024899j),(-4.304903268e-05-0.1735024899j)
0.8192,(-0.0002075904631-0.1736694276j),(-0.0002075904631-0.1736694276j)
0.81984,(-0.0001667336619-0.1740714759j),(-0.0001667336619-0.1740714759j)
0.82048,(-0.0001311685919-0.1738613695j),(-0.0001311685919-0.1738613695j)
0.82112,(0.0001838724129-0.1740134507j),(0.0001838724129-0.1740134507j)
0.82176,(0.0003344234428-0.1741421819j),(0.0003344234428-0.1741421819j)
0.8224,(0.0001930017897-0.1741055995j),(0.0001930017897-0.1741055995j)
0.82304,(0.0003457735293-0.1741352975j),(0.0003457735293-0.1741352975j)
0.82368,(0.0001721210429-0.1744196266j),(0.0001721210429-0.1744196266j)
0.82432,(0.0002925387817-0.1745198369j),(0.0002925387817-0.1745198369j)
0.82496,(0.0004126639687-0.1747623682j),(0.0004126639687-0.1747623682j)
