Frequency,S11 Re,S11 Im,S21 Re,S21 Im
1.7,-0.1483080983,-0.3131434023,0.8944073319,-0.2385034859
1.70018,-0.1482909173,-0.3131136298,0.8944049478,-0.238487035
1.70036,-0.148380667,-0.3130080104,0.8942965865,-0.238679111
1.70054,-0.1483869404,-0.3130213618,0.8942331076,-0.2387044132
1.70072,-0.1484484076,-0.3129869401,0.8941941857,-0.2387107164
1.7009,-0.148419112,-0.3130821586,0.8942123055,-0.2386399209
1.70108,-0.1484268457,-0.3130626976,0.8941255808,-0.2385895848
1.70126,-0.1484384835,-0.3129891753,0.8942201734,-0.2385767102
1.70144,-0.1485227048,-0.3131096065,0.8942105174,-0.2386514992
1.70162,-0.1485998183,-0.3130905926,0.8940786123,-0.2386014611
1.7018,-0.148680836,-0.3131159246,0.8941327333,-0.2386614531
1.70198,-0.1486381888,-0.3130543232,0.8939854503,-0.2387838215
1.70216,-0.1485434473,-0.3130700886,0.8940221071,-0.2388304323
1.70234,-0.1485598385,-0.3130865693,0.8941076398,-0.2387911975
1.70252,-0.1486733705,-0.3129641116,0.893959403,-0.2388963997
1.7027,-0.1487182379,-0.3131963909,0.8940797448,-0.2389257848
1.70288,-0.1486051083,-0.3132050037,0.8941095471,-0.2387636155
1.70306,-0.1485888809,-0.313184917,0.8940837979,-0.2388419807
1.70324,-0.1486152112,-0.3131418824,0.8940632343,-0.238892749
1.70342,-0.1486478895,-0.3130759895,0.8940731287,-0.2388927042
1.7036,-0.148607403,-0.3129925728,0.8939936161,-0.2388429195
1.70378,-0.1486621499,-0.3130440116,0.8939114213,-0.2388926297
1.70396,-0.1487068981,-0.3131180406,0.8939879537,-0.2388901561
1.70414,-0.1487187743,-0.3130910397,0.8938598633,-0.2388783991
1.70432,-0.1488783211,-0.3132354915,0.8938599825,-0.2388367802
1.7045,-0.1488014758,-0.3131846488,0.8938559294,-0.2388470173
1.70468,-0.1488515735,-0.3132529557,0.8938728571,-0.2389977723
1.70486,-0.1488339603,-0.3130927682,0.8938519359,-0.2389560044
1.70504,-0.1488796026,-0.3131318986,0.8938621879,-0.2390767783
1.70522,-0.1489005089,-0.3130887151,0.8937954903,-0.2389642745
1.7054,-0.1489263773,-0.3130345643,0.8937725425,-0.2390899211
1.70558,-0.1489604414,-0.313082993,0.8936484456,-0.2391573638
1.70576,-0.1489134431,-0.3130703866,0.893792212,-0.2390567958
1.70594,-0.1489629745,-0.3131179214,0.8938393593,-0.2390641719
1.70612,-0.1489599347,-0.313066572,0.8937126398,-0.2391075641
1.7063,-0.1490016133,-0.3130781353,0.8936610818,-0.2392681837
1.70648,-0.1490257084,-0.3131741285,0.8937474489,-0.2391277105
1.70666,-0.1489494294,-0.3132320344,0.8937051892,-0.2392445207
1.70684,-0.1490945071,-0.3132176101,0.893471539,-0.2392182946
1.70702,-0.1491099894,-0.3131911457,0.8934734464,-0.2394007742
1.7072,-0.1491718143,-0.3131995201,0.8935562968,-0.2393911183
1.70738,-0.1492517889,-0.3131955862,0.8936207294,-0.2396187782
1.70756,-0.1492041498,-0.31306687,0.8934991956,-0.2392779738
1.70774,-0.149297446,-0.3132112622,0.8934569359,-0.2394051254
1.70792,-0.1491440386,-0.3132092357,0.8935440183,-0.2392968237
1.7081,-0.1492481828,-0.3132708669,0.893502593,-0.2393309176
1.70828,-0.1492940485,-0.313161701,0.8933685422,-0.2393618375
1.70846,-0.1492578536,-0.3133338392,0.8935070038,-0.2393337786
1.70864,-0.1492465287,-0.3132452369,0.8933995366,-0.2393414676
1.70882,-0.1492429823,-0.3133958578,0.8936536908,-0.2394695878
1.709,-0.1492994428,-0.3132867217,0.8934226632,-0.2394669652
1.70918,-0.1494634151,-0.313257426,0.8934252858,-0.2395652682
1.70936,-0.1495461911,-0.3132231236,0.8934126496,-0.2395591587
1.70954,-0.1495346129,-0.3132013083,0.8933275938,-0.2395660877
1.70972,-0.1495385915,-0.3132558763,0.8933555484,-0.2394232154
1.7099,-0.1494717151,-0.3133821487,0.8934910297,-0.2393938601
1.71008,-0.1496176571,-0.3133556843,0.8935483694,-0.2393888831
1.71026,-0.1495645642,-0.3134485781,0.8935539722,-0.2394336164
1.71044,-0.1497254074,-0.3134356439,0.8934285045,-0.2395211905
1.71062,-0.1497860104,-0.3134126663,0.8933467269,-0.2396137118
1.7108,-0.1498354822,-0.3135118186,0.8934051394,-0.2396033704
1.71098,-0.1498588771,-0.3134703934,0.8934159875,-0.239508599
1.71116,-0.1499703377,-0.3134367168,0.8933045864,-0.239520818
1.71134,-0.1498757899,-0.313326925,0.8933303952,-0.2395519614
1.71152,-0.1499462426,-0.3134202361,0.8932561874,-0.2395276725
1.7117,-0.1500008404,-0.3133529127,0.8933650851,-0.2396344095
1.71188,-0.1500191838,-0.3133911788,0.8933079243,-0.2397128195
1.71206,-0.1499905586,-0.3133193851,0.8931280971,-0.23962605
1.71224,-0.1500422955,-0.3134380877,0.8932353258,-0.2396029383
1.71242,-0.1500567198,-0.3133725226,0.8932113647,-0.2396725565
1.7126,-0.1501378566,-0.3132537603,0.8932304978,-0.2396869063
1.71278,-0.1501832604,-0.3133658469,0.8932018876,-0.2398081273
1.71296,-0.1502331048,-0.3133902848,0.8931308985,-0.2398910671
1.71314,-0.1502657533,-0.3133327365,0.8931917548,-0.2395907789
1.71332,-0.150314182,-0.313393563,0.8931424022,-0.2396640778
1.7135,-0.1503963321,-0.3133856356,0.8931131363,-0.2396924794
1.71368,-0.1503106356,-0.3133846819,0.8932141066,-0.2397674024
1.71386,-0.1503642648,-0.313264519,0.8931327462,-0.2399459779
1.71404,-0.1503760666,-0.3132880032,0.8931737542,-0.2398290336
1.71422,-0.1504389793,-0.3133446574,0.8930698037,-0.2397793233
