Frequency,S11,S21
1.7,(-0.1483080983-0.3131434023j),(-0.1483080983-0.3131434023j)
1.70018,(-0.1482909173-0.3131136298j),(-0.1482909173-0.3131136298j)
1.70036,(-0.148380667-0.3130080104j),(-0.148380667-0.3130080104j)
1.70054,(-0.1483869404-0.3130213618j),(-0.1483869404-0.3130213618j)
1.70072,(-0.1484484076-0.3129869401j),(-0.1484484076-0.3129869401j)
1.7009,(-0.148419112-0.3130821586j),(-0.148419112-0.3130821586j)
1.70108,(-0.1484268457-0.3130626976j),(-0.1484268457-0.3130626976j)
1.70126,(-0.1484384835-0.3129891753j),(-0.1484384835-0.3129891753j)
1.70144,(-0.1485227048-0.3131096065j),(-0.1485227048-0.3131096065j)
1.70162,(-0.1485998183-0.3130905926j),(-0.1485998183-0.3130905926j)
1.7018,(-0.148680836-0.3131159246j),(-0.148680836-0.3131159246j)
1.70198,(-0.1486381888-0.3130543232j),(-0.1486381888-0.3130543232j)
1.70216,(-0.1485434473-0.3130700886j),(-0.1485434473-0.3130700886j)
1.70234,(-0.1485598385-0.3130865693j),(-0.1485598385-0.3130865693j)
1.70252,(-0.1486733705-0.3129641116j),(-0.1486733705-0.3129641116j)
1.7027,(-0.1487182379-0.3131963909j),(-0.1487182379-0.3131963909j)
1.70288,(-0.1486051083-0.3132050037j),(-0.1486051083-0.3132050037j)
1.70306,(-0.1485888809-0.313184917j),(-0.1485888809-0.313184917j)
1.70324,(-0.1486152112-0.3131418824j),(-0.1486152112-0.3131418824j)
1.70342,(-0.1486478895-0.3130759895j),(-0.1486478895-0.3130759895j)
1.7036,(-0.148607403-0.3129925728j),(-0.148607403-0.3129925728j)
1.70378,(-0.1486621499-0.3130440116j),(-0.1486621499-0.3130440116j)
1.70396,(-0.1487068981-0.3131180406j),(-0.1487068981-0.3131180406j)
1.70414,(-0.1487187743-0.3130910397j),(-0.1487187743-0.3130910397j)
1.70432,(-0.1488783211-0.3132354915j),(-0.1488783211-0.3132354915j)
1.7045,(-0.1488014758-0.3131846488j),(-0.1488014758-0.3131846488j)
1.70468,(-0.1488515735-0.3132529557j),(-0.1488515735-0.3132529557j)
