Frequency,S11,S21
0.01,(0.03835529462+0.137416631j),(0.03835529462+0.137416631j)
0.011799179917991799,(0.1541122496+0.05425963923j),(0.1541122496+0.05425963923j)
0.0135983598359836,(0.1610903591-0.0705139935j),(0.1610903591-0.0705139935j)
0.015397539753975398,(0.07227823138-0.1472320557j),(0.07227823138-0.1472320557j)
0.017196719671967196,(-0.03037614934-0.1523323804j),(-0.03037614934-0.1523323804j)
0.018995899589958995,(-0.1188864633-0.08702329546j),(-0.1188864633-0.08702329546j)
0.020795079507950794,(-0.1488556564+0.01919579133j),(-0.1488556564+0.01919579133j)
0.022594259425942592,(-0.09834637493+0.1118306965j),(-0.09834637493+0.1118306965j)
0.024393439343934394,(-0.005158359651+0.1648506969j),(-0.005158359651+0.1648506969j)
0.02619261926192619,(0.1027245894+0.1519224048j),(0.1027245894+0.1519224048j)
0.02799179917991799,(0.1820589602+0.07905644923j),(0.1820589602+0.07905644923j)
0.02979097909790979,(0.2021438926-0.02586085536j),(0.2021438926-0.02586085536j)
0.031590159015901585,(0.1623543352-0.1266954988j),(0.1623543352-0.1266954988j)
0.033389338933893384,(0.0689394176-0.183310926j),(0.0689394176-0.183310926j)
0.03518851885188518,(-0.04005048797-0.1763090342j),(-0.04005048797-0.1763090342j)
0.03698769876987699,(-0.1472297162-0.09146143496j),(-0.1472297162-0.09146143496j)
0.03878687868786879,(-0.1703860313+0.009785212576j),(-0.1703860313+0.009785212576j)
0.040586058605860585,(-0.1297429651+0.1075885743j),(-0.1297429651+0.1075885743j)
0.04238523852385238,(-0.03773007169+0.1616304964j),(-0.03773007169+0.1616304964j)
0.04418441844184418,(0.07226267457+0.1571791768j),(0.07226267457+0.1571791768j)
0.04598359835983598,(0.162656635+0.0887081027j),(0.162656635+0.0887081027j)
0.04778277827782778,(0.1979960203-0.01775760949j),(0.1979960203-0.01775760949j)
0.04958195819581958,(0.1660886854-0.1260250658j),(0.1660886854-0.1260250658j)
